"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 01- 08","83,100","83,100","83,100","83,100","","0.00%"
"2023- 01- 06","83,100","81,400","83,600","81,100","3.68M","2.09%"
"2023- 01- 05","81,400","82,500","83,000","80,800","0.04K","0.49%"
"2023- 01- 04","81,000","75,400","81,900","75,200","5.14M","7.14%"
"2023- 01- 03","75,600","75,700","76,300","73,100","0.54K","-0.13%"
"2023- 01- 02","75,700","75,100","76,700","75,000","1.37M","0.93%"
"2022- 12- 29","75,000","75,200","75,600","74,700","1.70M","-1.32%"
"2022- 12- 28","76,000","76,700","77,000","75,400","0.03K","-1.30%"
"2022- 12- 27","77,000","77,400","77,600","76,500","0.24K","0.00%"
"2022- 12- 26","77,000","77,700","77,700","76,500","0.17K","-1.03%"
"2022- 12- 25","77,800","77,800","77,800","77,800","","0.00%"
"2022- 12- 23","77,800","77,800","78,300","77,300","1.54M","-1.77%"
"2022- 12- 22","79,200","78,500","79,300","77,900","0.02K","1.54%"
"2022- 12- 21","78,000","78,500","79,200","78,000","2.59K","-0.38%"
"2022- 12- 20","78,300","78,200","78,900","77,800","1.34M","-0.89%"
"2022- 12- 19","79,000","78,300","80,100","78,300","1.81M","0.77%"
"2022- 12- 18","78,400","78,400","78,400","78,400","","0.00%"
"2022- 12- 16","78,400","77,700","79,400","77,500","3.68M","-2.24%"
"2022- 12- 15","80,200","80,700","81,100","79,900","0.05K","-1.96%"
"2022- 12- 14","81,800","82,000","82,600","81,200","0.03K","-0.61%"
"2022- 12- 13","82,300","81,400","82,700","80,500","0.05K","1.48%"
"2022- 12- 12","81,100","80,100","81,200","79,700","0.08K","-0.49%"
"2022- 12- 11","81,500","81,500","81,500","81,500","","0.00%"
"2022- 12- 09","81,500","79,400","81,500","79,300","2.97M","3.43%"
"2022- 12- 08","78,800","78,400","79,800","78,300","0.14K","-0.13%"
"2022- 12- 07","78,900","79,900","80,700","78,700","1.75K","-2.59%"
"2022- 12- 06","81,000","80,000","81,100","79,800","0.18K","0.00%"
"2022- 12- 05","81,000","81,900","82,300","80,700","1.22K","-1.10%"
"2022- 12- 04","81,900","81,900","81,900","81,900","","0.00%"
"2022- 12- 02","81,900","83,900","83,900","81,800","4.41M","-3.31%"
"2022- 12- 01","84,700","87,200","87,200","84,600","0.94K","-0.35%"
"2022- 11- 30","85,000","83,200","85,400","83,100","3.28M","1.55%"
"2022- 11- 29","83,700","82,700","83,800","82,100","0.23K","0.72%"
"2022- 11- 28","83,100","84,200","84,200","82,900","0.22K","-2.35%"
"2022- 11- 27","85,100","85,100","85,100","85,100","","0.00%"
"2022- 11- 25","85,100","87,200","87,300","85,100","1.43M","-2.07%"
"2022- 11- 24","86,900","86,900","87,200","85,700","1.65M","2.00%"
"2022- 11- 23","85,200","86,100","86,700","84,900","1.47M","0.00%"
"2022- 11- 22","85,200","85,500","86,600","84,900","1.60M","-1.27%"
"2022- 11- 21","86,300","87,600","87,700","86,100","2.09M","-2.38%"
"2022- 11- 20","88,400","88,400","88,400","88,400","","0.00%"
"2022- 11- 18","88,400","88,700","91,500","88,100","2.85M","0.80%"
"2022- 11- 17","87,700","82,400","88,500","82,000","3.70M","-4.15%"
"2022- 11- 16","91,500","92,000","92,400","90,300","2.31M","-0.11%"
"2022- 11- 15","91,600","91,300","92,100","90,400","0.00K","0.77%"
"2022- 11- 14","90,900","93,800","93,900","90,900","0.28K","-2.78%"
"2022- 11- 13","93,500","93,500","93,500","93,500","","0.00%"
"2022- 11- 11","93,500","95,200","95,300","92,500","4.91M","4.94%"
"2022- 11- 10","89,100","89,000","90,800","88,300","3.34M","-0.11%"
"2022- 11- 09","89,200","88,100","89,200","86,600","2.61M","1.71%"
"2022- 11- 08","87,700","87,600","89,000","87,400","2.79M","1.39%"
"2022- 11- 07","86,500","85,400","86,800","85,100","0.03K","2.37%"
"2022- 11- 06","84,500","84,500","84,500","84,500","","0.00%"
"2022- 11- 04","84,500","82,700","84,600","81,700","3.02M","2.18%"
"2022- 11- 03","82,700","82,800","83,500","82,000","1.33K","-2.13%"
"2022- 11- 02","84,500","84,100","85,500","83,700","0.03K","0.72%"
"2022- 11- 01","83,900","82,700","83,900","81,400","3.71M","1.45%"
"2022- 10- 31","82,700","84,300","85,400","82,400","6.19M","-0.84%"
"2022- 10- 30","83,400","83,400","83,400","83,400","","0.00%"
"2022- 10- 28","83,400","87,100","87,800","83,000","7.59M","-7.33%"
"2022- 10- 27","90,000","95,000","95,100","89,800","1.06K","-4.15%"
"2022- 10- 26","93,900","93,400","95,500","93,400","2.63K","0.43%"
"2022- 10- 25","93,500","91,900","94,800","91,000","2.65M","1.85%"
"2022- 10- 24","91,800","92,200","93,100","91,200","2.16M","1.44%"
"2022- 10- 23","90,500","90,500","90,500","90,500","","0.00%"
"2022- 10- 21","90,500","89,800","91,400","89,700","2.20M","0.33%"
"2022- 10- 20","90,200","91,000","91,800","89,000","4.49M","-2.91%"
"2022- 10- 19","92,900","94,800","94,900","92,700","1.65K","-3.03%"
"2022- 10- 18","95,800","95,800","96,100","94,600","0.27K","0.63%"
"2022- 10- 17","95,200","94,600","95,300","94,000","0.04K","-0.31%"
"2022- 10- 16","95,500","95,500","95,500","95,500","","0.00%"
"2022- 10- 14","95,500","96,000","96,600","94,300","3.12M","0.63%"
"2022- 10- 13","94,900","93,300","94,900","92,800","0.10K","0.96%"
"2022- 10- 12","94,000","91,100","94,000","90,900","0.35K","4.21%"
"2022- 10- 11","90,200","89,700","91,200","88,000","12.18K","-1.10%"
"2022- 10- 10","91,200","91,200","91,200","91,200","","0.00%"
"2022- 10- 07","91,200","89,600","91,800","87,800","2.41M","1.45%"
"2022- 10- 06","89,900","90,900","92,000","89,800","1.17K","0.11%"
"2022- 10- 05","89,800","90,000","90,400","88,100","5.80M","4.18%"
"2022- 10- 04","86,200","85,200","87,200","85,200","4.13M","3.73%"
"2022- 10- 03","83,100","83,100","83,100","83,100","","0.00%"
"2022- 09- 30","83,100","80,900","83,900","80,400","4.63M","2.85%"
"2022- 09- 29","80,800","82,500","82,900","80,500","2.04M","-0.49%"
"2022- 09- 28","81,200","81,900","83,500","80,500","3.03M","-0.98%"
"2022- 09- 27","82,000","82,200","82,700","80,700","2.57M","-0.61%"
"2022- 09- 26","82,500","81,500","83,200","81,500","2.81M","-1.20%"
"2022- 09- 25","83,500","83,500","83,500","83,500","","0.00%"
"2022- 09- 23","83,500","85,500","86,600","83,300","3.90M","-2.91%"
"2022- 09- 22","86,000","86,400","86,900","85,900","5.88K","-2.27%"
"2022- 09- 21","88,000","87,500","88,300","86,300","0.10K","0.00%"
"2022- 09- 20","88,000","89,000","90,600","87,500","4.23M","-2.22%"
"2022- 09- 19","90,000","90,800","91,500","90,000","1.96M","-1.32%"
"2022- 09- 18","91,200","91,200","91,200","91,200","","0.00%"
"2022- 09- 16","91,200","90,900","91,400","90,000","2.21M","-0.87%"
"2022- 09- 15","92,000","92,800","93,000","91,500","0.12K","-1.08%"
"2022- 09- 14","93,000","91,800","93,400","91,300","0.08K","-1.90%"
"2022- 09- 13","94,800","91,700","95,200","91,700","0.00K","4.87%"
"2022- 09- 12","90,400","90,400","90,400","90,400","","0.00%"
"2022- 09- 08","90,400","90,500","91,000","90,000","1.97M","0.00%"
"2022- 09- 07","90,400","90,900","91,000","89,900","0.00K","-1.53%"
"2022- 09- 06","91,800","91,900","92,900","91,100","1.38M","0.77%"
"2022- 09- 05","91,100","91,900","92,400","90,400","0.06K","-0.65%"
"2022- 09- 04","91,700","91,700","91,700","91,700","","0.00%"
"2022- 09- 02","91,700","92,700","93,300","91,600","2.03M","-0.76%"
"2022- 09- 01","92,400","93,900","93,900","92,300","0.31K","-2.94%"
"2022- 08- 31","95,200","92,600","95,500","92,100","0.01K","2.15%"
"2022- 08- 30","93,200","92,700","93,400","92,400","0.26K","0.76%"
"2022- 08- 29","92,500","92,800","93,300","92,000","0.10K","-2.73%"
"2022- 08- 28","95,100","95,100","95,100","95,100","","0.00%"
"2022- 08- 26","95,100","95,400","96,800","94,700","2.29M","1.06%"
"2022- 08- 25","94,100","93,600","94,100","92,100","2.07M","0.97%"
"2022- 08- 24","93,200","94,100","94,100","93,000","0.21K","-0.43%"
"2022- 08- 23","93,600","94,100","95,400","93,600","0.00K","-1.68%"
"2022- 08- 22","95,200","95,300","95,600","94,000","0.01K","-1.24%"
"2022- 08- 21","96,400","96,400","96,400","96,400","","0.00%"
"2022- 08- 19","96,400","97,000","97,500","95,900","1.88M","0.73%"
"2022- 08- 18","95,700","96,000","96,400","95,300","0.01K","-1.44%"
"2022- 08- 17","97,100","96,700","97,600","95,900","0.04K","0.41%"
"2022- 08- 16","96,700","94,400","97,600","94,400","3.10K","3.64%"
"2022- 08- 15","93,300","93,300","93,300","93,300","","0.00%"
"2022- 08- 12","93,300","92,800","94,400","92,600","1.89M","0.00%"
"2022- 08- 11","93,300","93,500","94,400","92,600","2.32K","1.63%"
"2022- 08- 10","91,800","91,800","93,000","91,800","4.33M","-3.47%"
