"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 04- 21","108,800","110,000","110,600","108,000","528.55K","-1.63%"
"2023- 04- 20","110,600","112,500","113,300","109,300","0.09K","-2.04%"
"2023- 04- 19","112,900","112,600","113,500","111,800","0.18K","1.16%"
"2023- 04- 18","111,600","112,300","113,000","111,000","1.01M","-0.53%"
"2023- 04- 17","112,200","114,800","114,800","111,700","0.11K","-2.60%"
"2023- 04- 16","115,200","115,200","115,200","115,200","","0.00%"
"2023- 04- 14","115,200","116,100","116,900","114,600","791.66K","-0.09%"
"2023- 04- 13","115,300","115,900","117,500","113,500","0.00K","0.61%"
"2023- 04- 12","114,600","112,700","114,900","112,700","1.15K","1.78%"
"2023- 04- 11","112,600","113,500","114,200","112,100","1.09M","-0.35%"
"2023- 04- 10","113,000","115,000","115,900","112,600","1.01M","-1.14%"
"2023- 04- 09","114,300","114,300","114,300","114,300","","0.00%"
"2023- 04- 07","114,300","115,500","116,100","113,800","915.24K","0.35%"
"2023- 04- 06","113,900","117,400","118,100","113,600","883.05K","-2.48%"
"2023- 04- 05","116,800","116,700","119,700","116,100","1.01M","0.78%"
"2023- 04- 04","115,900","114,300","117,200","112,900","0.60K","1.85%"
"2023- 04- 03","113,800","116,000","116,300","113,200","711.45K","-1.30%"
"2023- 04- 02","115,300","115,300","115,300","115,300","","0.00%"
"2023- 03- 31","115,300","114,100","115,700","113,800","851.14K","1.95%"
"2023- 03- 30","113,100","114,500","115,600","113,100","0.05K","-0.53%"
"2023- 03- 29","113,700","112,900","114,500","112,700","549.96K","1.70%"
"2023- 03- 28","111,800","113,100","113,100","109,000","0.16K","-1.50%"
"2023- 03- 27","113,500","113,000","114,500","111,100","0.09K","0.44%"
"2023- 03- 26","113,000","113,000","113,000","113,000","","0.00%"
"2023- 03- 24","113,000","111,900","113,500","111,000","885.08K","1.07%"
"2023- 03- 23","111,800","113,700","114,700","110,300","1.32M","-2.10%"
"2023- 03- 22","114,200","115,600","116,500","113,600","0.13K","0.79%"
"2023- 03- 21","113,300","114,500","114,600","112,400","0.00K","-0.53%"
"2023- 03- 20","113,900","118,200","118,500","112,900","957.64K","-3.39%"
"2023- 03- 19","117,900","117,900","117,900","117,900","","0.00%"
"2023- 03- 17","117,900","119,000","119,500","116,900","903.56K","0.34%"
"2023- 03- 16","117,500","115,900","119,200","115,900","1.38K","0.09%"
"2023- 03- 15","117,400","114,400","117,800","113,200","0.02K","5.01%"
"2023- 03- 14","111,800","116,700","117,300","111,200","1.11M","-4.85%"
"2023- 03- 13","117,500","116,100","118,500","113,600","0.74K","1.56%"
"2023- 03- 12","115,700","115,700","115,700","115,700","","0.00%"
"2023- 03- 10","115,700","115,400","118,300","114,600","840.47K","-1.11%"
"2023- 03- 09","117,000","119,600","121,400","116,700","0.02K","-0.43%"
"2023- 03- 08","117,500","116,200","120,600","116,200","1.71M","2.71%"
"2023- 03- 07","114,400","114,400","115,400","112,200","745.86K","-0.09%"
"2023- 03- 06","114,500","112,000","115,500","111,100","962.06K","3.34%"
"2023- 03- 05","110,800","110,800","110,800","110,800","","0.00%"
"2023- 03- 03","110,800","112,500","113,400","109,500","472.95K","-0.54%"
"2023- 03- 02","111,400","110,600","112,400","110,600","482.80K","0.18%"
"2023- 03- 01","111,200","111,200","111,200","111,200","","0.00%"
"2023- 02- 28","111,200","113,400","113,400","110,500","645.26K","-1.33%"
"2023- 02- 27","112,700","112,800","114,100","111,400","553.82K","-0.62%"
"2023- 02- 26","113,400","113,400","113,400","113,400","","0.00%"
"2023- 02- 24","113,400","115,000","115,700","112,400","709.23K","-1.13%"
"2023- 02- 23","114,700","112,400","117,000","112,300","0.07K","3.24%"
"2023- 02- 22","111,100","113,000","113,800","111,000","0.19K","-2.54%"
"2023- 02- 21","114,000","113,200","116,100","112,600","731.46K","0.62%"
"2023- 02- 20","113,300","114,000","115,100","112,800","726.75K","-0.53%"
"2023- 02- 19","113,900","113,900","113,900","113,900","","0.00%"
"2023- 02- 17","113,900","112,600","115,500","112,100","730.46K","-0.09%"
"2023- 02- 16","114,000","113,900","116,400","113,200","0.02K","1.06%"
"2023- 02- 15","112,800","113,600","114,200","112,400","1.11M","-0.44%"
"2023- 02- 14","113,300","108,800","114,200","108,800","0.10K","5.69%"
"2023- 02- 13","107,200","110,000","110,000","105,500","905.28K","-3.07%"
"2023- 02- 12","110,600","110,600","110,600","110,600","","0.00%"
"2023- 02- 10","110,600","108,000","112,200","106,900","1.32M","2.41%"
"2023- 02- 09","108,000","106,600","108,800","105,000","1.18M","0.37%"
"2023- 02- 08","107,600","102,500","108,800","102,200","1.81M","5.49%"
"2023- 02- 07","102,000","101,800","103,000","101,300","563.62K","0.39%"
"2023- 02- 06","101,600","100,900","102,900","100,000","662.40K","0.79%"
"2023- 02- 05","100,800","100,800","100,800","100,800","","0.00%"
"2023- 02- 03","100,800","101,300","102,100","100,200","491.32K","-0.10%"
"2023- 02- 02","100,900","100,100","101,500","99,000","724.50K","1.82%"
"2023- 02- 01","99,100","100,100","100,100","98,100","735.84K","-1.00%"
"2023- 01- 31","100,100","99,900","103,200","99,300","0.03K","-0.30%"
"2023- 01- 30","100,400","100,000","101,200","98,100","1.29M","2.34%"
"2023- 01- 29","98,100","98,100","98,100","98,100","","0.00%"
"2023- 01- 27","98,100","98,100","100,000","97,500","810.40K","0.20%"
"2023- 01- 26","97,900","96,400","97,900","95,800","493.50K","1.35%"
"2023- 01- 25","96,600","97,200","97,700","96,200","0.10K","0.31%"
"2023- 01- 20","96,300","96,200","96,700","95,000","389.88K","0.00%"
"2023- 01- 19","96,300","94,100","97,100","94,100","0.09K","1.16%"
"2023- 01- 18","95,200","94,700","95,600","94,300","0.05K","0.53%"
"2023- 01- 17","94,700","94,200","95,200","93,300","492.56K","0.32%"
"2023- 01- 16","94,400","94,800","95,800","92,700","0.00K","0.21%"
"2023- 01- 13","94,200","94,100","95,300","93,600","499.80K","0.53%"
"2023- 01- 12","93,700","95,000","95,500","93,100","0.37K","-1.16%"
