"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 04- 21","182,300","184,500","184,500","178,100","504.93K","-1.67%"
"2023- 04- 20","185,400","185,900","188,400","184,600","0.51K","-1.12%"
"2023- 04- 19","187,500","188,200","189,200","186,400","0.03K","-0.27%"
"2023- 04- 18","188,000","195,500","195,500","185,500","1.08M","-2.84%"
"2023- 04- 17","193,500","191,700","198,300","190,500","0.01K","1.63%"
"2023- 04- 16","190,400","190,400","190,400","190,400","","0.00%"
"2023- 04- 14","190,400","193,500","193,600","189,300","663.30K","-0.68%"
"2023- 04- 13","191,700","188,500","192,200","186,200","0.01K","-0.78%"
"2023- 04- 12","193,200","200,000","204,500","192,500","0.16K","-4.83%"
"2023- 04- 11","203,000","206,000","209,000","196,100","1.60M","2.68%"
"2023- 04- 10","197,700","189,100","199,100","187,100","2.27M","7.74%"
"2023- 04- 09","183,500","183,500","183,500","183,500","","0.00%"
"2023- 04- 07","183,500","176,200","187,700","174,100","1.70M","4.14%"
"2023- 04- 06","176,200","178,600","178,800","173,100","878.92K","-1.62%"
"2023- 04- 05","179,100","181,900","182,700","177,900","0.78K","-1.16%"
"2023- 04- 04","181,200","182,500","187,800","179,500","0.49K","0.67%"
"2023- 04- 03","180,000","181,500","184,700","179,200","1.17M","0.39%"
"2023- 04- 02","179,300","179,300","179,300","179,300","","0.00%"
"2023- 03- 31","179,300","183,500","185,400","177,700","1.94M","-4.22%"
"2023- 03- 30","187,200","166,200","194,900","163,100","2.20K","13.80%"
"2023- 03- 29","164,500","164,000","166,600","162,300","0.13K","0.80%"
"2023- 03- 28","163,200","168,100","168,500","161,600","0.29K","-2.16%"
"2023- 03- 27","166,800","161,600","169,400","160,800","0.01K","4.51%"
"2023- 03- 26","159,600","159,600","159,600","159,600","","0.00%"
"2023- 03- 24","159,600","160,900","162,200","156,800","530.83K","0.25%"
"2023- 03- 23","159,200","158,900","161,100","157,700","592.56K","-1.00%"
"2023- 03- 22","160,800","159,100","161,700","156,400","0.32K","2.62%"
"2023- 03- 21","156,700","158,700","159,500","155,500","0.00K","-1.07%"
"2023- 03- 20","158,400","162,100","162,400","157,300","588.21K","-2.34%"
"2023- 03- 19","162,200","162,200","162,200","162,200","","0.00%"
"2023- 03- 17","162,200","164,800","165,100","160,800","560.04K","-0.80%"
"2023- 03- 16","163,500","162,600","166,000","160,500","0.01K","-1.03%"
"2023- 03- 15","165,200","172,800","173,000","164,000","0.77K","-2.82%"
"2023- 03- 14","170,000","174,400","174,600","168,900","556.94K","-3.46%"
"2023- 03- 13","176,100","172,000","176,500","168,700","0.76K","1.50%"
"2023- 03- 12","173,500","173,500","173,500","173,500","","0.00%"
"2023- 03- 10","173,500","163,300","174,400","162,000","1.19M","5.22%"
"2023- 03- 09","164,900","171,800","172,000","163,200","0.03K","-3.51%"
"2023- 03- 08","170,900","174,000","174,100","168,500","782.94K","-3.34%"
"2023- 03- 07","176,800","169,800","179,900","169,200","1.67M","5.24%"
"2023- 03- 06","168,000","162,900","169,000","159,300","1.17M","4.48%"
"2023- 03- 05","160,800","160,800","160,800","160,800","","0.00%"
"2023- 03- 03","160,800","162,200","164,100","158,700","629.77K","0.19%"
"2023- 03- 02","160,500","151,200","161,000","150,500","1.08M","6.93%"
"2023- 03- 01","150,100","150,100","150,100","150,100","","0.00%"
"2023- 02- 28","150,100","152,900","153,300","150,100","563.51K","-1.18%"
"2023- 02- 27","151,900","154,100","154,100","150,000","463.49K","-2.06%"
"2023- 02- 26","155,100","155,100","155,100","155,100","","0.00%"
"2023- 02- 24","155,100","156,500","156,900","155,000","371.92K","-0.89%"
"2023- 02- 23","156,500","159,800","159,900","156,100","507.46K","-1.45%"
"2023- 02- 22","158,800","160,400","161,500","158,700","0.00K","-1.98%"
"2023- 02- 21","162,000","160,200","162,600","159,500","637.86K","2.14%"
"2023- 02- 20","158,600","159,900","160,700","157,100","324.99K","-1.06%"
"2023- 02- 19","160,300","160,300","160,300","160,300","","0.00%"
"2023- 02- 17","160,300","157,300","161,400","156,300","466.39K","0.19%"
"2023- 02- 16","160,000","156,000","161,700","156,000","0.12K","3.23%"
"2023- 02- 15","155,000","165,500","165,500","153,600","1.89M","-7.46%"
"2023- 02- 14","167,500","169,900","170,700","166,800","0.53K","-0.95%"
"2023- 02- 13","169,100","167,500","172,300","167,500","498.31K","1.08%"
"2023- 02- 12","167,300","167,300","167,300","167,300","","0.00%"
"2023- 02- 10","167,300","166,900","168,300","165,200","420.41K","-0.89%"
"2023- 02- 09","168,800","164,100","171,600","163,200","754.78K","2.24%"
"2023- 02- 08","165,100","163,000","165,700","162,800","658.32K","1.54%"
"2023- 02- 07","162,600","171,200","175,000","162,600","1.54M","-4.86%"
"2023- 02- 06","170,900","170,300","174,400","168,500","394.27K","-0.64%"
