"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 04- 21","166,300","168,100","168,200","165,700","55.91K","-1.13%"
"2023- 04- 20","168,200","170,200","170,200","167,600","0.04K","-1.35%"
"2023- 04- 19","170,500","170,000","172,200","169,900","0.01K","0.29%"
"2023- 04- 18","170,000","170,300","171,100","168,900","158.77K","0.00%"
"2023- 04- 17","170,000","174,400","174,500","169,600","0.00K","-2.69%"
"2023- 04- 16","174,700","174,700","174,700","174,700","","0.00%"
"2023- 04- 14","174,700","173,300","175,800","173,300","133.79K","1.16%"
"2023- 04- 13","172,700","175,500","175,500","172,700","169.79K","-2.04%"
"2023- 04- 12","176,300","172,400","177,000","172,400","0.03K","2.38%"
"2023- 04- 11","172,200","171,400","173,900","169,100","189.76K","0.53%"
"2023- 04- 10","171,300","170,500","172,900","169,600","100.04K","0.12%"
"2023- 04- 09","171,100","171,100","171,100","171,100","","0.00%"
"2023- 04- 07","171,100","169,400","172,000","168,100","103.59K","1.24%"
"2023- 04- 06","169,000","172,900","172,900","168,600","184.09K","-2.65%"
"2023- 04- 05","173,600","174,500","176,600","173,100","0.01K","-0.52%"
"2023- 04- 04","174,500","171,000","176,400","171,000","0.13K","1.57%"
"2023- 04- 03","171,800","172,800","174,800","171,100","113.67K","-0.41%"
"2023- 04- 02","172,500","172,500","172,500","172,500","","0.00%"
"2023- 03- 31","172,500","173,300","173,900","170,400","139.24K","-0.17%"
"2023- 03- 30","172,800","167,000","174,800","165,800","330.28K","4.28%"
"2023- 03- 29","165,700","166,200","167,300","164,300","141.23K","-0.24%"
"2023- 03- 28","166,100","165,500","166,800","164,200","123.91K","0.73%"
"2023- 03- 27","164,900","166,000","166,100","163,600","0.05K","-0.18%"
"2023- 03- 24","165,200","162,900","165,800","162,500","118.25K","1.16%"
"2023- 03- 23","163,300","163,500","165,600","162,400","195.41K","-1.21%"
"2023- 03- 22","165,300","168,500","168,800","164,300","0.01K","-1.14%"
"2023- 03- 21","167,200","163,400","170,100","163,400","172.66K","2.64%"
"2023- 03- 20","162,900","164,900","165,700","162,600","128.46K","-1.27%"
"2023- 03- 19","165,000","165,000","165,000","165,000","","0.00%"
"2023- 03- 17","165,000","164,500","167,700","163,100","184.30K","1.29%"
"2023- 03- 16","162,900","165,100","165,100","162,300","199.14K","-1.87%"
"2023- 03- 15","166,000","169,600","169,800","165,700","0.01K","-0.95%"
"2023- 03- 14","167,600","170,900","171,500","167,500","200.47K","-2.95%"
"2023- 03- 13","172,700","172,300","173,200","170,200","0.03K","0.23%"
"2023- 03- 12","172,300","172,300","172,300","172,300","","0.00%"
"2023- 03- 10","172,300","173,000","173,000","170,800","219.30K","-1.15%"
"2023- 03- 09","174,300","178,200","178,700","174,100","0.01K","-2.02%"
"2023- 03- 08","177,900","178,000","178,800","177,300","214.50K","-1.71%"
"2023- 03- 07","181,000","183,800","184,400","181,000","181.93K","-1.84%"
"2023- 03- 06","184,400","183,300","184,600","182,100","128.88K","1.43%"
"2023- 03- 03","181,800","181,200","183,300","181,200","126.10K","-0.16%"
"2023- 03- 02","182,100","177,600","182,300","177,400","194.30K","1.96%"
"2023- 03- 01","178,600","178,600","178,600","178,600","","0.00%"
"2023- 02- 28","178,600","178,800","179,300","177,800","355.55K","0.17%"
"2023- 02- 27","178,300","179,800","180,100","177,500","187.47K","-1.16%"
"2023- 02- 26","180,400","180,400","180,400","180,400","","0.00%"
"2023- 02- 24","180,400","182,400","183,300","180,100","188.96K","-1.15%"
"2023- 02- 23","182,500","184,300","184,700","182,200","0.02K","-0.87%"
"2023- 02- 22","184,100","186,600","186,700","184,000","193.47K","-2.02%"
"2023- 02- 21","187,900","187,900","190,500","187,100","142.86K","0.00%"
"2023- 02- 20","187,900","187,100","188,900","185,800","134.05K","0.43%"
"2023- 02- 19","187,100","187,100","187,100","187,100","","0.00%"
"2023- 02- 17","187,100","186,100","189,300","186,100","125.55K","-0.37%"
"2023- 02- 16","187,800","187,500","189,700","187,300","0.00K","0.81%"
"2023- 02- 15","186,300","196,100","197,000","186,100","402.74K","-5.91%"
"2023- 02- 14","198,000","197,400","198,600","196,400","99.66K","1.02%"
"2023- 02- 13","196,000","197,400","199,900","195,900","126.72K","-1.51%"
"2023- 02- 12","199,000","199,000","199,000","199,000","","0.00%"
"2023- 02- 10","199,000","197,200","199,300","196,900","94.85K","0.05%"
"2023- 02- 09","198,900","198,300","202,000","198,200","107.88K","-0.80%"
"2023- 02- 08","200,500","196,200","200,500","196,200","97.47K","2.56%"
"2023- 02- 07","195,500","197,000","198,000","195,300","125.49K","-0.96%"
"2023- 02- 06","197,400","199,500","201,000","196,900","103.69K","-1.55%"
"2023- 02- 03","200,500","198,300","200,500","197,100","92.58K","1.11%"
"2023- 02- 02","198,300","201,500","202,500","197,600","144.45K","-1.10%"
"2023- 02- 01","200,500","198,400","200,500","197,800","120.89K","1.21%"
"2023- 01- 31","198,100","199,800","202,500","197,200","162.47K","-0.85%"
"2023- 01- 30","199,800","203,500","205,000","199,800","112.04K","-2.77%"
"2023- 01- 29","205,500","205,500","205,500","205,500","","0.00%"
"2023- 01- 27","205,500","197,900","206,000","197,900","230.79K","3.84%"
"2023- 01- 26","197,900","194,400","197,900","194,400","105.63K","1.64%"
"2023- 01- 25","194,700","195,100","197,100","193,900","90.83K","0.36%"
"2023- 01- 20","194,000","192,000","194,000","190,000","63.34K","0.52%"
"2023- 01- 19","193,000","190,000","194,500","190,000","0.00K","0.52%"
"2023- 01- 18","192,000","194,000","194,000","190,500","67.79K","-1.03%"
"2023- 01- 17","194,000","194,500","195,000","192,000","93.01K","-0.26%"
"2023- 01- 16","194,500","194,500","196,000","192,000","73.66K","0.78%"
"2023- 01- 13","193,000","192,000","197,000","191,500","123.08K","1.31%"
"2023- 01- 12","190,500","190,000","192,500","189,500","119.29K","0.53%"
"2023- 01- 11","189,500","189,500","191,000","188,500","83.60K","0.00%"
"2023- 01- 10","189,500","193,000","193,000","188,000","127.18K","-2.07%"
"2023- 01- 09","193,500","189,500","194,000","188,500","0.01K","3.75%"
"2023- 01- 06","186,500","185,000","188,500","185,000","98.74K","-0.53%"
"2023- 01- 05","187,500","188,500","191,000","186,000","0.00K","-0.53%"
"2023- 01- 04","188,500","182,000","189,500","181,000","113.00K","2.45%"
"2023- 01- 03","184,000","185,000","185,500","178,500","190.18K","-0.54%"
"2023- 01- 02","185,000","188,500","191,000","184,500","91.39K","-2.12%"
"2022- 12- 29","189,000","195,000","196,000","189,000","142.94K","-3.82%"
"2022- 12- 28","196,500","198,500","198,500","195,500","0.00K","-2.96%"
"2022- 12- 27","202,500","200,500","202,500","200,500","139.25K","1.00%"
"2022- 12- 26","200,500","199,500","201,000","198,000","102.51K","1.01%"
"2022- 12- 23","198,500","199,000","200,500","197,500","87.56K","-1.24%"
"2022- 12- 22","201,000","200,500","201,500","199,000","0.02K","0.75%"
