"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 04- 21","216,000","215,500","217,500","215,000","23.35K","-0.92%"
"2023- 04- 20","218,000","212,000","218,500","211,000","82.40K","2.59%"
"2023- 04- 19","212,500","210,000","213,000","210,000","42.58K","0.71%"
"2023- 04- 18","211,000","206,500","212,000","206,000","104.39K","2.18%"
"2023- 04- 17","206,500","207,500","208,000","205,500","49.91K","-0.48%"
"2023- 04- 16","207,500","207,500","207,500","207,500","","0.00%"
"2023- 04- 14","207,500","205,500","208,500","205,500","79.82K","0.97%"
"2023- 04- 13","205,500","205,000","207,000","203,500","94.31K","-0.48%"
"2023- 04- 12","206,500","203,500","207,000","203,500","57.49K","0.98%"
"2023- 04- 11","204,500","202,500","206,000","202,000","63.27K","1.24%"
"2023- 04- 10","202,000","201,500","205,500","201,000","49.46K","-0.25%"
"2023- 04- 07","202,500","204,500","204,500","201,500","58.14K","-0.98%"
"2023- 04- 06","204,500","206,500","207,500","204,500","48.41K","-0.97%"
"2023- 04- 05","206,500","209,000","210,000","206,500","32.61K","-0.24%"
"2023- 04- 04","207,000","208,000","208,000","204,000","70.16K","0.00%"
"2023- 04- 03","207,000","206,000","208,000","205,000","54.91K","0.49%"
"2023- 03- 31","206,000","207,000","209,500","204,500","104.19K","-0.48%"
"2023- 03- 30","207,000","206,000","208,000","205,000","75.08K","-0.24%"
"2023- 03- 29","207,500","203,000","208,000","203,000","63.07K","2.47%"
"2023- 03- 28","202,500","201,500","203,000","200,500","41.14K","1.00%"
"2023- 03- 27","200,500","203,000","203,000","199,800","55.50K","-0.99%"
"2023- 03- 24","202,500","205,500","206,500","201,000","78.52K","-2.64%"
"2023- 03- 23","208,000","209,000","210,000","205,500","67.04K","-0.48%"
"2023- 03- 22","209,000","209,000","210,500","207,500","51.77K","0.72%"
"2023- 03- 21","207,500","209,500","212,500","207,500","86.95K","-0.48%"
"2023- 03- 20","208,500","214,500","215,500","207,500","88.35K","-3.25%"
"2023- 03- 17","215,500","214,500","216,000","213,000","98.18K","1.41%"
"2023- 03- 16","212,500","214,500","215,500","211,000","71.87K","-1.62%"
"2023- 03- 15","216,000","215,000","217,000","214,000","84.34K","0.23%"
"2023- 03- 14","215,500","215,500","217,500","213,000","128.72K","-1.15%"
"2023- 03- 13","218,000","215,500","218,000","213,500","102.90K","1.87%"
"2023- 03- 10","214,000","212,500","216,000","211,500","83.24K","0.47%"
"2023- 03- 09","213,000","210,500","215,500","209,000","117.40K","1.67%"
"2023- 03- 08","209,500","213,000","213,500","207,000","93.32K","-2.33%"
"2023- 03- 07","214,500","215,500","216,500","213,500","55.10K","-0.46%"
"2023- 03- 06","215,500","212,500","217,000","212,000","66.70K","2.13%"
"2023- 03- 05","211,000","211,000","211,000","211,000","","0.00%"
"2023- 03- 03","211,000","217,500","218,000","210,500","81.20K","-3.21%"
"2023- 03- 02","218,000","215,000","219,500","214,500","104.51K","1.63%"
"2023- 02- 28","214,500","216,000","216,500","211,000","98.89K","-0.92%"
"2023- 02- 27","216,500","213,500","217,500","212,500","81.62K","1.41%"
"2023- 02- 24","213,500","211,000","217,500","211,000","91.09K","0.47%"
"2023- 02- 23","212,500","208,500","215,500","207,000","155.49K","2.41%"
"2023- 02- 22","207,500","206,500","208,500","205,500","73.54K","0.73%"
"2023- 02- 21","206,000","204,000","206,000","203,500","39.94K","0.49%"
"2023- 02- 20","205,000","205,500","206,000","203,000","62.69K","-0.73%"
"2023- 02- 17","206,500","204,000","207,000","202,500","77.94K","0.73%"
"2023- 02- 16","205,000","205,500","206,000","202,500","0.05K","0.00%"
"2023- 02- 15","205,000","203,500","205,500","202,000","65.90K","0.24%"
