"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 04- 21","55,300","55,000","55,500","54,900","623.01K","0.91%"
"2023- 04- 20","54,800","55,300","55,500","54,800","0.10K","-1.26%"
"2023- 04- 19","55,500","55,600","55,700","55,100","0.02K","-0.36%"
"2023- 04- 18","55,700","55,700","55,700","55,100","1.08M","0.00%"
"2023- 04- 17","55,700","55,100","55,700","54,800","0.06K","0.91%"
"2023- 04- 16","55,200","55,200","55,200","55,200","","0.00%"
"2023- 04- 14","55,200","55,700","55,700","54,800","1.07M","0.36%"
"2023- 04- 13","55,000","55,200","55,400","54,900","0.31K","-1.08%"
"2023- 04- 12","55,600","55,300","55,600","55,000","951.28K","0.54%"
"2023- 04- 11","55,300","56,000","56,100","55,200","1.30M","-0.90%"
"2023- 04- 10","55,800","54,700","55,800","54,400","1.18K","1.82%"
"2023- 04- 09","54,800","54,800","54,800","54,800","","0.00%"
"2023- 04- 07","54,800","54,100","55,000","53,900","2.18M","3.20%"
"2023- 04- 06","53,100","53,400","53,600","53,000","882.01K","-1.30%"
"2023- 04- 05","53,800","53,300","53,800","53,200","0.50K","0.19%"
"2023- 04- 04","53,700","53,800","54,000","53,600","0.02K","-0.19%"
"2023- 04- 03","53,800","54,300","54,500","53,600","1.18M","-0.19%"
"2023- 04- 02","53,900","53,900","53,900","53,900","","0.00%"
"2023- 03- 31","53,900","53,600","53,900","53,400","1.85M","0.94%"
"2023- 03- 30","53,400","54,000","54,000","53,200","0.21K","0.19%"
"2023- 03- 29","53,300","52,800","53,300","52,600","1.49K","0.57%"
"2023- 03- 28","53,000","52,200","53,000","52,200","0.67K","1.15%"
"2023- 03- 27","52,400","52,800","52,800","52,000","0.11K","-0.76%"
"2023- 03- 26","52,800","52,800","52,800","52,800","","0.00%"
"2023- 03- 24","52,800","52,500","53,000","52,400","2.01M","0.19%"
"2023- 03- 23","52,700","52,100","52,700","52,000","2.21M","0.19%"
"2023- 03- 22","52,600","52,700","52,700","52,100","0.22K","0.57%"
"2023- 03- 21","52,300","52,700","53,000","52,200","0.02K","-0.38%"
"2023- 03- 20","52,500","53,300","53,300","52,500","0.02K","-2.05%"
"2023- 03- 19","53,600","53,600","53,600","53,600","","0.00%"
"2023- 03- 17","53,600","52,600","53,600","52,400","2.10M","3.08%"
"2023- 03- 16","52,000","51,900","52,400","51,500","0.01K","-0.57%"
"2023- 03- 15","52,300","52,700","52,800","52,300","0.07K","0.58%"
"2023- 03- 14","52,000","52,300","52,900","52,000","845.54K","-2.07%"
"2023- 03- 13","53,100","52,900","53,500","52,600","0.18K","-0.19%"
"2023- 03- 12","53,200","53,200","53,200","53,200","","0.00%"
"2023- 03- 10","53,200","52,800","53,300","52,500","789.17K","-0.56%"
"2023- 03- 09","53,500","54,100","54,100","53,500","0.50K","-1.11%"
"2023- 03- 08","54,100","53,600","54,100","53,500","747.19K","0.00%"
"2023- 03- 07","54,100","54,800","54,900","54,100","697.57K","-1.10%"
"2023- 03- 06","54,700","53,900","54,700","53,500","1.06M","1.86%"
"2023- 03- 05","53,700","53,700","53,700","53,700","","0.00%"
"2023- 03- 03","53,700","54,000","54,100","53,700","698.31K","-0.37%"
"2023- 03- 02","53,900","53,400","54,100","53,200","0.00K","0.94%"
"2023- 03- 01","53,400","53,400","53,400","53,400","","0.00%"
"2023- 02- 28","53,400","53,800","54,300","53,400","1.16M","-0.37%"
"2023- 02- 27","53,600","54,000","54,200","53,400","714.07K","-1.65%"
"2023- 02- 26","54,500","54,500","54,500","54,500","","0.00%"
"2023- 02- 24","54,500","55,200","55,500","54,500","647.12K","-1.09%"
"2023- 02- 23","55,100","54,800","55,500","54,800","782.18K","0.55%"
"2023- 02- 22","54,800","54,700","55,000","54,500","736.90K","-0.90%"
"2023- 02- 21","55,300","55,800","55,800","55,300","440.66K","-1.07%"
"2023- 02- 20","55,900","55,600","55,900","55,200","429.94K","0.18%"
"2023- 02- 19","55,800","55,800","55,800","55,800","","0.00%"
"2023- 02- 17","55,800","56,000","56,100","55,700","638.76K","-1.24%"
"2023- 02- 16","56,500","56,000","56,600","55,800","1.01M","1.25%"
"2023- 02- 15","55,800","56,600","56,700","55,500","601.49K","-1.24%"
"2023- 02- 14","56,500","56,400","56,700","56,200","663.05K","0.71%"
"2023- 02- 13","56,100","56,300","56,400","55,900","449.72K","-0.53%"
"2023- 02- 12","56,400","56,400","56,400","56,400","","0.00%"
"2023- 02- 10","56,400","56,500","56,600","56,000","637.67K","-0.70%"
"2023- 02- 09","56,800","56,500","56,800","56,100","696.08K","-0.35%"
