"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 04- 21","227,500","226,500","228,000","225,500","108.37K","-0.22%"
"2023- 04- 20","228,000","227,500","230,000","226,000","0.01K","0.44%"
"2023- 04- 19","227,000","225,500","228,500","225,000","0.03K","0.89%"
"2023- 04- 18","225,000","228,000","229,500","223,000","222.12K","-1.32%"
"2023- 04- 17","228,000","230,000","231,000","226,500","0.45K","-1.30%"
"2023- 04- 16","231,000","231,000","231,000","231,000","","0.00%"
"2023- 04- 14","231,000","232,000","233,500","229,000","191.96K","-0.22%"
"2023- 04- 13","231,500","230,500","232,000","227,000","0.05K","-0.22%"
"2023- 04- 12","232,000","224,500","233,500","223,500","0.18K","4.98%"
"2023- 04- 11","221,000","213,500","221,000","212,000","376.03K","3.51%"
"2023- 04- 10","213,500","213,000","216,000","212,500","180.23K","0.00%"
"2023- 04- 09","213,500","213,500","213,500","213,500","","0.00%"
"2023- 04- 07","213,500","215,500","215,500","213,000","166.97K","-1.16%"
"2023- 04- 06","216,000","218,000","219,500","215,500","176.42K","-0.92%"
"2023- 04- 05","218,000","215,500","218,500","215,000","0.04K","1.40%"
"2023- 04- 04","215,000","215,500","217,000","214,000","0.01K","0.47%"
"2023- 04- 03","214,000","216,500","217,000","213,000","183.18K","-0.93%"
"2023- 04- 02","216,000","216,000","216,000","216,000","","0.00%"
"2023- 03- 31","216,000","215,000","218,000","214,500","179.43K","1.41%"
"2023- 03- 30","213,000","213,500","215,000","211,000","210.31K","-1.16%"
"2023- 03- 29","215,500","214,000","215,500","213,000","137.47K","0.94%"
"2023- 03- 28","213,500","211,500","214,000","211,000","0.01K","0.95%"
"2023- 03- 27","211,500","212,000","213,500","210,500","0.01K","0.48%"
"2023- 03- 24","210,500","216,000","216,000","210,000","229.40K","-3.22%"
"2023- 03- 23","217,500","215,000","219,500","214,500","189.82K","0.69%"
"2023- 03- 22","216,000","216,000","216,500","214,000","105.37K","0.47%"
"2023- 03- 21","215,000","214,500","216,500","213,000","0.00K","1.18%"
"2023- 03- 20","212,500","217,500","217,500","212,500","133.90K","-2.30%"
"2023- 03- 19","217,500","217,500","217,500","217,500","","0.00%"
"2023- 03- 17","217,500","216,000","219,000","215,000","166.99K","1.40%"
"2023- 03- 16","214,500","217,000","218,500","214,000","132.96K","-2.05%"
"2023- 03- 15","219,000","215,500","220,500","214,000","165.60K","2.58%"
"2023- 03- 14","213,500","216,500","217,500","211,500","173.21K","-2.29%"
"2023- 03- 13","218,500","217,000","219,500","215,500","0.01K","0.92%"
"2023- 03- 12","216,500","216,500","216,500","216,500","","0.00%"
"2023- 03- 10","216,500","217,000","218,500","215,000","140.24K","-1.59%"
"2023- 03- 09","220,000","216,000","222,000","215,000","341.78K","2.09%"
"2023- 03- 08","215,500","216,000","217,000","214,000","155.79K","-1.15%"
"2023- 03- 07","218,000","219,500","220,000","217,000","156.82K","-0.46%"
"2023- 03- 06","219,000","218,000","220,000","216,500","188.62K","1.15%"
"2023- 03- 05","216,500","216,500","216,500","216,500","","0.00%"
"2023- 03- 03","216,500","218,500","219,500","216,000","131.96K","-0.23%"
"2023- 03- 02","217,000","213,000","219,500","213,000","261.57K","2.12%"
