,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,open,high,low,vol,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-11,-1.862970711297071,-0.6350847457627119,1.980037263774288,-0.4284939922305538,-0.9942868025138069,42.345238095238095,-1.4510599909788002,-1.0,-1.6333333333333333,1.0,-2.1464435146443517,-1.108974358974359,-0.45,-0.43,0.05,0.17,-0.14,-0.12,1.1,0.63,0.27,-0.59,3.25,2.8,-1.49,-0.95,0.03,0.24,3.41,-0.85,-0.01651376146788991,-0.017985611510791366,-0.026217228464419477,-0.4973167796443658,0.0,0,0,0,0,0
2022-01-15,-0.9529866000454236,-2.0592592592592593,-0.7026609442060086,-0.16608996539792387,-1.0485731633272617,-3.090589270008795,-2.156156156156156,1.0,-0.9529411764705882,-1.0,-1.02880658436214,-1.0,-0.56,-0.54,0.59,0.68,0.08,0.06,2.34,3.98,0.41,5.43,8.27,5.74,-1.21,-1.36,0.33,2.33,-5.51,2.07,-0.023076923076923078,-0.015238095238095238,-0.005905511811023622,-0.4272212615770898,4.0,1,0,0,0,0
2022-01-19,0.6127852729794477,0.029827003380393718,1.5785636164783083,-1.3297872340425532,-0.5578970718722271,-0.03322565759113982,6.090694935217903,-0.11764705882352941,-0.38130155820348305,-1.0,1.7195767195767195,-1.8,-1.51,-1.58,-2.6,-2.45,-1.83,-1.84,-0.58,-0.3,0.58,3.67,4.3,1.79,-1.46,-0.89,0.23,-4.44,18.76,2.08,-0.011764705882352941,-0.015625,-0.01616161616161616,0.14203819188906536,1.0,0,0,0,0,0
2022-01-20,0.04925338128371511,-0.22108515157366287,0.32574579386398983,-1.2620967741935485,-0.515805318615153,-2.926968973747017,-0.3546511627906977,-10.466666666666667,-0.5244444444444445,-0.0,-0.9241245136186771,-2.2083333333333335,-0.96,-0.99,-1.15,-1.13,-0.97,-1.03,-0.67,-4.11,-0.23,-1.14,0.43,21.13,-1.06,-0.77,-0.38,-3.09,4.65,1.79,-0.041666666666666664,-0.025793650793650792,-0.022587268993839837,0.22422330755664088,2.0,0,0,0,0,0
2022-01-21,-0.5501080396393712,0.05280118988596926,-0.8038818385411113,30.73846153846154,-0.20414507772020726,-0.8540995788952193,0.33256113256113257,-1.0070422535211268,-2.769470404984424,-1.0,0.41025641025641024,2.5517241379310347,-0.89,-0.84,-1.3,-1.28,-1.1,-1.09,0.83,2.75,0.23,-2.31,-2.29,4.65,2.66,0.72,0.36,-3.25,7.3,-0.07,-0.012422360248447204,-0.010183299389002037,-0.004201680672268907,-0.08282310569330932,3.0,1,1,0,0,0
2022-01-22,2.228055647565419,-1.9792794914056981,11.90810222947254,-1.1871061560833738,1.9166666666666667,22.95925297113752,0.18215182538149507,-1.0,-1.8080985915492958,-1.0,-2.9454545454545453,-1.174757281553398,-1.3,-1.33,-2.72,-2.79,-1.89,-1.89,-0.66,0.36,-0.09,-2.24,-1.08,-5.56,-1.65,-0.99,0.01,-1.72,12.74,-2.03,0.0020964360587002098,-0.00823045267489712,-0.008438818565400843,0.27525637733911285,4.0,0,0,0,0,0
2022-01-25,-0.9428454158329486,-0.5268093291656648,-0.8686915494144409,-15.33419689119171,1.3977678571428571,-0.6888463718820862,-0.9122549019607843,-1.0,6.6383442265795205,-2.2058823529411766,-0.6448598130841121,-0.7777777777777778,0.29,0.28,0.63,0.52,0.28,0.31,-0.16,-0.93,0.28,0.2,-5.36,-4.23,-2.91,-1.49,0.26,1.31,3.64,-2.15,-0.010460251046025104,-0.014522821576763486,-0.01702127659574468,-0.28714055616087925,0.0,0,0,0,0,0
2022-01-26,5.090664272890485,-0.5863821138211383,1.5152390118703882,-1.4404482197722754,-0.7741575125674921,-0.6643133682532453,-1.1936685288640596,-1.0669856459330143,-0.881061038220194,-0.8780487804878049,4.421052631578948,-10.0,-0.19,-0.2,-2.28,-2.48,-1.22,-1.24,1.5,2.24,0.03,0.0,5.8,13.53,-2.84,-2.56,0.06,-3.71,4.21,2.75,-0.010570824524312896,-0.008421052631578947,-0.012987012987012988,0.15091957269359207,1.0,0,0,0,0,0
2022-01-27,0.5917464996315401,-16.782555282555283,-1.0957908163265306,-1.5652441526466967,0.427040395713108,-1.8819538670284939,-5.038461538461538,-0.8214285714285714,1.774580335731415,-1.2,5.106796116504855,0.08333333333333333,-0.38,-0.38,0.02,0.13,-0.15,-0.17,-0.12,0.15,0.49,5.44,12.57,3.63,-0.83,-0.41,0.06,1.68,2.57,2.04,0.0,-0.0021231422505307855,0.0021929824561403508,-0.24489354023818116,2.0,0,0,0,0,0
2022-01-28,-0.1725,-1.3940219506499572,-19.30093209054594,-0.38874773139745916,1.0808781051415366,-9.883846153846154,-1.0714285714285714,-1.0,-0.7381158167675022,2.0,-1.2416534181240064,0.2564102564102564,-0.02,-0.04,-1.4,-1.21,-0.54,-0.55,1.52,3.11,0.85,-3.72,2.75,2.5,-3.73,-3.5,0.56,-4.78,-4.6,-0.85,-0.029914529914529916,0.0,-0.01312910284463895,0.40481743452494745,3.0,0,0,0,0,0
2022-02-05,-0.8191566140839261,-1.5244879786286731,0.4838802533103051,2.018939393939394,1.387878787878788,-0.4931174089068826,-0.2943820224719101,1.0,2.0495049504950495,-1.0,-1.2623655913978495,-1.2291666666666667,-0.06,0.02,1.58,1.33,0.52,0.53,1.99,1.27,0.09,4.34,9.49,16.1,1.26,1.57,-0.1,0.6,-4.64,2.26,-0.015021459227467811,-0.016913319238900635,-0.006535947712418301,-0.3092085001539883,4.0,1,0,0,0,0
2022-02-08,2.217787913340935,1.1561969439728352,1.5757516973811834,3.148473442074446,7.467005076142132,-2.2140575079872202,-0.6576433121019108,-1.0,-0.5121753246753247,1.0,-0.9098360655737705,-3.272727272727273,0.0,-0.03,-0.58,-0.86,-0.37,-0.37,1.35,3.59,-0.09,0.48,-2.09,-5.47,-0.38,-0.19,-0.12,-0.02,-1.55,-1.07,0.0,-0.004301075268817204,-0.013157894736842105,0.11914190553617791,0.0,0,0,0,0,0
2022-02-09,-0.16070163004961022,-1.6128608923884515,-0.9743937339960838,-1.1580804516584333,-0.9322541966426858,-3.4907894736842104,-0.813953488372093,1.0,-1.5524126455906821,-3.411764705882353,-24.727272727272727,-0.52,1.06,1.07,1.28,1.2,0.84,0.82,3.68,2.34,0.25,2.37,3.95,27.35,-0.46,0.05,-0.04,2.4,-6.21,-2.15,0.008714596949891068,0.01511879049676026,0.006666666666666667,0.21734545624970708,1.0,0,0,0,0,0
2022-02-10,-2.5699810006333124,-2.4792291220556746,-3.5470588235294116,0.27168367346938777,0.6327433628318584,-1.0438457474907554,13.575,-1.0,-1.7801204819277108,-1.0,-2.0957854406130267,-5.25,0.86,0.85,2.08,2.06,1.45,1.45,-1.65,-0.48,-0.15,-1.01,1.55,-1.76,1.7,0.81,-0.19,3.35,-6.9,0.34,-0.008639308855291577,-0.01276595744680851,0.008830022075055188,-0.21076440354963522,2.0,1,1,1,1,1
2022-02-11,-1.3767648245260184,0.09134337000579039,-13.034642032332563,-5.2532597793380145,-0.18699186991869918,-20.63855421686747,-1.4013722126929673,1.0,-0.09266409266409266,-1.0,-1.2622377622377623,-1.1176470588235294,-1.47,-1.41,-2.1,-2.24,-1.81,-1.75,-0.11,-0.1,0.04,5.04,17.77,46.59,-1.63,0.11,0.48,-3.22,19.79,0.25,0.013071895424836602,0.008620689655172414,0.006564551422319475,0.1505609756097561,3.0,0,0,0,0,0
2022-02-12,-0.6402569593147751,-0.1408674890569041,-0.266839378238342,-0.4527767951892466,3.1933333333333334,-0.4441717791411043,-2.41025641025641,-1.0,0.9063829787234042,1.1071428571428572,1.0266666666666666,-0.3333333333333333,-1.43,-1.46,-2.78,-3.13,-1.9,-1.96,2.35,3.26,0.57,-6.13,-7.56,-8.8,-2.04,-0.87,-0.03,-4.83,14.43,3.58,-0.010752688172043012,-0.00641025641025641,-0.010869565217391304,-0.25289890403408727,4.0,0,0,0,0,0
2022-02-15,10.284722222222221,-2.963717770572796,-1.139248789425468,-1.0006464124111183,1.2034976152623211,-5.227373068432671,-0.7303030303030303,1.0,-1.2611607142857142,0.6101694915254238,0.7631578947368421,2.0,-0.49,-0.45,0.0,0.09,-0.38,-0.35,-1.02,0.23,0.31,3.53,5.56,4.83,-2.81,-1.57,-0.18,0.15,3.55,2.53,-0.015217391304347827,-0.017204301075268817,-0.01978021978021978,0.38546661748432315,0.0,0,0,0,0,0
2022-02-16,-1.8947692307692308,-1.3131535498073748,4.68796992481203,869.6666666666666,-1.5360750360750361,-0.6177545691906006,-3.6853932584269664,-1.0,1.1282051282051282,-1.0,-0.5111940298507462,0.0,1.22,1.26,2.53,2.5,1.58,1.6,0.11,0.98,-0.38,2.9,0.46,6.39,-1.51,-1.03,-0.05,5.47,-9.28,-3.55,-0.01545253863134658,-0.002188183807439825,0.0,-0.08476693700335873,1.0,1,1,1,1,0
2022-02-24,-1.1108895093737534,-0.904361210877373,-0.836855566025037,-1.8522314049586777,0.4057971014492754,-0.5629395218002813,0.8813056379821959,-1.0,1.661764705882353,-1.0,-0.8647058823529412,-2.05,-1.38,-1.37,-2.57,-2.56,-1.84,-1.81,0.26,-0.62,0.17,2.78,2.82,0.0,1.06,0.47,0.05,-2.33,7.67,-0.27,0.015590200445434299,0.011013215859030838,0.008948545861297539,-0.214565562388415,2.0,1,1,1,0,0
2022-03-03,-1.7102661596958175,3.047169811320755,0.10732924892216927,-1.9502164502164503,-0.5761467889908257,0.6867469879518072,-18.727272727272727,-1.0,-1.3125,-1.0,-4.655172413793103,-1.1923076923076923,1.79,1.75,1.62,1.67,1.86,1.81,-2.68,-1.61,0.03,9.49,13.6,0.9,1.63,0.16,-0.18,3.37,-7.74,6.95,0.004514672686230248,0.008888888888888889,0.01141552511415525,-0.3290196976637655,2.0,0,0,0,0,0
2022-03-12,5.737417698917532,2.040461614242488,-4.611219702892885,-1.6471693050711027,0.9428097803564028,-306.3809523809524,-6.897142857142857,-6.535714285714286,25.424242424242426,-1.0,8.568965517241379,10.166666666666666,-0.69,-0.68,-2.18,-2.16,-1.3,-1.31,-0.95,-1.9,0.64,0.18,2.56,0.0,0.3,-0.71,0.67,-2.08,1.72,3.12,-0.01126126126126126,-0.020089285714285716,-0.04576659038901602,0.3899762915586922,4.0,0,0,0,0,0
2022-03-15,-0.8962964189883063,-1.310868357711535,0.061705006765899864,0.1799336650082919,-0.019411262798634813,-0.18431311398721348,1.6686046511627908,-0.7677419354838709,-0.22591743119266056,-0.25,-1.1126126126126126,-0.7661691542288557,0.0,0.06,-2.04,-1.85,-0.74,-0.7,1.6,0.93,-0.16,5.04,4.38,9.96,-2.16,-0.59,0.29,-3.07,3.32,-5.78,-0.05011389521640091,-0.04783599088838269,-0.026378896882494004,-0.19521023403411344,0.0,0,0,0,0,0
2022-03-16,-0.952403769365916,-0.8676295413936868,-0.8995156767779761,-0.7575544624033732,-1.0245812486404178,-0.9007837889504875,-0.9524328249818446,-0.8611111111111112,-0.937037037037037,-1.3174603174603174,-0.232,-1.1914893617021276,1.82,1.78,2.92,3.11,2.14,2.16,0.77,0.73,-0.14,0.34,-0.75,9.43,-0.14,-0.91,0.0,4.36,-6.11,-6.38,-0.023980815347721823,-0.014354066985645933,-0.007389162561576354,-0.4889162713326351,1.0,0,0,0,0,0
2022-03-17,22.815436241610737,-3.5866141732283463,0.21968543886352104,-3.4615942028985507,-6.221238938053097,-2.279383429672447,21.770992366412212,-6.6,32.35294117647059,-1.05,0.13541666666666666,-2.6666666666666665,1.55,1.57,3.77,3.73,2.24,2.25,0.22,-1.4,-0.49,2.0,5.25,-1.08,2.36,1.44,-1.23,5.03,-10.59,-1.45,0.014742014742014743,0.009708737864077669,0.009925558312655087,0.01299515394073824,2.0,1,1,1,1,0
2022-03-18,-1.403973509933775,-0.9028049575994781,-2.3885191347753745,0.42655284074183103,-1.1610169491525424,-3.1039156626506026,-0.8809922896413007,-2.8214285714285716,-1.018694885361552,6.0,-1.0,-2.6,1.23,1.18,1.33,1.14,1.23,1.2,-2.21,-1.76,-0.64,-1.14,-1.66,-13.73,2.5,1.33,-1.26,0.73,-3.75,8.35,0.026634382566585957,0.028846153846153848,0.03194103194103194,0.10105674028941355,3.0,1,1,0,0,0
2022-03-19,-5.432159051273108,22.74496644295302,-1.6608747753145596,-0.799009492364837,-9.126315789473685,-0.6442376521116678,0.08169014084507042,-1.0,-29.79245283018868,-1.0,1.0,-5.625,0.8,-0.14,2.05,-0.12,1.17,-0.02,1.22,1.24,0.27,-0.65,1.38,4.55,0.97,0.46,0.1,2.01,-7.01,1.67,-0.0023584905660377358,-0.009345794392523364,-0.011904761904761904,0.5083005490467338,4.0,1,0,0,0,0
2022-03-22,0.5821987880695679,0.5149802148106275,0.956935630099728,-3.62217659137577,-1.0,2.124748490945674,0.6953125,-1.0,-1.1107470511140236,1.0,143.5,-0.972972972972973,-0.58,-0.47,-0.4,-0.24,-0.04,0.0,0.37,1.92,0.26,6.68,9.02,20.44,-0.49,-0.77,0.53,-0.26,-1.42,7.09,-0.002364066193853428,-0.0023584905660377358,-0.00963855421686747,-0.36893245625349325,0.0,0,0,0,0,0
2022-03-23,-1.4992787863715493,-1.2154228855721394,-2.4971044706972436,-2.5818324197337508,1.0,-2.4726336123631683,-0.8341013824884793,-1.4252873563218391,-0.9467455621301775,-0.9641255605381166,-0.5674740484429066,-5.666666666666667,0.74,0.79,1.95,1.97,1.13,1.18,3.36,4.1,0.01,3.65,2.3,9.35,0.68,0.89,-0.2,0.66,-2.51,-0.32,-0.016587677725118485,-0.002364066193853428,0.0072992700729927005,-0.17502384521051914,1.0,1,1,1,1,0
