date,price,open,high,low,change(%)
2022-06-24,1288.89,1300.14,1302.32,1288.11,-0.84%
2022-06-23,1299.81,1297.69,1307.92,1296.32,0.17%
2022-06-22,1297.58,1292.08,1305.26,1290.69,0.45%
2022-06-21,1291.72,1292.55,1294.29,1287.34,0.01%
2022-06-20,1291.54,1291.5,1296.26,1287.91,0.02%
2022-06-17,1291.26,1288.57,1296.67,1282.29,0.24%
2022-06-16,1288.23,1278.38,1296.59,1277.06,0.81%
2022-06-15,1277.9,1289.92,1293.72,1278.02,-0.90%
2022-06-14,1289.57,1291.88,1292.65,1285.25,-0.16%
2022-06-13,1291.68,1279.43,1294.37,1278.88,0.97%
2022-06-10,1279.32,1264.38,1283.85,1263.14,1.21%
2022-06-09,1264.04,1257.22,1267.19,1253.34,0.58%
2022-06-08,1256.81,1254.85,1258.92,1253.17,0.20%
2022-06-07,1254.36,1254.8,1260.15,1253.06,-0.01%
2022-06-06,1254.45,1251.86,1255.7,1248.23,0.31%
2022-06-03,1250.58,1241.14,1252.23,1238.47,0.83%
2022-06-02,1240.32,1247.23,1255.04,1240.67,-0.53%
2022-06-01,1246.89,1242.48,1248.58,1240.29,0.37%
2022-05-31,1242.26,1235.6,1243.89,1234.72,0.60%
2022-05-30,1234.85,1251.1,1253.58,1234.55,-1.37%
2022-05-27,1251.99,1260.29,1262.13,1248.85,-0.64%
2022-05-26,1260.02,1266.55,1269.73,1259.34,-0.50%
2022-05-25,1266.41,1261.14,1271.95,1260.06,0.43%
