,iter1,iter1,iter1,iter2,iter2,iter2,iter3,iter3,iter3,iter4,iter4,iter4
,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score
0,37,0.819047619047619,0.2340610614751335,15,0.7739682539682539,0.14402205816329433,45,0.775,0.2,0.0,0.6553429027113238,0.12857546637038972
1,35,0.6936729936729937,0.10943023280199915,20,0.718734335839599,0.1594764039365742,47,0.7733333333333332,0.1756258649642599,1.0,0.6553429027113238,0.12857546637038972
2,42,0.6481818181818182,0.02935486312318139,44,0.6833333333333333,0.09718253158075502,49,0.7583333333333333,0.17159383568311665,,,
3,43,0.639152024446142,0.04848066882541538,23,0.6719539284245167,0.12019981578275851,48,0.7555555555555555,0.2154524381073924,,,
4,8,0.6358715027512982,0.04488724004947422,8,0.6418003565062389,0.048464200804302665,44,0.739047619047619,0.2267866829125671,,,
5,36,0.6282205513784461,0.06825893561241914,45,0.6247640400958479,0.07868962269088803,29,0.673000333000333,0.10645438978438267,,,
6,26,0.6237245013856707,0.040994309685678645,2,0.6233511586452762,0.11078449298230356,10,0.6512087912087912,0.11539528993009622,,,
7,3,0.6232604219021877,0.03954758998294415,3,0.6232604219021877,0.03954758998294415,27,0.6478021978021979,0.12574478569878134,,,
8,45,0.6208689458689458,0.038533750928678556,0,0.6143240093240092,0.022649871186497222,20,0.6473020787262274,0.062402792265773305,,,
9,2,0.6178175618073316,0.11068728495221763,5,0.6108031674208145,0.08088994680043045,18,0.6434377387318564,0.03470458330783049,,,
10,4,0.6177358997211939,0.051829820353541105,11,0.6097967250141163,0.03209152562481419,16,0.6419191919191919,0.10919374128307148,,,
11,13,0.6177012383900928,0.0741583804645931,4,0.6088643790849673,0.04364496539579355,8,0.6418003565062389,0.048464200804302665,,,
12,20,0.6175843454790824,0.049023754972524564,24,0.6067662482122993,0.0624114531128937,35,0.6293650793650795,0.04937503089608062,,,
13,5,0.6155133591898297,0.08333853762643284,46,0.6065838960610929,0.037476632924182345,39,0.6250102838338132,0.09689745831511692,,,
14,32,0.6154377880184333,0.028733005294231537,48,0.6065800865800866,0.07222792913232304,38,0.6239663256606991,0.09834798388360068,,,
15,0,0.6126573426573426,0.021465399192924763,39,0.6040259522612464,0.05456840787617723,3,0.6232604219021877,0.03954758998294415,,,
16,30,0.6078643578643579,0.031098062128880624,9,0.6038813179230635,0.03440704928083568,2,0.622562582345191,0.1035791429516846,,,
17,29,0.6064521918607259,0.05437397706082388,40,0.6035734910322617,0.05525852030411022,12,0.6216025641025641,0.08655593365879102,,,
18,11,0.6064362519201228,0.04534775553950453,16,0.6035409035409035,0.04696904608718784,5,0.6209432234432235,0.08226185735855415,,,
19,25,0.6061394360115588,0.019722771714465244,29,0.6028417818740398,0.06415023153219516,37,0.6205530417295123,0.07935395686030125,,,
20,33,0.6031468531468531,0.03749715350425465,30,0.602517212571659,0.032546447536082844,19,0.6190410557184751,0.04420474553949871,,,
21,17,0.602091222786875,0.08962225575437623,36,0.600473032714412,0.05642622539630541,42,0.6158884593667203,0.10616463242038328,,,
22,9,0.6010856189983323,0.03667466927391313,18,0.6003359099670944,0.05063063051565415,25,0.6115661220499929,0.061036169506775005,,,
23,48,0.6006501271253774,0.054562806433733985,38,0.5990285077241598,0.02665064938873531,4,0.6088643790849673,0.04364496539579355,,,
24,16,0.5998845598845598,0.05427936961833092,6,0.5976342504743833,0.0531628560979896,0,0.6083418215771157,0.028061118469242422,,,
