날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 05월 31일,"32,991.97","33,027.03","33,240.15","32,754.75",444.89M,-0.67%
2022년 05월 27일,"33,213.55","32,735.09","33,213.62","32,688.70",309.63M,1.76%
2022년 05월 26일,"32,638.44","32,263.33","32,773.26","32,263.33",338.95M,1.61%
2022년 05월 25일,"32,121.53","31,816.31","32,254.29","31,754.33",333.13M,0.60%
2022년 05월 24일,"31,931.06","31,717.61","32,014.86","31,367.33",373.85M,0.16%
2022년 05월 23일,"31,880.64","31,497.56","31,968.42","31,484.02",389.26M,1.98%
2022년 05월 20일,"31,260.58","31,426.94","31,514.07","30,635.76",479.03M,0.02%
2022년 05월 19일,"31,253.26","31,262.62","31,567.57","31,018.06",503.76M,-0.76%
2022년 05월 18일,"31,493.56","32,468.67","32,468.67","31,394.68",443.96M,-3.56%
2022년 05월 17일,"32,655.05","32,609.54","32,687.62","32,310.20",376.08M,1.34%
2022년 05월 16일,"32,224.01","32,152.15","32,513.25","31,932.06",315.86M,0.09%
2022년 05월 13일,"32,195.94","31,976.40","32,275.82","31,862.79",374.10M,1.47%
2022년 05월 12일,"31,730.04","31,699.04","31,907.70","31,231.27",525.90M,-0.33%
2022년 05월 11일,"31,834.37","32,123.24","32,584.02","31,799.54",433.75M,-1.01%
2022년 05월 10일,"32,160.74","32,504.09","32,752.17","31,887.89",440.67M,-0.26%
2022년 05월 09일,"32,245.70","32,685.17","32,685.17","32,121.98",475.11M,-1.99%
2022년 05월 06일,"32,899.37","32,773.88","33,055.84","32,474.69",418.14M,-0.30%
2022년 05월 05일,"32,997.97","33,854.17","33,854.17","32,685.10",448.42M,-3.12%
2022년 05월 04일,"34,061.06","33,171.80","34,117.74","33,021.84",412.37M,2.81%
2022년 05월 03일,"33,128.79","33,086.09","33,341.58","32,914.75",364.42M,0.20%
2022년 05월 02일,"33,061.50","32,978.49","33,224.95","32,449.87",453.39M,0.26%
2022년 04월 29일,"32,977.21","33,787.01","33,919.59","32,913.15",501.56M,-2.77%
2022년 04월 28일,"33,916.39","33,425.96","34,054.79","33,248.46",451.60M,1.85%
2022년 04월 27일,"33,301.93","33,450.92","33,697.18","33,108.89",456.29M,0.19%
2022년 04월 26일,"33,240.18","33,907.49","33,909.51","33,230.95",403.70M,-2.38%
2022년 04월 25일,"34,049.46","33,731.65","34,106.01","33,323.37",418.00M,0.70%
2022년 04월 22일,"33,811.40","34,727.38","34,727.38","33,773.39",373.28M,-2.82%
2022년 04월 21일,"34,792.76","35,258.80","35,492.22","34,723.82",371.92M,-1.05%
2022년 04월 20일,"35,160.79","34,962.67","35,315.40","34,962.67",338.74M,0.71%
2022년 04월 19일,"34,911.20","34,394.62","34,983.11","34,394.62",303.44M,1.45%
2022년 04월 18일,"34,411.69","34,411.49","34,618.29","34,279.08",268.82M,-0.11%
2022년 04월 14일,"34,451.23","34,628.46","34,889.17","34,437.50",353.68M,-0.33%
2022년 04월 13일,"34,564.59","34,166.64","34,598.36","34,140.64",313.63M,1.01%
2022년 04월 12일,"34,220.36","34,412.51","34,669.97","34,102.81",333.51M,-0.26%
2022년 04월 11일,"34,308.08","34,630.27","34,701.34","34,272.29",336.63M,-1.19%
