Date,Open,High,Low,Close*,Adj Close**,Volume
22-Jun-22,31.45,31.57,28.78,28.95,28.95,-
21-Jun-22,30.63,30.65,29.33,30.19,30.19,-
17-Jun-22,32.84,33.31,30.47,31.13,31.13,-
16-Jun-22,30.35,34.82,30.35,32.95,32.95,-
15-Jun-22,32.39,32.77,27.76,29.62,29.62,-
14-Jun-22,33.01,34,32.06,32.69,32.69,-
13-Jun-22,31.37,35.05,31.29,34.02,34.02,-
10-Jun-22,26.26,29.63,26.05,27.75,27.75,-
09-Jun-22,24.29,26.24,23.82,26.09,26.09,-
08-Jun-22,24.37,24.78,23.74,23.96,23.96,-
07-Jun-22,25.54,26.24,23.88,24.02,24.02,-
06-Jun-22,25.37,25.81,24.82,25.07,25.07,-
03-Jun-22,24.91,25.96,24.76,24.79,24.79,-
02-Jun-22,25.73,26.5,24.33,24.72,24.72,-
01-Jun-22,26.05,27.73,25.38,25.69,25.69,-
31-May-22,27.47,28.35,25.94,26.19,26.19,-
27-May-22,27.5,27.54,25.57,25.72,25.72,-
26-May-22,28.42,28.46,27.11,27.5,27.5,-
25-May-22,29.33,30.23,28.16,28.37,28.37,-
24-May-22,29.43,31.07,29.04,29.45,29.45,-
23-May-22,28.98,30.39,28.29,28.48,28.48,-
20-May-22,28.78,32.91,28.06,29.43,29.43,-
19-May-22,31.24,33.11,29.06,29.35,29.35,-
18-May-22,26.74,31.49,26.21,30.96,30.96,-
17-May-22,27.07,27.17,25.51,26.1,26.1,-
16-May-22,30.01,30.23,27.36,27.47,27.47,-
13-May-22,31.09,31.2,28.78,28.87,28.87,-
12-May-22,33.74,34.76,31.7,31.77,31.77,-
11-May-22,32.87,34.39,30.69,32.56,32.56,-
10-May-22,33.66,34.84,32.24,32.99,32.99,-
09-May-22,31.9,35.48,31.9,34.75,34.75,-
06-May-22,32.23,35.34,29.83,30.19,30.19,-
05-May-22,25.97,33.2,25.78,31.2,31.2,-
04-May-22,29.12,29.42,24.94,25.42,25.42,-
03-May-22,31.76,32.82,29.06,29.25,29.25,-
02-May-22,33.35,36.64,31.74,32.34,32.34,-
29-Apr-22,28.97,34.34,28.54,33.4,33.4,-
28-Apr-22,29.91,32,28,29.99,29.99,-
27-Apr-22,31.11,32.77,29.82,31.6,31.6,-
26-Apr-22,27.38,33.81,27.06,33.52,33.52,-
25-Apr-22,30.04,31.6,26.8,27.02,27.02,-
22-Apr-22,22.71,28.27,22.62,28.21,28.21,-
21-Apr-22,20.24,23.28,19.81,22.68,22.68,-
20-Apr-22,21.13,21.32,19.75,20.32,20.32,-
19-Apr-22,22.55,22.92,20.36,21.37,21.37,-
18-Apr-22,24.52,24.6,21.98,22.17,22.17,-
14-Apr-22,21.72,22.7,20.85,22.7,22.7,-
13-Apr-22,23.52,24.45,21.37,21.82,21.82,-
12-Apr-22,24.94,25.38,22.27,24.26,24.26,-
11-Apr-22,23.09,24.42,22.09,24.37,24.37,-
08-Apr-22,21.25,22.34,20.28,21.16,21.16,-
07-Apr-22,21.97,23.82,21.12,21.55,21.55,-
06-Apr-22,21.27,24.78,21.24,22.1,22.1,-
05-Apr-22,18.79,21.57,18.55,21.03,21.03,-
04-Apr-22,20.75,20.78,18.45,18.57,18.57,-
01-Apr-22,20.62,20.86,19.41,19.63,19.63,-
31-Mar-22,19.68,21.48,19.54,20.56,20.56,-
30-Mar-22,19.38,20.51,18.72,19.33,19.33,-
29-Mar-22,19.7,19.73,18.67,18.9,18.9,-
28-Mar-22,22.14,23.33,19.54,19.63,19.63,-
25-Mar-22,21.87,22.86,20.8,20.81,20.81,-
24-Mar-22,23.61,23.79,21.49,21.67,21.67,-
23-Mar-22,23.04,24.03,22.64,23.57,23.57,-
22-Mar-22,24.02,24.02,22.7,22.94,22.94,-
21-Mar-22,25.14,25.36,22.99,23.53,23.53,-
18-Mar-22,26.36,26.82,23.85,23.87,23.87,-
17-Mar-22,26.51,27.47,25.25,25.67,25.67,-
16-Mar-22,29.02,29.8,26.29,26.67,26.67,-
