Date,Open,High,Low,Close*,Adj Close**,Volume
15-Mar-22,33.13,33.83,29.57,29.83,29.83,-
14-Mar-22,31.03,33.18,30.06,31.77,31.77,-
11-Mar-22,30.43,31.04,28.84,30.75,30.75,-
10-Mar-22,33.03,34.03,30.23,30.23,30.23,-
09-Mar-22,33.74,34.12,31.39,32.45,32.45,-
08-Mar-22,36.19,37.52,32.78,35.13,35.13,-
07-Mar-22,35.88,36.55,32.59,36.45,36.45,-
04-Mar-22,31.9,34.65,31.47,31.98,31.98,-
03-Mar-22,30.52,32.01,29.31,30.48,30.48,-
02-Mar-22,34.2,34.41,30.12,30.74,30.74,-
01-Mar-22,29.45,35.19,29.44,33.32,33.32,-
28-Feb-22,32.44,33.51,28.43,30.15,30.15,-
25-Feb-22,31.68,32,26.93,27.59,27.59,-
24-Feb-22,37.5,37.79,29.45,30.32,30.32,-
23-Feb-22,28.04,31.07,27.2,31.02,31.02,-
22-Feb-22,31.8,32.04,28.4,28.81,28.81,-
18-Feb-22,26.66,29.71,26.38,27.75,27.75,-
17-Feb-22,24.83,28.37,24.76,28.11,28.11,-
16-Feb-22,25.19,27.09,23.88,24.29,24.29,-
15-Feb-22,28.09,28.09,25.33,25.7,25.7,-
14-Feb-22,29.17,32.04,28.33,28.33,28.33,-
11-Feb-22,24.39,30.99,23.33,27.36,27.36,-
10-Feb-22,20.37,24.77,20.18,23.91,23.91,-
09-Feb-22,21.27,21.3,19.93,19.96,19.96,-
08-Feb-22,23.09,23.48,21.32,21.44,21.44,-
07-Feb-22,24.09,24.82,22.02,22.86,22.86,-
04-Feb-22,23.77,26.26,22.07,23.22,23.22,-
03-Feb-22,22.63,25.81,22.3,24.35,24.35,-
02-Feb-22,21.56,22.73,20.46,22.09,22.09,-
01-Feb-22,24.57,25.33,21.96,21.96,21.96,-
31-Jan-22,28.36,29.41,24.71,24.83,24.83,-
28-Jan-22,30.27,32.82,27.28,27.66,27.66,-
