,date,kt,open,high,low,volume,kt_cr
0,2021-12-27,32700.0,32850.0,32950.0,32650.0,1279025,nan%
1,2021-12-28,32850.0,32550.0,32850.0,32450.0,2476436,0.46%
2,2021-12-29,31000.0,31550.0,31600.0,31000.0,2371204,-5.63%
3,2021-12-30,30600.0,31000.0,31150.0,30550.0,1008721,-1.29%
4,2022-01-04,30100.0,30400.0,30450.0,30000.0,1102428,-1.63%
5,2022-01-05,30800.0,30200.0,30850.0,30200.0,1456180,2.33%
6,2022-01-06,30250.0,30750.0,30800.0,30250.0,989988,-1.79%
7,2022-01-07,30250.0,30250.0,30450.0,30100.0,638257,0.00%
8,2022-01-10,30800.0,30400.0,30900.0,30350.0,688606,1.82%
9,2022-01-11,30650.0,30650.0,31100.0,30600.0,885682,-0.49%
10,2022-01-12,30950.0,30800.0,31150.0,30750.0,802203,0.98%
11,2022-01-13,31300.0,30950.0,31500.0,30950.0,1032376,1.13%
12,2022-01-14,31200.0,31300.0,31500.0,31150.0,726819,-0.32%
13,2022-01-17,31000.0,31350.0,31450.0,30950.0,14794778,-0.64%
14,2022-01-18,31700.0,31200.0,31850.0,31200.0,942311,2.26%
15,2022-01-19,31900.0,31600.0,32000.0,31450.0,1077893,0.63%
16,2022-01-20,31550.0,32050.0,32300.0,31450.0,845508,-1.10%
17,2022-01-21,31750.0,31450.0,31900.0,31400.0,702218,0.63%
18,2022-01-24,31650.0,31650.0,32100.0,31600.0,1171375,-0.31%
19,2022-01-25,30550.0,31550.0,31600.0,30550.0,1048957,-3.48%
20,2022-01-26,30550.0,30550.0,30550.0,30550.0,0,0.00%
21,2022-01-27,30800.0,31350.0,31400.0,30800.0,978210,0.82%
22,2022-01-28,31250.0,31150.0,31250.0,30700.0,819709,1.46%
23,2022-02-03,31650.0,31500.0,32150.0,31400.0,887652,1.28%
24,2022-02-04,31800.0,31700.0,32000.0,31600.0,505227,0.47%
25,2022-02-07,31900.0,31700.0,31950.0,31400.0,684381,0.31%
26,2022-02-08,31900.0,31900.0,31900.0,31900.0,0,0.00%
27,2022-02-09,31900.0,31900.0,31900.0,31900.0,0,0.00%
28,2022-02-10,32050.0,32350.0,32500.0,32000.0,912648,0.47%
29,2022-02-11,31900.0,31850.0,32200.0,31850.0,723088,-0.47%
30,2022-02-14,31850.0,31800.0,32100.0,31700.0,783743,-0.16%
31,2022-02-15,32000.0,31900.0,32200.0,31750.0,667445,0.47%
32,2022-02-16,32350.0,32400.0,32450.0,32100.0,820373,1.09%
33,2022-02-17,32400.0,32400.0,32700.0,32150.0,1032919,0.15%
34,2022-02-18,32100.0,32200.0,32400.0,32050.0,590912,-0.93%
35,2022-02-21,32100.0,32100.0,32100.0,32100.0,0,0.00%
36,2022-02-22,32100.0,32100.0,32100.0,32100.0,0,0.00%
37,2022-02-23,32100.0,32100.0,32100.0,32100.0,0,0.00%
38,2022-02-24,31850.0,31750.0,31850.0,31450.0,676956,-0.78%
39,2022-02-25,31700.0,31850.0,31850.0,31500.0,676558,-0.47%
40,2022-02-28,31700.0,31700.0,31700.0,31700.0,0,0.00%
41,2022-03-02,31600.0,31800.0,31900.0,31550.0,858211,-0.32%
42,2022-03-03,31850.0,31600.0,31900.0,31600.0,688452,0.79%
43,2022-03-04,31850.0,31850.0,31850.0,31850.0,0,0.00%
44,2022-03-07,31950.0,32250.0,32350.0,31900.0,1320344,0.31%
45,2022-03-08,31950.0,31850.0,32450.0,31750.0,1039974,0.00%
46,2022-03-10,31950.0,31950.0,31950.0,31950.0,0,0.00%
47,2022-03-11,31950.0,31950.0,31950.0,31950.0,0,0.00%
