,date,kt,open,high,low,volume,kt_cr
48,2022-03-14,32800.0,32100.0,32850.0,31950.0,1311317,2.66%
49,2022-03-15,32800.0,32800.0,32800.0,32800.0,0,0.00%
50,2022-03-16,32800.0,32800.0,32800.0,32800.0,0,0.00%
51,2022-03-17,32800.0,32800.0,32800.0,32800.0,0,0.00%
52,2022-03-18,32900.0,32600.0,33050.0,32500.0,649795,0.30%
53,2022-03-21,32900.0,32900.0,32900.0,32900.0,0,0.00%
54,2022-03-22,33800.0,33200.0,33800.0,33100.0,970776,2.74%
55,2022-03-23,34150.0,33900.0,34600.0,33850.0,1060844,1.04%
56,2022-03-24,34600.0,34000.0,34600.0,33900.0,906591,1.32%
57,2022-03-25,35000.0,34750.0,35300.0,34500.0,1547173,1.16%
58,2022-03-28,35850.0,34950.0,35950.0,34850.0,1557092,2.43%
59,2022-03-29,35250.0,35850.0,35850.0,35000.0,1156262,-1.67%
60,2022-03-30,34400.0,35300.0,35300.0,33950.0,2082660,-2.41%
61,2022-03-31,35700.0,34500.0,35850.0,34500.0,1570359,3.78%
62,2022-04-01,36500.0,35350.0,36850.0,35250.0,2132177,2.24%
63,2022-04-04,36650.0,36800.0,37400.0,36350.0,1209989,0.41%
64,2022-04-05,36750.0,36850.0,36950.0,36500.0,797458,0.27%
65,2022-04-06,37100.0,36550.0,37200.0,36500.0,895278,0.95%
66,2022-04-07,36000.0,36900.0,36950.0,36000.0,1207865,-2.96%
67,2022-04-08,36300.0,36350.0,36900.0,36000.0,945089,0.83%
68,2022-04-11,36800.0,36200.0,37000.0,36000.0,1121629,1.38%
69,2022-04-12,36000.0,36700.0,37050.0,35950.0,1522258,-2.17%
70,2022-04-13,35950.0,36300.0,36600.0,35650.0,1281988,-0.14%
71,2022-04-14,35350.0,36000.0,36100.0,35350.0,1683541,-1.67%
72,2022-04-15,35150.0,35400.0,35700.0,34500.0,1610566,-0.57%
73,2022-04-18,35300.0,35150.0,35600.0,34900.0,808050,0.43%
74,2022-04-19,36900.0,35650.0,37000.0,35450.0,1972859,4.53%
75,2022-04-20,36300.0,36900.0,36950.0,36300.0,1230348,-1.63%
76,2022-04-21,36350.0,36500.0,36600.0,36100.0,858067,0.14%
77,2022-04-22,36200.0,36200.0,36400.0,35800.0,683224,-0.41%
78,2022-04-25,35700.0,35550.0,36300.0,35500.0,997986,-1.38%
79,2022-04-26,35650.0,35800.0,36100.0,35650.0,795614,-0.14%
80,2022-04-27,35100.0,34950.0,35600.0,34800.0,1699807,-1.54%
81,2022-04-28,35400.0,35150.0,35400.0,34800.0,955652,0.85%
82,2022-04-29,35800.0,35400.0,35800.0,35250.0,989889,1.13%
83,2022-05-02,35500.0,35550.0,35700.0,35300.0,561492,-0.84%
84,2022-05-03,35200.0,35350.0,35550.0,35100.0,684781,-0.85%
85,2022-05-04,35350.0,35300.0,35850.0,35300.0,715082,0.43%
86,2022-05-06,35550.0,35600.0,35700.0,35400.0,670222,0.57%
87,2022-05-10,36150.0,35750.0,36200.0,35500.0,1016932,1.69%
88,2022-05-11,35450.0,36000.0,36200.0,35200.0,992060,-1.94%
89,2022-05-12,36850.0,35500.0,36850.0,35500.0,2646819,3.95%
90,2022-05-13,37550.0,37000.0,37600.0,36600.0,1839211,1.90%
91,2022-05-16,36650.0,37800.0,37850.0,36600.0,908775,-2.40%
92,2022-05-17,36550.0,36850.0,36950.0,36400.0,748146,-0.27%
93,2022-05-18,36250.0,36600.0,36600.0,36050.0,965883,-0.82%
94,2022-05-19,36350.0,35800.0,36400.0,35550.0,1020051,0.28%
95,2022-05-20,35950.0,36300.0,36450.0,35750.0,1204343,-1.10%
96,2022-05-23,36100.0,35950.0,36150.0,35300.0,1094711,0.42%
97,2022-05-24,35900.0,35850.0,36150.0,35700.0,556128,-0.55%
98,2022-05-25,37000.0,36200.0,37000.0,36100.0,1287543,3.06%
99,2022-05-26,37150.0,36800.0,37400.0,36550.0,1018489,0.41%
100,2022-05-27,38050.0,37500.0,38400.0,37200.0,1758183,2.42%
101,2022-05-30,37700.0,38250.0,38300.0,37600.0,1008194,-0.92%
102,2022-05-31,37900.0,38100.0,38500.0,37900.0,1164945,0.53%
103,2022-06-02,37650.0,38000.0,38200.0,37350.0,700508,-0.66%
104,2022-06-03,37750.0,37700.0,38150.0,37600.0,678402,0.27%
105,2022-06-07,37350.0,37600.0,37800.0,37350.0,662951,-1.06%
106,2022-06-08,37450.0,37400.0,37450.0,37200.0,462240,0.27%
107,2022-06-09,37600.0,37450.0,37600.0,36650.0,982525,0.40%
108,2022-06-10,37000.0,37550.0,37600.0,36850.0,852947,-1.60%
109,2022-06-13,36600.0,36400.0,36850.0,36300.0,873430,-1.08%
110,2022-06-14,36800.0,36550.0,37050.0,36100.0,1270581,0.55%
111,2022-06-15,36250.0,36800.0,36850.0,36200.0,765001,-1.49%
112,2022-06-16,35700.0,36450.0,36700.0,35700.0,888455,-1.52%
113,2022-06-17,36350.0,35500.0,36650.0,35250.0,1554227,1.82%
114,2022-06-20,36300.0,36650.0,36750.0,36100.0,889914,-0.14%
115,2022-06-21,36050.0,36550.0,36550.0,36050.0,710014,-0.69%
116,2022-06-22,36100.0,36350.0,36400.0,35600.0,847994,0.14%
117,2022-06-23,36550.0,36150.0,36650.0,36150.0,1238742,1.25%
118,2022-06-24,37300.0,36700.0,37300.0,36500.0,1039817,2.05%
119,2022-06-27,37500.0,37450.0,37700.0,37050.0,1039771,0.54%
120,2022-06-28,37000.0,37500.0,37500.0,36900.0,883024,-1.33%
121,2022-06-29,36950.0,37200.0,37300.0,36800.0,839523,-0.14%
122,2022-06-30,36450.0,36700.0,36750.0,36250.0,1137067,-1.35%
123,2022-07-01,36700.0,36850.0,37100.0,36450.0,922048,0.69%
124,2022-07-04,37150.0,36800.0,37200.0,36750.0,746306,1.23%
125,2022-07-05,37400.0,37450.0,37800.0,37200.0,874600,0.67%
126,2022-07-06,36600.0,37100.0,37350.0,36500.0,902391,-2.14%
127,2022-07-07,36950.0,36600.0,37000.0,36450.0,712810,0.96%
128,2022-07-08,36650.0,36700.0,37200.0,36650.0,729650,-0.81%
129,2022-07-11,37000.0,36850.0,37100.0,36650.0,534130,0.95%
130,2022-07-12,37250.0,37000.0,37350.0,36950.0,662935,0.68%
131,2022-07-13,37150.0,37450.0,37700.0,37100.0,679310,-0.27%
132,2022-07-14,36950.0,37100.0,37300.0,36850.0,707391,-0.54%
133,2022-07-15,36600.0,36950.0,37000.0,36300.0,920147,-0.95%
134,2022-07-18,37150.0,36750.0,37350.0,36700.0,610638,1.50%
135,2022-07-19,37050.0,37100.0,37200.0,36850.0,542890,-0.27%
136,2022-07-20,37050.0,37200.0,37200.0,36700.0,1138222,0.00%
137,2022-07-21,37400.0,36800.0,37500.0,36800.0,817378,0.94%
138,2022-07-22,37000.0,37300.0,37800.0,37000.0,637354,-1.07%
139,2022-07-25,37350.0,37300.0,37650.0,37200.0,738581,0.95%
140,2022-07-26,37400.0,37350.0,37600.0,37250.0,500746,0.13%
141,2022-07-27,37700.0,37800.0,37900.0,37500.0,738413,0.80%
142,2022-07-28,37450.0,37900.0,37950.0,37400.0,472066,-0.66%
143,2022-07-29,37750.0,37650.0,37900.0,37500.0,590080,0.80%
144,2022-08-01,38350.0,37850.0,38400.0,37650.0,661075,1.59%
145,2022-08-02,37700.0,38250.0,38300.0,37700.0,612833,-1.69%
146,2022-08-03,37450.0,37600.0,37750.0,37300.0,459299,-0.66%
147,2022-08-04,37600.0,37500.0,37700.0,37350.0,477998,0.40%
148,2022-08-05,37950.0,37700.0,38150.0,37600.0,639974,0.93%
149,2022-08-08,37850.0,37800.0,38000.0,37700.0,508347,-0.26%
150,2022-08-09,38250.0,37850.0,38400.0,37800.0,640513,1.06%
151,2022-08-10,38450.0,38500.0,39300.0,38450.0,1540926,0.52%
152,2022-08-11,38150.0,38950.0,38950.0,38050.0,993385,-0.78%
153,2022-08-12,37650.0,38100.0,38250.0,37650.0,852461,-1.31%
154,2022-08-16,37700.0,37800.0,37850.0,37550.0,688533,0.13%
155,2022-08-17,38300.0,37900.0,38400.0,37550.0,722004,1.59%
156,2022-08-18,38000.0,38100.0,38400.0,37950.0,567741,-0.78%
157,2022-08-19,38650.0,38150.0,38900.0,38000.0,886881,1.71%
158,2022-08-22,39100.0,38500.0,39200.0,38350.0,1050093,1.16%
159,2022-08-23,39150.0,39000.0,39300.0,38950.0,814364,0.13%
160,2022-08-24,38600.0,39200.0,39200.0,38600.0,740493,-1.40%
161,2022-08-25,38550.0,38750.0,39100.0,38550.0,497369,-0.13%
162,2022-08-26,38050.0,38550.0,38600.0,37950.0,857989,-1.30%
163,2022-08-29,38000.0,37500.0,38250.0,37500.0,661918,-0.13%
164,2022-08-30,37900.0,37950.0,38300.0,37750.0,500920,-0.26%
165,2022-08-31,37200.0,37800.0,37800.0,37050.0,1196603,-1.85%
166,2022-09-01,36650.0,37000.0,37050.0,36350.0,1356551,-1.48%
167,2022-09-02,36650.0,36500.0,36850.0,36200.0,824733,0.00%
168,2022-09-05,36950.0,36550.0,37050.0,36550.0,476354,0.82%
169,2022-09-06,37100.0,37000.0,37200.0,36700.0,489709,0.41%
170,2022-09-07,36350.0,36800.0,36900.0,36250.0,778200,-2.02%
171,2022-09-08,37450.0,37000.0,37450.0,36600.0,1105809,3.03%
172,2022-09-13,37050.0,37100.0,37400.0,36800.0,833436,-1.07%
173,2022-09-14,36400.0,36650.0,37050.0,36300.0,879414,-1.75%
174,2022-09-15,35950.0,36450.0,36500.0,35950.0,944983,-1.24%
175,2022-09-16,35900.0,35950.0,36150.0,35700.0,751978,-0.14%
176,2022-09-19,35700.0,35900.0,35950.0,35550.0,551447,-0.56%
177,2022-09-20,36350.0,36000.0,36550.0,35850.0,668701,1.82%
178,2022-09-21,36550.0,36100.0,36850.0,36050.0,792194,0.55%
179,2022-09-22,36100.0,36300.0,36600.0,36100.0,771405,-1.23%
180,2022-09-23,36350.0,36050.0,36600.0,35950.0,722034,0.69%
181,2022-09-26,36800.0,36300.0,36800.0,36250.0,992116,1.24%
182,2022-09-27,36500.0,36600.0,36750.0,36200.0,917949,-0.82%
183,2022-09-28,35250.0,36350.0,36450.0,35250.0,1102433,-3.42%
184,2022-09-29,35550.0,35550.0,35850.0,35200.0,804887,0.85%
185,2022-09-30,36200.0,35650.0,36700.0,35600.0,1145965,1.83%
186,2022-10-04,36150.0,36400.0,36500.0,36000.0,688880,-0.14%
187,2022-10-05,35900.0,36200.0,36250.0,35600.0,850524,-0.69%
188,2022-10-06,35450.0,35800.0,36050.0,35450.0,724267,-1.25%
189,2022-10-07,34750.0,35100.0,35150.0,34700.0,963466,-1.97%
190,2022-10-11,33900.0,34200.0,34450.0,33400.0,1287409,-2.45%
191,2022-10-12,34350.0,34000.0,34800.0,33900.0,1112878,1.33%
192,2022-10-13,33900.0,34200.0,34500.0,33900.0,694188,-1.31%
193,2022-10-14,34800.0,34150.0,34850.0,33900.0,711077,2.65%
194,2022-10-17,35000.0,34450.0,35300.0,34350.0,591887,0.57%
195,2022-10-18,35500.0,35400.0,35600.0,35100.0,606440,1.43%
196,2022-10-19,35250.0,35350.0,35550.0,35150.0,551900,-0.70%
197,2022-10-20,35350.0,35250.0,35550.0,35100.0,494422,0.28%
198,2022-10-21,35750.0,35350.0,35950.0,35250.0,480573,1.13%
199,2022-10-24,35850.0,36000.0,36250.0,35650.0,547231,0.28%
200,2022-10-25,36000.0,35950.0,36200.0,35850.0,493681,0.42%
201,2022-10-26,36400.0,36050.0,36600.0,35950.0,683669,1.11%
202,2022-10-27,36600.0,36600.0,36650.0,36350.0,718625,0.55%
203,2022-10-28,36600.0,36500.0,36800.0,36300.0,754543,0.00%
204,2022-10-31,36600.0,36600.0,36750.0,36200.0,502086,0.00%
205,2022-11-01,35750.0,36600.0,36650.0,35700.0,734457,-2.32%
206,2022-11-02,36100.0,35750.0,36250.0,35100.0,846709,0.98%
207,2022-11-03,35800.0,35650.0,36150.0,35300.0,741604,-0.83%
208,2022-11-04,36500.0,35800.0,36700.0,35800.0,660374,1.96%
209,2022-11-07,36300.0,36550.0,36700.0,36100.0,632913,-0.55%
210,2022-11-08,36500.0,36500.0,36700.0,36050.0,756094,0.55%
211,2022-11-09,37000.0,36850.0,37700.0,36800.0,950706,1.37%
212,2022-11-10,36550.0,37300.0,37450.0,36550.0,808435,-1.22%
213,2022-11-11,36600.0,37050.0,37150.0,36300.0,1380838,0.14%
214,2022-11-14,36700.0,36600.0,36800.0,36350.0,1071798,0.27%
215,2022-11-15,36450.0,36750.0,36800.0,36300.0,615778,-0.68%
216,2022-11-16,36300.0,36400.0,36650.0,36250.0,752081,-0.41%
217,2022-11-17,36300.0,36150.0,36600.0,36150.0,601811,0.00%
218,2022-11-18,36600.0,36350.0,36900.0,36200.0,759452,0.83%
219,2022-11-21,36550.0,36600.0,36750.0,35950.0,710466,-0.14%
220,2022-11-22,36850.0,36450.0,37200.0,36450.0,748624,0.82%
221,2022-11-23,37150.0,36900.0,37200.0,36750.0,440681,0.81%
222,2022-11-24,36650.0,36950.0,37150.0,36650.0,705950,-1.35%
223,2022-11-25,37100.0,36800.0,37200.0,36650.0,439679,1.23%
224,2022-11-28,37150.0,37050.0,37200.0,36900.0,464790,0.13%
225,2022-11-29,37150.0,37200.0,37350.0,37000.0,404190,0.00%
226,2022-11-30,37400.0,37000.0,37600.0,36350.0,776390,0.67%
227,2022-12-01,37400.0,37450.0,37500.0,37050.0,640292,0.00%
228,2022-12-02,37450.0,37300.0,37750.0,37050.0,768267,0.13%
229,2022-12-05,37550.0,37600.0,38100.0,37400.0,1068050,0.27%
230,2022-12-06,37300.0,37350.0,37650.0,37300.0,677018,-0.67%
231,2022-12-07,37400.0,37600.0,37650.0,37300.0,560199,0.27%
232,2022-12-08,37600.0,37200.0,37600.0,37200.0,1260567,0.53%
233,2022-12-09,37700.0,37600.0,37750.0,37300.0,715978,0.27%
234,2022-12-12,37950.0,37700.0,38000.0,37500.0,698865,0.66%
235,2022-12-13,37600.0,37950.0,37950.0,37550.0,577108,-0.92%
236,2022-12-14,37000.0,37700.0,37700.0,36900.0,919480,-1.60%
237,2022-12-15,36650.0,37050.0,37050.0,36650.0,613162,-0.95%
238,2022-12-16,36300.0,36400.0,36700.0,36300.0,632006,-0.95%
239,2022-12-19,36050.0,36350.0,36500.0,35950.0,409404,-0.69%
240,2022-12-20,35750.0,36050.0,36150.0,35600.0,806365,-0.83%
241,2022-12-21,35800.0,35850.0,36100.0,35450.0,517776,0.14%
242,2022-12-22,35800.0,35900.0,36000.0,35300.0,848424,0.00%
243,2022-12-23,35800.0,35900.0,36050.0,35700.0,600129,0.00%
244,2022-12-26,36000.0,35800.0,36150.0,35800.0,829204,0.56%
245,2022-12-27,36300.0,36100.0,36400.0,36000.0,1555270,0.83%
246,2022-12-28,33850.0,34700.0,34700.0,33800.0,1861568,-6.75%
247,2022-12-29,33800.0,33800.0,34100.0,33300.0,745365,-0.15%
248,2023-01-02,32500.0,33800.0,33950.0,32500.0,1069022,-3.85%
249,2023-01-03,33350.0,32650.0,33500.0,31900.0,802959,2.62%
250,2023-01-04,33750.0,33500.0,34050.0,33400.0,857358,1.20%
251,2023-01-05,33750.0,33550.0,34000.0,33250.0,630898,0.00%
252,2023-01-06,33950.0,33550.0,34200.0,33550.0,722679,0.59%
253,2023-01-09,34250.0,34250.0,34400.0,33950.0,854348,0.88%
254,2023-01-10,34250.0,34200.0,34450.0,34050.0,659669,0.00%
255,2023-01-11,34300.0,34400.0,34450.0,34100.0,625323,0.15%
256,2023-01-12,34000.0,34300.0,34550.0,34000.0,1039564,-0.87%
257,2023-01-13,34350.0,34200.0,34650.0,34150.0,697105,1.03%
258,2023-01-16,34650.0,34550.0,34800.0,34400.0,424506,0.87%
259,2023-01-17,34500.0,34600.0,34900.0,34400.0,438246,-0.43%
260,2023-01-18,34900.0,34900.0,35800.0,34800.0,1339032,1.16%
261,2023-01-19,36050.0,35200.0,36400.0,35100.0,1435165,3.30%
262,2023-01-20,36250.0,36250.0,36600.0,35700.0,552577,0.55%
263,2023-01-25,36000.0,36250.0,36300.0,35900.0,1613,-0.69%
264,2023-01-26,36000.0,35900.0,36100.0,35250.0,4310,0.00%
265,2023-01-27,35500.0,35400.0,35700.0,35200.0,1941,-1.39%
266,2023-01-30,35200.0,35500.0,35550.0,35100.0,3276,-0.85%
267,2023-01-31,35200.0,34900.0,35400.0,34850.0,1433,0.00%
268,2023-02-01,34500.0,34900.0,35000.0,34350.0,3055,-1.99%
269,2023-02-02,34700.0,34650.0,35050.0,34550.0,1704,0.58%
270,2023-02-03,34300.0,34400.0,34450.0,32900.0,3985,-1.15%
271,2023-02-06,34300.0,34150.0,34500.0,33850.0,1797,0.00%
272,2023-02-07,34300.0,34000.0,34150.0,33700.0,3524,0.00%
273,2023-02-08,33750.0,33800.0,33900.0,33500.0,7363,-1.60%
274,2023-02-09,34150.0,33950.0,34950.0,33750.0,14698,1.19%
275,2023-02-10,33450.0,34000.0,34050.0,33300.0,6383,-2.05%
276,2023-02-13,33550.0,33300.0,33650.0,33150.0,4174,0.30%
277,2023-02-14,33350.0,33850.0,33900.0,33300.0,3035,-0.60%
278,2023-02-15,33200.0,33450.0,33650.0,33000.0,2447,-0.45%
279,2023-02-16,32250.0,33000.0,33050.0,31750.0,6837,-2.86%
280,2023-02-17,32350.0,32150.0,32500.0,31850.0,4361,0.31%
281,2023-02-20,32850.0,32350.0,32850.0,32300.0,3880,1.55%
282,2023-02-21,32400.0,32650.0,32800.0,32250.0,4568,-1.37%
283,2023-02-22,32200.0,32200.0,32300.0,31900.0,1759,-0.62%
284,2023-02-23,31700.0,32200.0,32250.0,31600.0,14820,-1.55%
285,2023-02-24,30450.0,31500.0,31500.0,30250.0,27206,-3.94%
286,2023-02-27,29950.0,30450.0,30550.0,29850.0,2058108,-1.64%
287,2023-02-28,30450.0,30000.0,30600.0,29800.0,1577819,1.67%
288,2023-03-02,30450.0,30900.0,30950.0,30300.0,1152602,0.00%
289,2023-03-03,30450.0,30350.0,30550.0,30150.0,869456,0.00%
290,2023-03-06,30500.0,30450.0,30650.0,30200.0,935924,0.16%
291,2023-03-07,30800.0,30500.0,30900.0,30350.0,1266161,0.98%
292,2023-03-08,30200.0,30500.0,30500.0,30150.0,970157,-1.95%
293,2023-03-09,30650.0,30350.0,30850.0,30100.0,1371999,1.49%
294,2023-03-10,30050.0,30300.0,30550.0,29850.0,1159190,-1.96%
295,2023-03-13,29750.0,29650.0,29900.0,29500.0,1152552,-1.00%
296,2023-03-14,29250.0,29650.0,29700.0,29150.0,1258823,-1.68%
297,2023-03-15,30100.0,29450.0,30100.0,29450.0,1000204,2.91%
298,2023-03-16,29700.0,29900.0,29900.0,29500.0,665384,-1.33%
299,2023-03-17,29650.0,29850.0,30000.0,29250.0,1006895,-0.17%
300,2023-03-20,30250.0,29800.0,30450.0,29800.0,1012882,2.02%
301,2023-03-21,30400.0,30450.0,30550.0,30200.0,845960,0.50%
302,2023-03-22,30450.0,30550.0,30550.0,30300.0,619912,0.16%
303,2023-03-23,30050.0,30300.0,30300.0,29700.0,1388679,-1.31%
304,2023-03-24,29950.0,29750.0,30050.0,29600.0,937227,-0.33%
