,date,value
0,2022-06-20,2
1,2022-06-21,3
2,2022-06-22,2
3,2022-06-23,2
4,2022-06-24,2
5,2022-06-27,3
6,2022-06-28,3
7,2022-06-29,4
8,2022-06-30,4
9,2022-07-01,2
10,2022-07-04,1
11,2022-07-05,2
12,2022-07-06,2
13,2022-07-07,3
14,2022-07-08,2
15,2022-07-11,2
16,2022-07-12,2
17,2022-07-13,4
18,2022-07-14,4
19,2022-07-15,3
20,2022-07-18,3
21,2022-07-19,3
22,2022-07-20,2
23,2022-07-21,4
24,2022-07-22,2
25,2022-07-25,4
26,2022-07-26,3
27,2022-07-27,2
28,2022-07-28,1
29,2022-07-29,2
30,2022-08-01,3
31,2022-08-02,4
32,2022-08-03,2
33,2022-08-04,1
34,2022-08-05,3
35,2022-08-08,3
36,2022-08-09,3
37,2022-08-10,4
38,2022-08-11,2
39,2022-08-12,3
40,2022-08-16,1
41,2022-08-17,2
42,2022-08-18,3
43,2022-08-19,3
44,2022-08-22,2
45,2022-08-23,2
46,2022-08-24,2
47,2022-08-25,3
48,2022-08-26,2
49,2022-08-29,4
50,2022-08-30,4
51,2022-08-31,3
52,2022-09-01,2
53,2022-09-02,2
54,2022-09-05,2
55,2022-09-06,2
56,2022-09-07,2
57,2022-09-08,4
58,2022-09-13,3
59,2022-09-14,3
60,2022-09-15,2
61,2022-09-16,3
62,2022-09-19,2
63,2022-09-20,2
64,2022-09-21,3
65,2022-09-22,4
66,2022-09-23,2
67,2022-09-26,3
68,2022-09-27,3
69,2022-09-28,2
70,2022-09-29,4
71,2022-09-30,3
72,2022-10-04,4
73,2022-10-05,1
74,2022-10-06,1
75,2022-10-07,3
76,2022-10-11,3
77,2022-10-12,1
78,2022-10-13,2
79,2022-10-14,3
80,2022-10-17,3
81,2022-10-18,3
82,2022-10-19,2
83,2022-10-20,3
84,2022-10-21,3
85,2022-10-24,3
86,2022-10-25,2
87,2022-10-26,3
88,2022-10-27,2
89,2022-10-28,2
90,2022-10-31,1
91,2022-11-01,2
92,2022-11-02,2
93,2022-11-03,3
94,2022-11-04,1
95,2022-11-07,3
96,2022-11-08,3
97,2022-11-09,2
98,2022-11-10,2
99,2022-11-11,4
100,2022-11-14,2
101,2022-11-15,3
102,2022-11-16,3
103,2022-11-17,2
104,2022-11-18,2
105,2022-11-21,2
106,2022-11-22,1
107,2022-11-23,3
108,2022-11-24,3
109,2022-11-25,2
110,2022-11-28,3
111,2022-11-29,3
112,2022-11-30,3
113,2022-12-01,2
114,2022-12-02,2
115,2022-12-05,2
116,2022-12-07,3
117,2022-12-09,3
118,2022-12-12,2
119,2022-12-13,2
120,2022-12-14,3
121,2022-12-15,2
122,2022-12-16,3
123,2022-12-19,2
124,2022-12-20,2
125,2022-12-21,2
126,2022-12-23,3
127,2022-12-26,4
128,2022-12-27,3
129,2022-12-28,2
130,2022-12-29,2
131,2023-01-02,1
132,2023-01-03,3
133,2023-01-04,3
134,2023-01-05,4
135,2023-01-06,3
136,2023-01-09,3
137,2023-01-10,1
138,2023-01-11,2
139,2023-01-12,3
140,2023-01-13,1
141,2023-01-16,3
142,2023-01-17,2
143,2023-01-18,1
144,2023-01-19,3
145,2023-01-20,3
146,2023-01-25,4
147,2023-01-26,4
148,2023-01-27,4
149,2023-01-30,1
150,2023-01-31,2
151,2023-02-01,2
152,2023-02-02,4
153,2023-02-03,4
154,2023-02-06,2
155,2023-02-07,2
156,2023-02-08,3
157,2023-02-09,3
158,2023-02-10,1
