,iter1,iter1,iter1
,best_index,mean_test_score,std_test_score
rank_test_score,,,
1,5,0.6953968253968255,0.10784823654784634
2,47,0.671111111111111,0.1285435987909295
3,43,0.6694444444444445,0.11194134266449934
4,37,0.6556915306915306,0.1367570205121445
5,10,0.6433333333333333,0.08666666666666666
6,28,0.6405827505827506,0.06660135642274165
7,31,0.6342857142857143,0.21470646523370443
8,2,0.6332817337461301,0.08900915331797601
9,26,0.6251981351981353,0.09908949161640339
10,15,0.625034965034965,0.09333650027577772
11,19,0.6223330161410657,0.08283578136869169
12,46,0.6181818181818182,0.11485208277725592
13,35,0.6172727272727273,0.07007538902441984
14,45,0.6151190476190476,0.10052272675422362
15,49,0.6082983682983683,0.09224181209604292
16,7,0.6054545454545455,0.07217975724101532
17,23,0.6036758563074353,0.07237155231007598
18,33,0.5961467678858983,0.09533015435576637
19,25,0.5949561403508772,0.06420459420397816
20,42,0.5944444444444444,0.08285045281025441
21,24,0.5865242966751919,0.07931313065183168
22,30,0.5814192343604109,0.09434209893969886
23,20,0.5814044916212098,0.08365909930973049
24,18,0.5729102167182663,0.05765537549327107
25,38,0.5686425879974266,0.029966265849617837
26,36,0.5660101010101011,0.09151639880301489
27,40,0.5576470588235294,0.06333788607444878
28,21,0.5560610452349583,0.0694689708012128
29,8,0.5552410437859354,0.08847427949160315
30,12,0.5423000596119454,0.056554134278995694
31,34,0.5404965404965405,0.03885717519398292
32,0,0.537037037037037,0.04536092116265143
33,32,0.5237920033248176,0.0608619508379938
34,6,0.5204002463054187,0.05983329613363402
35,9,0.516539408866995,0.0338089426321994
36,27,0.5131754171754171,0.0659733743953178
37,4,0.50873440285205,0.025722857764773545
38,22,0.507669843597263,0.0436676110569987
39,29,0.5047021943573667,0.052567457846406464
40,48,0.5,0.4472135954999579
40,3,0.5,0.06324555320336757
42,11,0.4977388123216107,0.03202779194268717
43,16,0.4954042081949058,0.05129864079121488
44,44,0.3583333333333333,0.31797973380564853
45,13,0.0,0.0
45,17,0.0,0.0
45,41,0.0,0.0
45,39,0.0,0.0
45,14,0.0,0.0
45,1,0.0,0.0
