date_all,date_kor,date_usa,replace_date
2020-01-20,2020-01-20,,2020-01-21
2020-01-21,2020-01-21,2020-01-21,delete
2020-02-17,2020-02-17,,2020-02-18
2020-02-18,2020-02-18,2020-02-18,delete
2020-04-10,2020-04-10,,2020-04-13
2020-04-13,2020-04-13,2020-04-13,delete
2020-05-25,2020-05-25,,2020-05-26
2020-05-26,2020-05-26,2020-05-26,delete
2020-07-03,2020-07-03,,2020-07-06
2020-07-06,2020-07-06,2020-07-06,delete
2020-09-07,2020-09-07,,2020-09-08
2020-09-08,2020-09-08,2020-09-08,delete
2020-11-26,2020-11-26,,2020-11-30
2020-11-27,2020-11-27,2020-11-27,delete
2020-11-30,2020-11-30,2020-11-30,delete
2020-12-24,2020-12-24,,2020-12-28
2020-12-28,2020-12-28,2020-12-28,delete
2021-01-18,2021-01-18,,2021-01-19
2021-01-19,2021-01-19,2021-01-19,delete
2021-02-15,2021-02-15,,2021-02-16
2021-02-16,2021-02-16,2021-02-16,delete
2021-04-02,2021-04-02,,2021-04-05
2021-04-05,2021-04-05,2021-04-05,delete
2021-05-31,2021-05-31,,2021-06-01
2021-06-01,2021-06-01,2021-06-01,delete
2021-07-05,2021-07-05,,2021-07-06
2021-07-06,2021-07-06,2021-07-06,delete
2021-09-06,2021-09-06,,2021-09-07
2021-09-07,2021-09-07,2021-09-07,delete
2021-11-25,2021-11-25,,2021-11-26
2021-11-26,2021-11-26,2021-11-26,delete
2021-12-24,2021-12-24,,2021-12-27
2021-12-27,2021-12-27,2021-12-27,delete
2022-01-17,2022-01-17,,2022-01-18
2022-01-18,2022-01-18,2022-01-18,delete
2022-02-21,2022-02-21,,2022-02-22
2022-02-22,2022-02-22,2022-02-22,delete
2022-04-15,2022-04-15,,2022-04-18
2022-04-18,2022-04-18,2022-04-18,delete
2022-05-30,2022-05-30,,2022-05-31
2022-05-31,2022-05-31,2022-05-31,delete
2022-06-20,2022-06-20,,2022-06-21
2022-06-21,2022-06-21,2022-06-21,delete
2022-07-04,2022-07-04,,2022-07-05
2022-07-05,2022-07-05,2022-07-05,delete
2022-09-05,2022-09-05,,2022-09-06
2022-09-06,2022-09-06,2022-09-06,delete
2022-11-24,2022-11-24,,2022-11-25
2022-11-25,2022-11-25,2022-11-25,delete
2022-12-26,2022-12-26,,2022-12-27
2022-12-27,2022-12-27,2022-12-27,delete
2023-01-02,2023-01-02,,2023-01-03
2023-01-03,,2023-01-03,delete
2023-01-16,2023-01-16,,2023-01-17
2023-01-17,2023-01-17,2023-01-17,delete
2023-02-20,2023-02-20,,2023-02-21
2023-02-21,2023-02-21,2023-02-21,delete
2023-04-07,2023-04-07,,2023-04-10
2023-04-10,2023-04-10,2023-04-10,delete
2023-06-19,2023-06-19,,2023-06-20
2023-06-20,2023-06-20,2023-06-20,delete
2023-07-04,2023-07-04,,2023-07-05
2023-07-05,2023-07-05,2023-07-05,delete
2023-09-04,2023-09-04,,2023-09-05
2023-09-05,2023-09-05,2023-09-05,delete
2023-11-23,2023-11-23,,2023-11-24
2023-11-24,2023-11-24,2023-11-24,delete
