date,price,open,high,low,change(%)
2022-06-24,3.0632,3.017,3.091,2.951,1.69%
2022-06-23,3.0124,3.054,3.099,2.876,-1.63%
2022-06-22,3.0623,3.207,3.215,3.037,-4.13%
2022-06-21,3.1942,3.246,3.257,3.175,-1.60%
2022-06-20,3.246,3.2439,3.246,3.2439,2.39%
2022-06-17,3.1701,3.141,3.219,3.084,2.27%
2022-06-16,3.0996,3.207,3.398,3.085,-3.43%
2022-06-15,3.2096,3.401,3.441,3.193,-6.68%
2022-06-14,3.4393,3.386,3.456,3.23,2.16%
2022-06-13,3.3667,3.146,3.417,3.121,7.08%
2022-06-12,3.1442,3.1547,3.1547,3.1442,2.51%
2022-06-10,3.0673,2.828,3.072,2.819,8.95%
2022-06-09,2.8154,2.788,2.842,2.768,1.35%
2022-06-08,2.778,2.741,2.782,2.735,1.59%
2022-06-07,2.7346,2.74,2.759,2.696,0.08%
2022-06-06,2.7323,2.657,2.736,2.655,2.85%
2022-06-05,2.6565,2.6606,2.6606,2.6565,0.00%
2022-06-03,2.6565,2.644,2.689,2.632,0.95%
2022-06-02,2.6316,2.65,2.668,2.625,-0.61%
2022-06-01,2.6477,2.575,2.676,2.561,3.32%
2022-05-31,2.5626,2.566,2.589,2.524,-0.31%
2022-05-30,2.5706,2.5726,2.5726,2.5685,3.49%
2022-05-27,2.4839,2.484,2.5,2.45,0.25%
2022-05-26,2.4778,2.502,2.524,2.438,-0.97%
2022-05-25,2.502,2.514,2.538,2.468,0.86%
