,date,nvda,open,high,low,volume,nvda_cr
0,2021-12-27,30.885173797607422,29.60265823746476,31.026899467312578,29.58269644654039,403686000,nan%
1,2021-12-28,30.263376235961914,31.25146195093205,31.26942679962951,29.953974216379613,420591000,-2.01%
2,2021-12-29,29.9429988861084,30.214474295872787,30.48894226101068,29.30922629538712,343139000,-1.06%
3,2021-12-30,29.52880096435547,29.769334255327937,30.39811732399104,29.482890369605972,308864000,-1.38%
4,2021-12-31,29.354135513305664,29.616627511446417,29.971940112811122,29.274290262971935,266530000,-0.59%
5,2022-01-03,30.06276512145996,29.75735697767053,30.651624582903967,29.727414293582168,391547000,2.41%
6,2022-01-04,29.233373641967773,30.218464956704405,30.409095675209777,28.29419292188651,527154000,-2.76%
7,2022-01-05,27.550630569458008,28.893029463658266,29.359127526177748,27.479768693565187,498064000,-5.76%
8,2022-01-06,28.12352180480957,27.586561835852063,28.38301936449731,27.012674649326257,454186000,2.08%
9,2022-01-07,27.194316864013672,28.08658929381284,28.367046109099267,27.004683701585318,409939000,-3.30%
10,2022-01-10,27.347026824951172,26.529609965171062,27.415893669977173,25.594421205944393,594681000,0.56%
11,2022-01-11,27.763216018676758,27.270171672123823,28.010737613886754,26.7871082192804,404089000,1.52%
12,2022-01-12,27.944866180419922,28.012733594807443,28.53971261700627,27.554621408963357,383413000,0.65%
13,2022-01-13,26.523622512817383,28.324133734411912,28.424938300544927,26.44676981062193,540171000,-5.09%
14,2022-01-14,26.889907836914062,26.249148927885333,27.144415867632727,26.159322788062372,395832000,1.38%
15,2022-01-18,25.852922439575195,26.209232613206122,26.586502096835268,25.720180142919816,424270000,-3.86%
16,2022-01-19,25.018537521362305,26.02858206203493,26.49168380986728,25.003567129964498,488315000,-3.23%
17,2022-01-20,24.10331153869629,25.255081797321385,25.529549771779315,24.031450230407202,435181000,-3.66%
18,2022-01-21,23.328813552856445,23.46155585638915,24.775011728644085,23.218028078937195,718958000,-3.21%
19,2022-01-24,23.326814651489258,22.286829332930466,23.33479860637558,20.847617715138355,913982000,-0.01%
20,2022-01-25,22.280838012695312,22.50240891802153,22.898642619197854,21.957465030730408,664616000,-4.48%
21,2022-01-26,22.727970123291016,23.19506566521454,24.010485447475997,22.256882604649295,755959000,2.01%
22,2022-01-27,21.90157699584961,23.522437945377376,23.948612493124184,21.633096035086837,573353000,-3.64%
23,2022-01-28,22.79584312438965,21.96944289295478,22.81380797435671,21.25482754600818,543774000,4.08%
24,2022-01-31,24.43865966796875,23.13717992402368,24.461615916333805,23.007432099177755,564680000,7.21%
25,2022-02-01,24.590362548828125,25.0554611349535,25.09638222634812,23.843807721416248,518925000,0.62%
26,2022-02-02,25.19319725036621,25.74413004951072,25.767084393020323,24.505528293848347,543419000,2.45%
27,2022-02-03,23.901697158813477,24.4107113163615,25.02851397918987,23.734022713171655,410178000,-5.13%
28,2022-02-04,24.2719783782959,23.9256491963557,24.58736736304779,23.586306449146388,354829000,1.55%
29,2022-02-07,24.680192947387695,24.324880318773864,25.133313778359717,24.155208910844877,376868000,1.68%
30,2022-02-08,25.0594539642334,24.311901593153753,25.18121782066889,23.933634671761467,410359000,1.54%
31,2022-02-09,26.65336799621582,25.57246170515625,26.673329784734484,25.303982693125686,524282000,6.36%
32,2022-02-10,25.77407455444336,25.944745396249605,26.872945852936223,25.55050858235371,513200000,-3.30%
33,2022-02-11,23.90269660949707,25.865894587572004,26.1014383680604,23.727038196145745,605472000,-7.26%
34,2022-02-14,24.220083236694336,23.887726864389506,24.826907552973196,23.709072083831487,440424000,1.33%
35,2022-02-15,26.44377899169922,24.90076638723711,26.493681567004096,24.73608636580203,699869000,9.18%
36,2022-02-16,26.459749221801758,26.20823747894263,26.53061301704798,25.502603504153953,732676000,0.06%
37,2022-02-17,24.459619522094727,25.58044757027019,25.735148587356477,24.118281669763785,810595000,-7.56%
38,2022-02-18,23.596290588378906,24.620305983753607,24.93769195223297,23.05533867775434,761255000,-3.53%
39,2022-02-22,23.344776153564453,22.990462982791453,24.01747279961412,22.955530805597544,633422000,-1.07%
40,2022-02-23,22.343717575073242,23.755982820677037,24.10830099326957,22.257885303841995,566511000,-4.29%
41,2022-02-24,23.702085494995117,20.97436959630377,23.753985005383658,20.84961126769638,735801000,6.08%
42,2022-02-25,24.110294342041016,23.675138387578873,24.1701778047602,23.33579559273523,528866000,1.72%
43,2022-02-28,24.33785629272461,23.945616436590047,24.61731564927492,23.661167584235766,477319000,0.94%
44,2022-03-01,23.431608200073242,24.2440354711342,24.32986963799387,23.08727591797761,412056000,-3.72%
45,2022-03-02,24.177295684814453,23.714114992353235,24.36596352986119,23.373716624457607,389642000,3.18%
46,2022-03-03,23.672183990478516,24.219216091275733,24.28310431664372,23.42761517996613,365095000,-2.09%
47,2022-03-04,22.895557403564453,23.342767392238667,23.63824497847324,22.44235747690305,431415000,-3.28%
48,2022-03-07,21.314348220825195,22.77676506442822,22.992385688642184,21.292387654278762,450821000,-6.91%
49,2022-03-08,21.47606086730957,21.271422452705348,22.333545309074008,20.613584176611923,557467000,0.76%
50,2022-03-09,22.973417282104492,22.347522120331348,23.17905339926174,22.20776960420363,492742000,6.97%
51,2022-03-10,22.618051528930664,22.49127464148192,22.7478214818907,21.843418757214106,428066000,-1.55%
52,2022-03-11,22.0610294342041,22.981402566936854,23.10418676650878,22.00712380434614,367209000,-2.46%
53,2022-03-14,21.292390823364258,21.830440015715702,22.22274672696289,21.121692803109244,385354000,-3.48%
54,2022-03-15,22.932493209838867,21.480058765436652,22.99737913390775,21.284405208779518,491996000,7.70%
55,2022-03-16,24.45280647277832,23.45856243097872,24.553628211845854,23.131141677093435,671422000,6.63%
56,2022-03-17,24.722328186035156,24.077467438937035,24.798192476295053,23.863844107563466,471941000,1.10%
57,2022-03-18,26.406356811523438,24.75527383800032,26.522153405836594,24.580583162078188,730719000,6.81%
58,2022-03-21,26.686859130859375,26.46026011637226,27.10412324336721,25.92121138568289,591727000,1.06%
59,2022-03-22,26.47722816467285,26.679869314228366,27.18996980901101,26.026025549438742,547007000,-0.79%
60,2022-03-23,25.588796615600586,26.079927675254787,26.565070701682995,25.529900643651544,502120000,-3.36%
61,2022-03-24,28.100360870361328,26.119860134581526,28.27006117432525,25.861316069512192,877379000,9.82%
62,2022-03-25,27.643171310424805,27.83682948218481,28.307997346511723,27.22291411401015,579016000,-1.63%
63,2022-03-28,28.169239044189453,27.70705614407583,28.200184516498037,27.158024860655512,425494000,1.90%
64,2022-03-29,28.60546875,28.644399536496515,28.894956380033225,27.930660200124343,488984000,1.55%
65,2022-03-30,27.64117431640625,28.25409196032564,28.44575284009706,27.454503782301863,463487000,-3.37%
66,2022-03-31,27.237884521484375,27.733010189112925,28.198188071817484,27.22191389271316,523440000,-1.46%
67,2022-04-01,26.664899826049805,27.326730894613775,27.447517830165626,26.220684779158603,517235000,-2.10%
68,2022-04-04,27.311756134033203,26.680870583661918,27.509406950687776,26.566073594108467,397120000,2.43%
69,2022-04-05,25.885278701782227,27.205945967215584,27.270831893546518,25.77447435397992,436615000,-5.22%
70,2022-04-06,24.36396026611328,24.890031380399478,25.2553851988912,23.960673350227694,703833000,-5.88%
71,2022-04-07,24.165313720703125,24.397902669017775,24.678407313051004,23.436601401606985,557992000,-0.82%
72,2022-04-08,23.07823371887207,23.874826939519217,23.88081687759532,23.021335019105305,524781000,-4.50%
73,2022-04-11,21.878355026245117,22.174832229313022,22.28064432124628,21.621808207745975,575207000,-5.20%
74,2022-04-12,21.466081619262695,22.497261070505825,22.684929295161435,21.24447295091747,662258000,-1.88%
75,2022-04-13,22.163846969604492,21.689686094459127,22.460324131590653,21.417166779097364,516943000,3.25%
76,2022-04-14,21.220516204833984,22.465317170334803,22.736838829968864,21.125684399232618,569097000,-4.26%
77,2022-04-18,21.744592666625977,21.162620442615285,22.049053284387142,21.041833503143277,525701000,2.47%
78,2022-04-19,22.158859252929688,21.681701448367473,22.33354992197156,21.276417192204843,512781000,1.91%
79,2022-04-20,21.444120407104492,22.477295203987705,22.630025292014682,21.162618078582742,468974000,-3.23%
80,2022-04-21,20.147411346435547,21.670719581173074,22.352515792807566,19.964733471590826,656209000,-6.05%
81,2022-04-22,19.480587005615234,20.267197567812772,20.44987543262351,19.465614065609277,624713000,-3.31%
82,2022-04-25,19.86690902709961,19.1681425122934,19.90983247795217,19.062330417825684,641566000,1.98%
83,2022-04-26,18.754873275756836,19.683233812845796,19.753110084844213,18.637081301820754,653143000,-5.60%
84,2022-04-27,18.38252830505371,18.565204266444386,19.133201147980134,18.257748727324,499460000,-1.99%
85,2022-04-28,19.74711799621582,18.933554552267157,20.001669421051762,18.457396362070916,570327000,7.42%
86,2022-04-29,18.51429557800293,19.367787435913748,20.092507058531055,18.484347793800964,500435000,-6.24%
87,2022-05-02,19.49856185913086,18.508310298522446,19.53948803265964,18.358575147797907,572049000,5.32%
88,2022-05-03,19.567432403564453,19.36578895282095,19.790040634737174,19.09925959232835,475751000,0.35%
89,2022-05-04,20.298141479492188,19.887866961396114,20.3640250760324,18.717932850721336,648855000,3.73%
90,2022-05-05,18.810773849487305,19.831970796985615,19.889867190140663,18.46738053235109,626331000,-7.33%
91,2022-05-06,18.64206886291504,18.702962121693464,19.47759284066745,17.958277283967274,633297000,-0.90%
92,2022-05-09,16.92011070251465,18.002198783908664,18.22280783313179,16.797326507132865,644455000,-9.24%
93,2022-05-10,17.56397247314453,17.657806577427667,18.16590978890649,16.99497790989981,761474000,3.81%
94,2022-05-11,16.600675582885742,17.316412260690328,17.72169650040984,16.538786536925784,670167000,-5.48%
95,2022-05-12,16.146474838256836,16.190397869341577,16.75839468902169,15.539548188281776,708728000,-2.74%
96,2022-05-13,17.67478370666504,16.758402871320094,17.896392442635147,16.563746960856832,670437000,9.47%
97,2022-05-16,17.233564376831055,17.478133291928003,17.756640758780897,17.07584388248001,521446000,-2.50%
98,2022-05-17,18.14494514465332,18.042126144063122,18.338603271908426,17.602903449160152,585830000,5.29%
99,2022-05-18,16.90813446044922,17.67378227574179,18.08605417628394,16.834265532095618,545161000,-6.82%
100,2022-05-19,17.093809127807617,16.90713855438355,17.65581622517278,16.70449544428689,621310000,1.10%
101,2022-05-20,16.664562225341797,17.301437670488205,17.379299242685832,15.727217918276924,739105000,-2.51%
102,2022-05-23,16.868206024169922,16.24530571772281,16.885176247645457,16.150473907934177,639889000,1.22%
103,2022-05-24,16.12551498413086,16.48088814806781,16.56773463435827,15.752174861917103,588550000,-4.40%
104,2022-05-25,16.945070266723633,15.991754187297795,17.080830153303886,15.971788994098624,781132000,5.08%
105,2022-05-26,17.819520950317383,16.007721031792844,18.060095188303276,15.99374578065661,996575000,5.16%
106,2022-05-27,18.777830123901367,18.15393222834226,18.847706383566344,18.068083436188743,738379000,5.38%
107,2022-05-31,18.63907241821289,18.946527913320917,19.166141157238062,18.31763976934224,664100000,-0.74%
108,2022-06-01,18.28769874572754,18.690987665992118,19.019406157097183,18.09004789557318,544514000,-1.89%
109,2022-06-02,19.557451248168945,18.259744381633755,19.584404063861257,18.165910274840577,648656000,6.94%
110,2022-06-03,18.686992645263672,19.048355791835018,19.297914997640287,18.489341799961554,598779000,-4.45%
111,2022-06-06,18.75287437438965,19.10525257728722,19.302903402711614,18.53126570006665,422406000,0.35%
112,2022-06-07,18.89263153076172,18.439431521150134,18.966500464844408,18.15593185501501,388914000,0.75%
113,2022-06-08,18.61905288696289,18.76981755595969,19.15022663664718,18.5062274317263,363252000,-1.45%
114,2022-06-09,18.01998519897461,18.452313635347775,18.903611679964875,18.01299609524454,395574000,-3.22%
115,2022-06-10,16.947654724121094,17.572682529347194,17.669532092614485,16.842816252604898,465248000,-5.95%
116,2022-06-13,15.622713088989258,15.9751648511992,16.286680840029465,15.581776363415553,604153000,-7.82%
