,date,spny,open,high,low,volume,spny_cr
0,2021-12-27,427.739990234375,418.3699951171875,427.92999267578125,413.69000244140625,112600200,nan%
1,2021-12-28,427.25,427.739990234375,431.30999755859375,424.989990234375,104594700,-0.11%
2,2021-12-29,424.54998779296875,427.25,428.55999755859375,422.6199951171875,115573700,-0.63%
3,2021-12-30,421.67999267578125,424.54998779296875,427.8500061035156,421.44000244140625,105279000,-0.68%
4,2021-12-31,422.739990234375,421.67999267578125,424.9800109863281,420.2300109863281,102588200,0.25%
5,2022-01-03,435.8299865722656,422.739990234375,436.32000732421875,422.739990234375,180887400,3.10%
6,2022-01-04,450.8999938964844,435.8299865722656,452.5400085449219,435.8299865722656,255425500,3.46%
7,2022-01-05,450.57000732421875,450.8999938964844,460.1099853515625,450.07000732421875,231818400,-0.07%
8,2022-01-06,460.8900146484375,450.57000732421875,463.2699890136719,450.57000732421875,201806300,2.29%
9,2022-01-07,467.5799865722656,460.8900146484375,468.7699890136719,459.7099914550781,197983400,1.45%
10,2022-01-10,466.32000732421875,467.5799865722656,469.3999938964844,460.239990234375,206619900,-0.27%
11,2022-01-11,482.239990234375,466.32000732421875,482.9200134277344,466.32000732421875,230828500,3.41%
12,2022-01-12,483.1499938964844,482.239990234375,485.80999755859375,479.57000732421875,200423000,0.19%
13,2022-01-13,480.239990234375,483.1499938964844,486.6099853515625,478.489990234375,179100600,-0.60%
14,2022-01-14,491.9800109863281,480.239990234375,492.57000732421875,480.239990234375,201783600,2.44%
15,2022-01-18,493.9700012207031,491.9800109863281,499.8699951171875,486.7200012207031,242135800,0.40%
16,2022-01-19,490.7200012207031,493.9700012207031,498.30999755859375,486.8699951171875,196042600,-0.66%
17,2022-01-20,486.30999755859375,490.7200012207031,499.260009765625,485.489990234375,206697600,-0.90%
18,2022-01-21,476.80999755859375,486.30999755859375,486.30999755859375,471.75,244824300,-1.95%
19,2022-01-24,479.42999267578125,476.80999755859375,481.3399963378906,456.9800109863281,283951600,0.55%
20,2022-01-25,498.4200134277344,479.42999267578125,500.1600036621094,469.3800048828125,290492300,3.96%
21,2022-01-26,497.55999755859375,498.4200134277344,507.4200134277344,492.5400085449219,280659100,-0.17%
22,2022-01-27,503.75,497.55999755859375,511.3800048828125,495.3800048828125,252601600,1.24%
23,2022-01-28,500.7200012207031,503.75,505.4800109863281,490.7099914550781,232364600,-0.60%
24,2022-01-31,502.92999267578125,500.7200012207031,506.010009765625,491.8599853515625,221149700,0.44%
25,2022-02-01,520.75,502.92999267578125,522.5800170898438,499.0899963378906,258167400,3.54%
26,2022-02-02,522.719970703125,520.75,523.7899780273438,511.69000244140625,207575800,0.38%
27,2022-02-03,517.2899780273438,522.719970703125,522.719970703125,512.030029296875,200635800,-1.04%
28,2022-02-04,525.4500122070312,517.2899780273438,534.22998046875,517.2899780273438,233634000,1.58%
29,2022-02-07,532.3099975585938,525.4500122070312,537.27001953125,519.1699829101562,218437400,1.31%
30,2022-02-08,521.010009765625,532.3099975585938,532.3099975585938,517.27001953125,197000900,-2.12%
31,2022-02-09,523.6699829101562,521.010009765625,527.8300170898438,519.7000122070312,187018300,0.51%
32,2022-02-10,520.1199951171875,523.6699829101562,530.260009765625,516.9600219726562,189458500,-0.68%
33,2022-02-11,534.6500244140625,520.1199951171875,535.510009765625,520.1199951171875,246958600,2.79%
34,2022-02-14,522.6599731445312,534.6500244140625,534.6500244140625,516.0399780273438,213404200,-2.24%
35,2022-02-15,515.4199829101562,522.6599731445312,522.6599731445312,505.5799865722656,196354100,-1.39%
36,2022-02-16,519.3400268554688,515.4199829101562,528.4099731445312,515.4199829101562,207208700,0.76%
37,2022-02-17,518.9000244140625,519.3400268554688,524.1199951171875,515.0499877929688,190092100,-0.08%
38,2022-02-18,514.8200073242188,518.9000244140625,519.3499755859375,510.4599914550781,178393400,-0.79%
39,2022-02-22,506.95001220703125,514.8200073242188,530.47998046875,499.45001220703125,270999900,-1.53%
40,2022-02-23,512.0900268554688,506.95001220703125,515.989990234375,506.95001220703125,189943000,1.01%
41,2022-02-24,507.6400146484375,512.0900268554688,522.4099731445312,495.05999755859375,310343700,-0.87%
42,2022-02-25,521.5399780273438,507.6400146484375,521.8400268554688,507.6400146484375,233961100,2.74%
43,2022-02-28,534.9500122070312,521.5399780273438,535.0800170898438,515.0,324428400,2.57%
44,2022-03-01,540.469970703125,534.9500122070312,548.8800048828125,533.1900024414062,362748100,1.03%
45,2022-03-02,552.489990234375,540.469970703125,557.530029296875,540.469970703125,326630600,2.22%
46,2022-03-03,554.0,552.489990234375,557.530029296875,546.0499877929688,264209100,0.27%
47,2022-03-04,569.7999877929688,554.0,569.8900146484375,552.6799926757812,380226100,2.85%
48,2022-03-07,578.72998046875,569.8099975585938,587.3599853515625,565.5999755859375,430832000,1.57%
49,2022-03-08,586.75,578.72998046875,607.27001953125,570.6400146484375,533399700,1.39%
