,date,splrct,open,high,low,volume,splrct_cr
0,2021-12-27,3107.4599609375,3041.1201171875,3107.6298828125,3041.1201171875,355845000,nan%
1,2021-12-28,3089.10009765625,3107.4599609375,3113.219970703125,3082.3701171875,349206400,-0.59%
2,2021-12-29,3091.360107421875,3089.10009765625,3103.610107421875,3075.389892578125,327899700,0.07%
3,2021-12-30,3070.419921875,3091.360107421875,3104.169921875,3067.56005859375,293510200,-0.68%
4,2021-12-31,3055.449951171875,3070.419921875,3075.800048828125,3054.919921875,287238200,-0.49%
5,2022-01-03,3086.75,3055.449951171875,3089.199951171875,3048.949951171875,452336500,1.02%
6,2022-01-04,3051.47998046875,3086.75,3094.43994140625,3028.10009765625,560248200,-1.14%
7,2022-01-05,2955.97998046875,3051.47998046875,3051.47998046875,2955.43994140625,594367700,-3.13%
8,2022-01-06,2941.72998046875,2955.97998046875,2971.889892578125,2923.199951171875,518103600,-0.48%
9,2022-01-07,2912.02001953125,2941.72998046875,2954.659912109375,2894.97998046875,465284500,-1.01%
10,2022-01-10,2915.0,2912.02001953125,2918.39990234375,2831.35009765625,604674900,0.10%
11,2022-01-11,2950.300048828125,2915.0,2953.929931640625,2886.429931640625,486070900,1.21%
12,2022-01-12,2963.14990234375,2950.300048828125,2992.60009765625,2949.570068359375,424188700,0.44%
13,2022-01-13,2884.60009765625,2963.14990234375,2987.949951171875,2878.340087890625,507255000,-2.65%
14,2022-01-14,2910.169921875,2884.60009765625,2911.860107421875,2867.780029296875,475631800,0.89%
15,2022-01-18,2837.840087890625,2910.169921875,2910.169921875,2832.610107421875,521184600,-2.49%
16,2022-01-19,2798.8798828125,2837.840087890625,2884.7900390625,2796.4599609375,528407800,-1.37%
17,2022-01-20,2761.64990234375,2798.8798828125,2855.820068359375,2759.0,536868600,-1.33%
18,2022-01-21,2708.300048828125,2761.64990234375,2787.39990234375,2708.18994140625,706182600,-1.93%
19,2022-01-24,2717.300048828125,2708.300048828125,2721.64990234375,2563.199951171875,895203300,0.33%
20,2022-01-25,2653.820068359375,2717.300048828125,2717.300048828125,2627.330078125,666140900,-2.34%
21,2022-01-26,2672.9599609375,2653.820068359375,2760.56005859375,2643.72998046875,753309700,0.72%
22,2022-01-27,2654.5,2672.9599609375,2731.14990234375,2645.31005859375,788170300,-0.69%
23,2022-01-28,2769.570068359375,2654.5,2770.030029296875,2646.8701171875,765319500,4.33%
24,2022-01-31,2843.8798828125,2769.570068359375,2844.489990234375,2759.18994140625,679874500,2.68%
25,2022-02-01,2850.669921875,2843.8798828125,2853.22998046875,2807.110107421875,565071700,0.24%
26,2022-02-02,2873.8701171875,2850.669921875,2877.14990234375,2835.699951171875,774136100,0.81%
27,2022-02-03,2785.75,2873.8701171875,2873.8701171875,2780.449951171875,641698500,-3.07%
28,2022-02-04,2798.949951171875,2785.75,2873.8701171875,2760.830078125,543968100,0.47%
29,2022-02-07,2780.550048828125,2798.949951171875,2818.070068359375,2770.72998046875,465701700,-0.66%
30,2022-02-08,2816.010009765625,2780.550048828125,2823.409912109375,2765.4599609375,478599200,1.28%
31,2022-02-09,2880.989990234375,2816.010009765625,2881.0,2816.010009765625,552059000,2.31%
32,2022-02-10,2801.7099609375,2880.989990234375,2880.989990234375,2790.219970703125,607754900,-2.75%
33,2022-02-11,2717.489990234375,2801.7099609375,2819.6298828125,2706.2900390625,691755100,-3.01%
34,2022-02-14,2716.60009765625,2717.489990234375,2738.47998046875,2684.780029296875,568110200,-0.03%
35,2022-02-15,2790.89990234375,2716.60009765625,2792.090087890625,2716.60009765625,589431500,2.74%
36,2022-02-16,2786.050048828125,2790.89990234375,2795.949951171875,2740.52001953125,525210900,-0.17%
37,2022-02-17,2700.64990234375,2786.050048828125,2786.050048828125,2695.989990234375,574778400,-3.07%
