date,dji_cr,dji_f_cr,dxy_cr,ixic_f_cr,bond_kor_10_cr,bond_kor_2_cr,kosdaq_cr,kospi_cr,krw_cr,ixic_cr,spx_f_cr,sox_cr,spx_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,vix_cr,wti_cr,spsy_cr,spny_cr,spxhc_cr,splrcd_cr,splrci_cr,splrcu_cr,splrcs_cr,splrct_cr,splrcl_cr,splrcm_cr,ixbk_cr,ixfn_cr,ixid_cr,ixis_cr,ixk_cr,ixtr_cr,ixut_cr,nbi_cr,bkx_cr,dji_cr_2,dji_f_cr_2,dxy_cr_2,ixic_f_cr_2,bond_kor_10_cr_2,bond_kor_2_cr_2,kosdaq_cr_2,kospi_cr_2,krw_cr_2,ixic_cr_2,spx_f_cr_2,sox_cr_2,spx_cr_2,bond_usa_10_cr_2,bond_usa_2_cr_2,bond_usa_3m_cr_2,vix_cr_2,wti_cr_2,spsy_cr_2,spny_cr_2,spxhc_cr_2,splrcd_cr_2,splrci_cr_2,splrcu_cr_2,splrcs_cr_2,splrct_cr_2,splrcl_cr_2,splrcm_cr_2,ixbk_cr_2,ixfn_cr_2,ixid_cr_2,ixis_cr_2,ixk_cr_2,ixtr_cr_2,ixut_cr_2,nbi_cr_2,bkx_cr_2
2022-01-13,0.11%,0.09%,-0.76%,0.36%,-2.29%,-2.12%,2.21%,1.54%,-0.54%,0.23%,0.24%,0.66%,+0.28%,0.31%,3.87%,-3.94%,-4.29%,1.75%,0.04%,0.19%,-0.26%,0.63%,0.30%,0.35%,0.05%,0.44%,0.36%,0.95%,0.20%,-0.29%,0.43%,-0.52%,0.48%,-0.06%,-0.32%,-1.52%,0.50%,0.6139621563824675,0.5785491766800178,-1.1344899587898234,1.7891465914915428,-2.254428341384865,-2.8916929547844346,1.116915089301534,1.5635253875905135,-1.0158258488865206,1.6433270607284611,1.1582390476701165,2.5180092201920883,1.2003537253575347,-0.17094017094016478,2.727070347284069,23.232323232323225,-9.175251620091146,5.637218258311607,0.8771915711668364,3.609106688095461,0.49817301876124137,1.6753439156089438,0.9310502017048083,-0.5681148125609926,-0.09728840912897184,1.6517976790308748,1.382703297764654,2.0752393454869025,0.5516761893040928,1.3120871227239226,2.140234030510839,0.07190833117770065,1.8027799835568088,0.3882041597343152,1.3570703636289267,-0.3815511840019057,1.3975895210305507
2022-01-14,-0.49%,-0.47%,-0.13%,-2.50%,-1.28%,-2.11%,-0.82%,-0.35%,+0.02%,-2.51%,-1.36%,-2.29%,-1.42%,-2.92%,-3.03%,0.00%,15.27%,-0.63%,-0.41%,-0.60%,-1.63%,-2.08%,0.18%,0.45%,0.22%,-2.65%,-1.40%,-0.81%,0.38%,-1.60%,-2.52%,-0.13%,-2.90%,0.23%,-0.36%,-2.26%,0.19%,-0.3817675243739115,-0.38474313551815764,-0.8888872931985293,-2.152422462257596,-3.54124748490946,-4.1865394806571254,1.3743419379656714,1.1857089434110935,-0.5199989935503389,-2.287535977167947,-1.126461211477152,-1.6411002228703624,-1.1468108897173026,-2.577319587628862,0.7203151378728275,-3.9370078740157513,10.320476014546824,1.108103314888272,-0.3688772383819182,-0.41473126254584847,-1.8880342345182914,-1.4570167734942676,0.4798932683476021,0.8089943042344925,0.2697951828409349,-2.2268904885783187,-1.0455479107548187,0.13883873064960314,0.5898873987787088,-1.8829607029419044,-2.0969682743875397,-0.6456210135770973,-2.4391086791459955,0.17176290608639588,-0.6817287432116726,-3.74326536630736,0.6960586319048653
2022-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-17,-0.56%,-0.54%,0.41%,0.68%,2.34%,3.98%,-1.21%,-1.36%,+0.33%,0.59%,0.06%,2.33%,+0.08%,5.43%,8.27%,5.74%,-5.51%,2.07%,-1.01%,2.44%,-0.17%,-0.45%,-0.57%,-0.65%,0.19%,0.89%,0.53%,-0.84%,0.78%,-0.49%,0.09%,-0.25%,1.13%,-0.77%,-0.42%,0.92%,-0.31%,-1.0430101346325777,-1.006637168141593,0.2739719639992848,-1.8348046389400308,1.0296540362438185,1.7866811044937692,-2.0114393892704143,-1.7009385740514509,0.3541703559412116,-1.9399005112290555,-1.304002120328651,-0.01537608899883074,-1.3435314777788356,2.340182648401822,4.984288655325597,5.737704918032792,8.910327015015769,1.4278803411070562,-1.412496307410573,1.8275933356910266,-1.7974785419451411,-2.5166970005902565,-0.38946010020529104,-0.2008321421890876,0.4094969146762048,-1.7879615346778324,-0.8713395466828434,-1.634549301119324,1.1706445203516902,-2.0826705041102915,-2.4327405158895994,-0.3778428695235983,-1.8081157973048698,-0.5412267992271336,-0.7789618260404765,-1.356174709367629,-0.12221121487852127
2022-01-18,,,,,4.22%,5.11%,-1.39%,-1.09%,-0.01%,,,,,0.89%,3.56%,8.14%,,,,,,,,,,,,,,,,,,,,,,,,,,4.2207792207792245,5.106382978723409,-2.5781821089181287,-2.4303781484796363,0.327119744374477,,,,,6.349206349206342,12.124259693820543,14.34426229508198,,,,,,,,,,,,,,,,,,,,,
2022-01-19,-1.51%,-1.50%,0.59%,-2.50%,-0.58%,-0.30%,-1.46%,-0.89%,+0.23%,-2.60%,-1.79%,-4.44%,-1.83%,3.67%,4.30%,1.79%,18.76%,1.92%,-2.30%,0.40%,-1.39%,-1.92%,-1.19%,-1.20%,-1.49%,-2.49%,-1.99%,-1.32%,-1.73%,-1.40%,-2.02%,-1.86%,-2.84%,-2.14%,-2.66%,-3.85%,-2.40%,-2.0633553799980464,-2.028397565922921,1.0002617057369747,-1.8350252578234698,3.612012987012986,4.787234042553196,-2.825848710928522,-1.974042177159041,0.22015511692590506,-2.025481439896511,-1.7358125537403266,-2.2194031151780433,-1.7531583895325689,4.573340769659792,8.009082464650636,10.077519379844949,12.21074108713616,4.0306836920210865,-3.279739813002161,2.8589895188918706,-1.553924843150353,-2.3595182433748088,-1.7538056893336162,-1.8443481557635546,-1.3116954723073841,-1.6210222624487087,-1.4676977630486483,-2.1455502304821437,-0.9568832923394743,-1.88687678567819,-1.9370760976709096,-2.1081004245549813,-1.7460782480026107,-2.9012902588718146,-3.0691360282658766,-2.962607500406255,-2.7039782464015274
2022-01-20,-0.96%,-0.99%,-0.23%,-1.13%,-0.67%,-4.11%,-1.06%,-0.77%,-0.38%,-1.15%,-1.03%,-3.09%,-0.97%,-1.14%,0.43%,21.13%,4.65%,1.79%,-1.65%,-0.66%,-0.44%,-1.81%,-1.10%,0.46%,0.68%,-1.37%,-0.19%,-0.21%,-2.24%,-0.76%,-1.18%,-1.23%,-1.18%,-1.05%,-0.77%,-1.05%,-3.13%,-2.4592472248910986,-2.4751368868029946,0.35623509223124006,-3.605148838625908,-1.2461059190031163,-4.402834008097164,-2.5054806752594616,-1.6546163365813893,-0.15630383448599566,-3.7162583927822075,-2.803587732960954,-7.394232134784103,-2.78992461691884,2.487562189054735,4.7438708391468865,23.2974910394265,24.28347950872505,3.7461219292301293,-3.910943242660763,-0.2561099511134437,-1.8233349101019325,-3.691057487069857,-2.276637665001276,-0.7482312250460211,-0.8206244744694607,-3.8241766649418425,-2.178398252872759,-1.5290518204748413,-3.9257710209012546,-2.1480432869291306,-3.1779365003918847,-3.0709551321057993,-3.9898711035400374,-3.169370814727939,-3.4089243057157117,-4.860017208875226,-5.458870459628732
2022-01-21,-0.89%,-0.84%,0.24%,-1.28%,0.83%,2.75%,2.66%,0.72%,+0.36%,-1.30%,-1.09%,-3.25%,-1.10%,-2.31%,-2.29%,4.65%,7.30%,-0.07%,-0.63%,-0.90%,-0.58%,-1.94%,-1.24%,0.14%,-0.72%,-1.33%,-1.14%,-1.43%,-2.37%,-0.51%,-1.29%,-0.21%,-1.41%,-1.25%,-0.98%,-1.13%,-1.65%,-1.8464981608795263,-1.8236478629569755,0.0020882143017971794,-2.4003682756806524,0.15667841754798292,-1.4720812182741074,1.5636597376368955,-0.05446675554663782,-0.02263790255640458,-2.432503497460058,-2.1110199617172545,-6.237591108796717,-2.066920962829953,-3.413333333333336,-1.8729096989966614,26.7605633802817,12.286086549267509,1.720708434334472,-2.2681790067697665,-1.5507021971334098,-1.02181162011359,-3.7131767056005884,-2.32550340687743,0.6024286771213236,-0.045438352989902175,-2.684794885800186,-1.3257980087474597,-1.6403510366962673,-4.5544827332776,-1.2598053062876953,-2.455120896236741,-1.4386265329696521,-2.5731416728777887,-2.284777073025471,-1.7350596115188541,-2.1695736026190873,-4.7363674199734636
2022-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-24,-1.30%,-1.33%,-0.09%,-2.79%,-0.66%,0.36%,-1.65%,-0.99%,+0.01%,-2.72%,-1.89%,-1.72%,-1.89%,-2.24%,-1.08%,-5.56%,12.74%,-2.03%,-2.02%,-1.95%,-1.06%,-3.10%,-0.97%,-0.18%,0.02%,-1.93%,-3.88%,-2.49%,-2.33%,-2.86%,-3.98%,-1.27%,-2.15%,-2.62%,-1.93%,-1.58%,-3.23%,-2.1790088336176616,-2.1569750787739905,0.1424100386534686,-4.0376492500083145,0.15772870662460584,3.123345685547906,0.9583414646005907,-0.28111199994433933,0.36864652857851254,-3.9841666266015436,-2.967342653478477,-4.911145460824992,-2.974567371755838,-4.530744336569583,-3.3491912464319604,-1.1627906976744036,20.964360251686845,-2.0929159544450746,-2.63117306828397,-2.8346111076596,-1.6388892799945782,-4.981725610390522,-2.191356101698191,-0.03998248021398819,-0.7083083856676378,-3.23628872180661,-4.977342224953866,-3.8901924985636467,-4.648155474468331,-3.3568449292316713,-5.219175566421201,-1.4793567344749947,-3.53085357263744,-3.8338229120342375,-2.884616460083285,-2.69573143714489,-4.832099566254104
2022-01-25,0.29%,0.28%,0.28%,0.52%,-0.16%,-0.93%,-2.91%,-1.49%,+0.26%,0.63%,0.31%,1.31%,+0.28%,0.20%,-5.36%,-4.23%,3.64%,-2.15%,0.24%,0.55%,-0.37%,1.21%,0.53%,-1.03%,-0.35%,0.33%,0.43%,0.02%,0.94%,0.13%,0.39%,1.65%,0.61%,1.39%,1.43%,0.84%,0.97%,-1.0107638677909878,-1.0486480240351284,0.1838626327990884,-2.290950744558992,-0.15735641227380032,-0.9302325581395358,-4.516531474041342,-2.469012719843876,0.26584592677075575,-2.1116944750400797,-1.5866808201575506,-0.4234937786143501,-1.619548801734645,0.33898305084745795,-4.410316991533772,0.0,16.842514420643788,-4.131189763231534,-1.7841734012907289,-1.4147364679632262,-1.4249844434624177,-1.9240839939914705,-0.4363529548400442,-1.2090422324153434,-0.3384299115036881,-1.6059187472672143,-3.469669501446736,-2.4692488040904124,-1.4139781737819725,-2.7386180882061177,-3.6001514012512983,0.35423636860849633,-1.5553254269683772,-1.2588851684065392,-0.5225215887399033,-0.7498096719737845,-2.295824589866366
2022-01-26,-0.19%,-0.20%,0.03%,-2.48%,1.50%,2.24%,-2.84%,-2.56%,+0.06%,-2.28%,-1.24%,-3.71%,-1.22%,0.00%,5.80%,13.53%,4.21%,2.75%,0.47%,3.96%,-0.66%,-1.81%,-0.93%,-1.57%,-1.13%,-2.34%,-2.24%,-0.86%,-0.30%,-1.03%,-1.95%,-0.96%,-2.77%,-1.66%,-1.31%,-1.41%,0.49%,0.09443754428184888,0.08197441227274058,0.3053241583183103,-1.9807299067687936,1.3375295043273112,1.2919896640826827,-5.664737182746325,-4.018648229877343,0.32200987832386463,-1.6677407096229946,-0.9339407744874715,-2.443815792279425,-0.9431709918075201,0.2257336343115126,0.12670565302145018,8.732394366197191,8.006930451987408,0.5402855153515355,0.7082264272739411,4.532206954508129,-1.026221315697343,-0.6199339251428319,-0.40438296377067046,-2.579631222452011,-1.48481218600826,-2.01159323141922,-1.8131747553556017,-0.8334010589707838,0.6408289778795542,-0.9042916005940035,-1.5618525692792482,0.6713640993747615,-2.176996076828643,-0.2859764581538969,0.10433806100846486,-0.5753889487797773,1.4658005992835808
2022-01-27,-0.38%,-0.38%,0.49%,0.13%,-0.12%,0.15%,-0.83%,-0.41%,+0.06%,0.02%,-0.17%,1.68%,-0.15%,5.44%,12.57%,3.63%,2.57%,2.04%,0.27%,-0.17%,-0.44%,-0.32%,-0.82%,-0.71%,-0.67%,0.72%,-0.79%,-1.02%,-0.80%,-1.38%,-0.71%,-0.36%,0.93%,-1.03%,-1.67%,-1.16%,0.28%,-0.5715495824179022,-0.5780515575278078,0.5203288226765832,-2.361906075443073,1.3790386130811718,2.3995826812728245,-3.6388460421896003,-2.9641837308604946,0.12044262665295417,-2.2591615399671814,-1.4135679818336644,-2.0962931132762144,-1.3650391258307537,5.46171171171171,19.093717816683846,17.64705882352941,6.889630408776713,4.849359061241026,0.7348061591548474,3.781575028634697,-1.1038025004653054,-2.128743035432473,-1.7507553295603928,-2.265840908334166,-1.7980007914671274,-1.631770032527225,-3.004876353337503,-1.867114674638102,-1.098537389099879,-2.4009997692911225,-2.647161254263217,-1.314325160853584,-1.8649458654165416,-2.665096695720225,-2.9546299909825167,-2.5510761342804424,0.7707840617083996
2022-01-28,-0.02%,-0.04%,0.87%,-1.21%,1.52%,3.11%,-3.73%,-3.50%,+0.56%,-1.40%,-0.55%,-4.78%,-0.54%,-3.72%,2.75%,2.50%,-4.60%,-0.85%,-0.92%,1.24%,0.14%,-2.27%,-0.93%,0.78%,0.58%,-0.69%,0.29%,0.36%,-2.04%,-1.34%,-2.08%,-1.29%,-0.99%,-1.38%,-0.31%,-1.80%,-1.20%,-0.39929527953687716,-0.4153868655843206,1.3697724773779723,-1.089051146509202,1.3975155279503118,3.2653061224489828,-4.520824548287075,-3.8928207545789775,0.6202198353324757,-1.3775446503243274,-0.7185559898827316,-3.1887459761624743,-0.6874863707835467,1.5202702702702653,15.662416042051962,6.217616580310872,-2.1501928099322183,1.1799090586851075,-0.6579289997155654,1.069376515523572,-0.3059091252647943,-2.5876665659760985,-1.743781833386776,0.06744794843064277,-0.09868755563690866,0.025620864380807185,-0.4983051185343588,-0.6608644642047973,-2.8293710042253726,-2.709311647080148,-2.7750245699964657,-1.6492505493668128,-0.06511531050235346,-2.388952309553424,-1.9714776739748325,-2.9371222102727153,-0.9308214033018936
2022-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-03,1.65%,1.62%,0.02%,3.19%,-1.00%,-0.89%,2.78%,1.87%,+0.48%,3.13%,2.44%,1.83%,+2.43%,-1.36%,-1.34%,-7.32%,-9.28%,0.24%,1.27%,-0.60%,2.08%,2.30%,0.68%,1.18%,1.17%,4.33%,2.92%,0.57%,0.85%,1.85%,2.17%,2.04%,3.88%,1.80%,2.97%,3.29%,1.04%,1.6312849468579682,1.585670239318749,0.8983374489062067,1.9387646996503867,0.5052467936261135,2.1905247070809835,-1.0452483825431529,-1.694198465591792,1.046757391209909,1.6869603380829097,1.882989750086376,-3.040801222666569,1.8832486959560284,-5.072076882007473,1.3749567623659462,-5.000000000000004,-13.454315895614794,-0.6067530492904314,0.33977970113808176,0.6351000236383042,2.2194735995430026,-0.019982823830850188,-0.24848387068352526,1.972827098455239,1.7496319084499456,3.6143492171124953,3.216144266886424,0.9300904050087861,-1.21061173237301,0.4830485808452407,0.0433969471269508,0.7205885000688991,2.8485451543618074,0.39537796915689505,2.654425681979185,1.4330914840706872,-0.17823071932055445
2022-02-04,-1.45%,-1.47%,-0.58%,-4.12%,-0.85%,-1.01%,2.15%,1.67%,0.00%,-3.74%,-2.36%,-4.58%,-2.44%,3.64%,4.56%,6.22%,10.23%,2.28%,-1.15%,-1.04%,-0.45%,-3.57%,-1.67%,-0.44%,0.01%,-3.07%,-6.83%,-1.77%,-0.72%,-1.53%,-3.43%,-1.22%,-4.80%,-1.67%,0.75%,-2.15%,-1.04%,-0.830606258497457,-0.8589896240857289,-1.0334653149319066,-3.3511729105186814,-0.8494208494208417,-1.0050251256281415,4.989225073495463,3.5697240560723453,-0.23621195864626582,-3.2565153178586366,-1.4553472987872107,-2.230509225594161,-1.5198370629093854,2.284122562674103,2.805576939526126,-5.092592592592597,10.883430767931944,2.3469385107109955,-0.5023977632919184,-0.6644305276344216,0.7935790863779395,-4.077047852935122,-1.0156945427750588,1.0167633083031407,1.1971486096751374,-2.2773566794537743,-3.9548908777879963,-1.5441971400236587,-0.9913759850166508,-1.8342323505274107,-4.989488477179012,-0.8042943405411704,-2.9138768712157352,-1.3543169077930062,1.064822423159308,-3.3574283468620116,-0.6440403603189782
2022-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-07,-0.06%,0.02%,0.11%,1.33%,1.99%,1.27%,1.26%,1.57%,-0.10%,1.58%,0.53%,0.60%,+0.52%,4.34%,9.49%,16.10%,-4.64%,2.26%,1.66%,1.58%,-0.41%,3.74%,-1.07%,-0.80%,-1.20%,0.47%,0.14%,-1.72%,1.64%,1.15%,3.77%,1.06%,0.77%,-1.36%,0.06%,0.44%,2.00%,-1.5144541649983752,-1.4482136819564972,-0.4742734280909964,-2.838334050084356,1.1196911196911337,0.251256281407041,3.4369379366708945,3.263568264158142,-0.10087872876127894,-2.216326930659256,-1.8515484188104212,-4.005922896200409,-1.9344913843445162,8.18746470920384,14.484558503697267,23.316062176165794,5.115433014762654,4.5887098621548414,0.4825254444302405,0.5222761051646824,-0.8571306929893562,0.03159354468755133,-2.7223316030886435,-1.2349201145537616,-1.1893952320592824,-2.6069433537568942,-6.697525092606795,-3.4603331885060657,0.91126790381979,-0.39915383746808203,0.21205068229279392,-0.17470504285018457,-4.065158930345443,-3.0020917577707436,0.8075197239393755,-1.7230733563518932,0.9442103983903155
2022-02-08,0.00%,-0.03%,-0.09%,-0.86%,1.35%,3.59%,-0.38%,-0.19%,-0.12%,-0.58%,-0.37%,-0.02%,-0.37%,0.48%,-2.09%,-5.47%,-1.55%,-1.07%,0.33%,1.31%,-0.13%,-0.22%,0.07%,-0.20%,0.10%,-0.66%,-2.24%,-0.43%,0.46%,0.09%,-0.32%,-0.02%,-1.09%,-0.33%,0.06%,1.02%,0.61%,-0.057050948789096945,-0.005719024334448543,0.013630346911526571,0.4657661853749418,1.3451191391237565,3.5931174089068914,0.8748372635383935,1.3752756569581863,-0.21676240339484407,0.9860319990723275,0.15104050123070037,0.5762488242124224,0.14360884791309972,0.15657620041754247,-1.6413373860182416,-6.302521008403356,-6.119095473411364,1.1631805592168067,1.9907536206947278,2.903597627877501,-0.5345877855355133,3.510248579495433,-0.9980761782071008,-0.9951214163860019,-1.1006298649101312,-0.18666252075293907,-2.097873623424891,-2.1351445337270647,2.107306765525088,1.2381174407983526,3.4442829704629787,1.0372277562192653,-0.32332230614521623,-1.6846444384707546,0.12281464496586203,1.4616263955481945,2.6292793372995815
2022-02-09,1.06%,1.07%,0.26%,1.20%,3.68%,2.34%,-0.46%,0.05%,-0.04%,1.28%,0.82%,2.40%,+0.84%,2.37%,3.95%,27.35%,-6.21%,-2.15%,1.38%,-2.12%,0.79%,1.50%,1.00%,0.11%,0.33%,1.28%,-0.10%,1.57%,2.45%,0.47%,1.47%,0.54%,1.33%,1.58%,0.86%,0.09%,2.03%,1.063111288434241,1.040654125450283,0.1686169645350628,0.3336624561642436,5.073020753266723,6.022267206477744,-0.8417574653093954,-0.13780657279829278,-0.15856457333612275,0.6840712362297372,0.4451864218141347,2.3764306205380104,0.4666106733858604,2.879581151832469,1.777609682299535,20.38999576091563,-7.665800309792198,-3.195750218029935,1.7182406619545576,-0.8449904535651349,0.6600881543677548,1.280618058876361,1.0749864593842091,-0.08910536476927561,0.43324077172024295,0.6095163861935876,-2.336734767921024,1.136035706952669,2.9167442676413446,0.552700493700172,1.145197301088269,0.516160871625489,0.22698560717806932,1.2440748125653969,0.9259432066436698,1.1038401117870567,2.6561950300910286
2022-02-10,0.86%,0.85%,-0.15%,2.06%,-1.65%,-0.48%,1.70%,0.81%,-0.19%,2.08%,1.45%,3.35%,+1.45%,-1.01%,1.55%,-1.76%,-6.90%,0.34%,0.59%,0.51%,0.82%,1.11%,1.37%,0.44%,0.02%,2.31%,2.45%,2.13%,-1.13%,2.23%,1.52%,0.38%,2.46%,2.29%,1.71%,2.52%,0.09%,1.9290621550207054,1.9217020789842432,0.10693245419979815,3.2864575284603097,1.9719378081152845,1.85637518319491,1.2374921704125403,0.8666491280590507,-0.23561456131408898,3.3869247632010095,2.278947662402949,5.83344836735606,2.3040364684970887,1.3548723293381981,5.562422744128559,25.112107623318398,-12.685920596894976,-1.8177792797440493,1.9833093162644015,-1.6231171099668207,1.6123829589612029,2.6294211814166712,2.3857612732859956,0.544318911414912,0.3469856507232397,3.612232818775582,2.348306317293486,3.7304871163534807,1.289470418972885,2.7096445902107824,3.007091297461816,0.9207834455846119,3.8181734996783923,3.9033177018560385,2.588822379671007,2.6051460721768405,2.1219148085076704
2022-02-11,-1.47%,-1.41%,0.06%,-2.24%,-0.11%,-0.10%,-1.63%,0.11%,+0.48%,-2.10%,-1.75%,-3.22%,-1.81%,5.04%,17.77%,46.59%,19.79%,0.25%,-0.85%,-0.68%,-1.57%,-1.78%,-1.65%,-2.61%,-1.03%,-2.75%,-1.41%,-0.57%,-0.20%,-1.85%,-1.77%,-0.77%,-2.48%,-1.50%,-1.84%,-2.40%,-0.32%,-0.6237283102266549,-0.5743874144077868,-0.09724105819011816,-0.22735756218398995,-1.7556693489392847,-0.5727923627684969,0.04579323953525282,0.9270067107626879,0.2908847745225075,-0.062070363795489226,-0.33240997229916897,0.027444956081164137,-0.38659394807962694,3.9694656488549653,19.598662207357865,44.014084507042256,11.520518898452815,0.5819120854014064,-0.25965355933650214,-0.17082486550265527,-0.7711725536369732,-0.6833961266026187,-0.30971978555731944,-2.1807263304831004,-1.0149037384694104,-0.5078124288810744,1.0074336558433643,1.5513719325907882,-1.3272200183609588,0.3454256968310142,-0.27234100698517905,-0.39814122234066984,-0.08313400502186052,0.7510573626747977,-0.1600204817882289,0.05659104572537678,-0.2295345491047601
2022-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
