,date,dji,open,high,low,volume,dji_cr
388,2023-07-14,34509.03125,34425.328125,34592.26171875,34425.328125,293540000,0.33%
389,2023-07-17,34585.3515625,34499.73828125,34665.1484375,34418.71875,359780000,0.22%
390,2023-07-18,34951.9296875,34597.078125,34986.359375,34530.609375,385940000,1.06%
391,2023-07-19,35061.2109375,34991.2109375,35234.05078125,34991.2109375,365130000,0.31%
392,2023-07-20,35225.1796875,35091.98046875,35372.76953125,35091.98046875,340880000,0.47%
393,2023-07-21,35227.69140625,35274.3203125,35340.66015625,35186.05078125,465270000,0.01%
394,2023-07-24,35411.23828125,35230.7890625,35463.96875,35230.7890625,284460000,0.52%
395,2023-07-25,35438.0703125,35421.48828125,35527.5703125,35365.26171875,299530000,0.08%
396,2023-07-26,35520.12109375,35345.98828125,35633.609375,35306.26953125,346240000,0.23%
397,2023-07-27,35282.71875,35558.7890625,35645.3515625,35216.578125,352230000,-0.67%
398,2023-07-28,35459.2890625,35443.48828125,35565.51171875,35355.1484375,369000000,0.50%
399,2023-07-31,35559.53125,35465.96875,35566.94921875,35430.21875,327410000,0.28%
400,2023-08-01,35630.6796875,35585.98828125,35679.12890625,35526.609375,259490000,0.20%
401,2023-08-02,35282.51953125,35551.921875,35551.921875,35226.26171875,298570000,-0.98%
402,2023-08-03,35215.890625,35194.55859375,35348.19921875,35122.3203125,254960000,-0.19%
403,2023-08-04,35065.62109375,35230.12890625,35506.87890625,35033.76171875,338290000,-0.43%
404,2023-08-07,35473.12890625,35125.6015625,35497.37890625,35125.6015625,300150000,1.16%
405,2023-08-08,35314.48828125,35345.3984375,35346.640625,35007.41015625,303840000,-0.45%
406,2023-08-09,35123.359375,35324.28125,35370.890625,35058.73046875,306680000,-0.54%
407,2023-08-10,35176.1484375,35231.5390625,35578.578125,35107.6015625,337110000,0.15%
408,2023-08-11,35281.3984375,35111.359375,35354.6015625,35059.98828125,277840000,0.30%
409,2023-08-14,35307.62890625,35273.890625,35335.44921875,35169.96875,300250000,0.07%
410,2023-08-15,34946.390625,35219.37109375,35219.37109375,34908.5,323920000,-1.02%
411,2023-08-16,34765.73828125,34914.9609375,35133.55859375,34757.37109375,332310000,-0.52%
412,2023-08-17,34474.828125,34829.609375,34888.48046875,34440.73046875,392850000,-0.84%
413,2023-08-18,34500.66015625,34368.359375,34587.0703125,34263.19140625,320680000,0.07%
414,2023-08-21,34463.69140625,34531.28125,34570.9609375,34248.4609375,396490000,-0.11%
415,2023-08-22,34288.828125,34494.171875,34514.0390625,34256.83984375,279200000,-0.51%
416,2023-08-23,34472.98046875,34338.58984375,34534.71875,34321.0,360610000,0.54%
417,2023-08-24,34099.421875,34439.828125,34694.6796875,34093.6484375,342520000,-1.08%
418,2023-08-25,34346.8984375,34217.05859375,34441.91015625,34029.21875,257440000,0.73%
419,2023-08-28,34559.98046875,34441.640625,34652.91015625,34441.640625,224640000,0.62%
420,2023-08-29,34852.671875,34531.12109375,34864.421875,34531.12109375,262550000,0.85%
421,2023-08-30,34890.23828125,34847.80078125,35025.5703125,34811.73828125,236070000,0.11%
422,2023-08-31,34721.91015625,34909.08984375,35070.2109375,34719.76953125,341900000,-0.48%
423,2023-09-01,34837.7109375,34876.23828125,34979.1796875,34720.69921875,286370000,0.33%
424,2023-09-05,34641.96875,34843.21875,34871.26171875,34635.62890625,283540000,-0.56%
425,2023-09-06,34443.19140625,34611.6796875,34611.6796875,34291.55859375,308900000,-0.57%
426,2023-09-07,34500.73046875,34351.1796875,34560.859375,34351.1796875,386980000,0.17%
427,2023-09-08,34576.58984375,34487.41015625,34627.8515625,34473.5703125,293990000,0.22%
428,2023-09-11,34663.71875,34650.01171875,34784.51953125,34578.58984375,291720000,0.25%
429,2023-09-12,34645.98828125,34620.01953125,34852.609375,34560.55078125,318670000,-0.05%
430,2023-09-13,34575.53125,34667.28125,34767.109375,34509.94921875,295480000,-0.20%
431,2023-09-14,34907.109375,34687.5,34977.96875,34687.5,305180000,0.96%
432,2023-09-15,34618.23828125,34902.0390625,34902.0390625,34572.26953125,582160000,-0.83%
433,2023-09-18,34624.30078125,34612.2890625,34725.05859375,34545.3515625,252700000,0.02%
434,2023-09-19,34517.73046875,34571.83984375,34597.55859375,34311.69140625,282830000,-0.31%
435,2023-09-20,34440.87890625,34575.5,34776.28125,34434.2890625,291650000,-0.22%
436,2023-09-21,34070.421875,34332.23046875,34378.30078125,34058.71875,331930000,-1.08%
437,2023-09-22,33963.83984375,34077.078125,34156.1484375,33947.23828125,268760000,-0.31%
438,2023-09-25,34006.87890625,33907.58984375,34017.53125,33780.671875,229450000,0.13%
439,2023-09-26,33618.87890625,33862.6796875,33879.9296875,33569.6015625,280100000,-1.14%
440,2023-09-27,33550.26953125,33682.80859375,33731.6484375,33306.30078125,300330000,-0.20%
441,2023-09-28,33666.33984375,33519.44140625,33777.8984375,33473.5,275610000,0.35%
442,2023-09-29,33507.5,33882.609375,33893.6796875,33407.44921875,319830000,-0.47%
443,2023-10-02,33433.3515625,33455.5,33511.91015625,33219.55859375,275630000,-0.22%
444,2023-10-03,33002.37890625,33318.83984375,33398.5390625,32916.19921875,293450000,-1.29%
445,2023-10-04,33129.55078125,33034.1796875,33156.44921875,32873.23046875,287030000,0.39%
446,2023-10-05,33119.5703125,33099.23046875,33174.37890625,32941.55859375,277250000,-0.03%
447,2023-10-06,33407.578125,33040.69921875,33557.69140625,32846.94140625,332990000,0.87%
448,2023-10-09,33604.6484375,33259.83984375,33631.80859375,33253.69140625,228760000,0.59%
449,2023-10-10,33739.30078125,33683.41015625,33898.21875,33604.3203125,255640000,0.40%
450,2023-10-11,33804.87109375,33822.19921875,33882.55078125,33612.25,256560000,0.19%
451,2023-10-12,33631.140625,33845.6484375,33863.80078125,33455.6015625,289160000,-0.51%
452,2023-10-13,33670.2890625,33733.33984375,33957.71875,33551.578125,306340000,0.12%
453,2023-10-16,33984.5390625,33832.421875,34088.98046875,33832.421875,270060000,0.93%
454,2023-10-17,33997.6484375,33869.83984375,34147.62890625,33854.69921875,281010000,0.04%
455,2023-10-18,33665.078125,33960.25,33991.51171875,33598.640625,285410000,-0.98%
456,2023-10-19,33414.171875,33669.51953125,33852.390625,33368.578125,304320000,-0.75%
457,2023-10-20,33127.28125,33365.26953125,33425.76953125,33118.12109375,325530000,-0.86%
458,2023-10-23,32936.41015625,32993.01953125,33234.8515625,32892.19140625,342500000,-0.58%
459,2023-10-24,33141.37890625,33089.640625,33272.19140625,32988.4296875,359230000,0.62%
460,2023-10-25,33035.9296875,33203.53125,33267.91015625,32989.71875,355690000,-0.32%
461,2023-10-26,32784.30078125,33017.171875,33105.03125,32743.990234375,379880000,-0.76%
462,2023-10-27,32417.58984375,32782.3984375,32787.55859375,32327.19921875,376970000,-1.12%
463,2023-10-30,32928.9609375,32537.5390625,33002.96875,32537.5390625,298640000,1.58%
464,2023-10-31,33052.87109375,33029.109375,33070.28125,32787.12109375,306950000,0.38%
465,2023-11-01,33274.578125,33081.87109375,33337.1484375,33010.8515625,307570000,0.67%
466,2023-11-02,33839.078125,33457.8203125,33852.9609375,33450.03125,304350000,1.70%
467,2023-11-03,34061.3203125,33988.828125,34163.62890625,33946.6015625,311000000,0.66%
468,2023-11-06,34095.859375,34092.609375,34167.26171875,33989.71875,265570000,0.10%
469,2023-11-07,34152.6015625,34075.6484375,34206.98046875,34026.71875,281790000,0.17%
470,2023-11-08,34112.26953125,34185.921875,34252.75,33996.19921875,280330000,-0.12%
471,2023-11-09,33891.94140625,34163.7109375,34167.5390625,33859.76953125,325400000,-0.65%
472,2023-11-10,34283.1015625,34020.8203125,34310.359375,33905.62109375,302460000,1.15%
473,2023-11-13,34337.87109375,34259.25,34405.83984375,34205.80859375,245090000,0.16%
474,2023-11-14,34827.69921875,34581.19921875,34931.01171875,34581.19921875,328050000,1.43%
