,date,fg_index,rating
211,2011-11-02,62,greed
212,2011-11-03,63,greed
213,2011-11-04,60,greed
214,2011-11-07,65,greed
215,2011-11-08,65,greed
216,2011-11-09,59,greed
217,2011-11-10,60,greed
218,2011-11-11,60,greed
219,2011-11-14,54,neutral
220,2011-11-15,54,neutral
221,2011-11-16,55,greed
222,2011-11-17,52,neutral
223,2011-11-18,46,neutral
224,2011-11-21,43,fear
225,2011-11-22,41,fear
226,2011-11-23,39,fear
227,2011-11-25,51,neutral
228,2011-11-28,57,greed
229,2011-11-29,62,greed
230,2011-11-30,67,greed
231,2011-12-01,61,greed
232,2011-12-02,67,greed
233,2011-12-05,66,greed
234,2011-12-06,66,greed
235,2011-12-07,66,greed
236,2011-12-08,66,greed
237,2011-12-09,65,greed
238,2011-12-12,62,greed
239,2011-12-13,56,greed
240,2011-12-14,61,greed
241,2011-12-15,61,greed
242,2011-12-16,60,greed
243,2011-12-19,74,greed
244,2011-12-20,74,greed
245,2011-12-21,74,greed
246,2011-12-22,78,extreme greed
247,2011-12-23,77,extreme greed
248,2011-12-27,75,extreme greed
249,2011-12-28,75,extreme greed
250,2011-12-29,75,extreme greed
251,2011-12-30,75,extreme greed
252,2012-01-03,77,extreme greed
253,2012-01-04,77,extreme greed
254,2012-01-05,78,extreme greed
255,2012-01-06,78,extreme greed
256,2012-01-09,81,extreme greed
257,2012-01-10,82,extreme greed
258,2012-01-11,83,extreme greed
259,2012-01-12,83,extreme greed
260,2012-01-13,83,extreme greed
261,2012-01-17,88,extreme greed
262,2012-01-18,90,extreme greed
263,2012-01-19,89,extreme greed
264,2012-01-20,88,extreme greed
265,2012-01-23,87,extreme greed
266,2012-01-24,87,extreme greed
267,2012-01-25,84,extreme greed
268,2012-01-26,82,extreme greed
269,2012-01-27,82,extreme greed
270,2012-01-30,82,extreme greed
271,2012-01-31,85,extreme greed
272,2012-02-01,87,extreme greed
273,2012-02-02,88,extreme greed
274,2012-02-03,88,extreme greed
275,2012-02-06,88,extreme greed
276,2012-02-07,86,extreme greed
277,2012-02-08,86,extreme greed
278,2012-02-09,85,extreme greed
279,2012-02-10,83,extreme greed
280,2012-02-13,83,extreme greed
281,2012-02-14,81,extreme greed
282,2012-02-15,82,extreme greed
283,2012-02-16,81,extreme greed
284,2012-02-17,80,extreme greed
285,2012-02-21,79,extreme greed
286,2012-02-22,78,extreme greed
287,2012-02-23,79,extreme greed
288,2012-02-24,79,extreme greed
289,2012-02-27,75,extreme greed
290,2012-02-28,75,extreme greed
291,2012-02-29,72,greed
292,2012-03-01,70,greed
293,2012-03-02,68,greed
294,2012-03-05,66,greed
295,2012-03-06,63,greed
296,2012-03-07,62,greed
297,2012-03-08,63,greed
298,2012-03-09,70,greed
299,2012-03-12,74,greed
300,2012-03-13,79,extreme greed
301,2012-03-14,79,extreme greed
302,2012-03-15,79,extreme greed
303,2012-03-16,77,extreme greed
304,2012-03-19,73,greed
305,2012-03-20,73,greed
306,2012-03-21,71,greed
307,2012-03-22,66,greed
308,2012-03-23,71,greed
309,2012-03-26,66,greed
310,2012-03-27,66,greed
311,2012-03-28,62,greed
312,2012-03-29,62,greed
313,2012-03-30,63,greed
314,2012-04-02,63,greed
315,2012-04-03,61,greed
316,2012-04-04,63,greed
317,2012-04-05,55,greed
318,2012-04-09,46,neutral
319,2012-04-10,39,fear
320,2012-04-11,39,fear
321,2012-04-12,38,fear
322,2012-04-13,38,fear
