,date,gold,open,high,low,volume,gold_cr
0,2021-12-27,1808.0999755859375,1810.0,1812.0999755859375,1807.0,150,nan%
1,2021-12-28,1810.199951171875,1812.0,1818.0,1805.5,146,0.12%
2,2021-12-29,1805.0999755859375,1803.199951171875,1805.0999755859375,1791.4000244140625,623,-0.28%
3,2021-12-30,1812.699951171875,1801.699951171875,1816.0,1796.0,306,0.42%
4,2021-12-31,1827.5,1825.0999755859375,1827.800048828125,1821.4000244140625,80,0.82%
5,2022-01-03,1799.4000244140625,1830.0999755859375,1830.0999755859375,1798.800048828125,116,-1.54%
6,2022-01-04,1814.0,1800.5,1815.300048828125,1800.0,38,0.81%
7,2022-01-05,1824.5999755859375,1813.0999755859375,1824.5999755859375,1813.0999755859375,8,0.58%
8,2022-01-06,1788.699951171875,1787.0999755859375,1791.300048828125,1787.0999755859375,30,-1.97%
9,2022-01-07,1797.0,1791.800048828125,1797.0,1784.4000244140625,17,0.46%
10,2022-01-10,1798.4000244140625,1794.9000244140625,1798.699951171875,1790.4000244140625,534,0.08%
11,2022-01-11,1818.5999755859375,1803.9000244140625,1822.5,1803.0,743,1.12%
12,2022-01-12,1827.199951171875,1819.0,1827.199951171875,1816.9000244140625,1547,0.47%
13,2022-01-13,1821.199951171875,1819.800048828125,1823.0,1815.4000244140625,40,-0.33%
14,2022-01-14,1816.5,1821.5,1822.0,1816.5,816,-0.26%
15,2022-01-18,1812.300048828125,1816.800048828125,1820.0999755859375,1812.300048828125,900,-0.23%
16,2022-01-19,1843.0999755859375,1817.4000244140625,1843.0999755859375,1817.4000244140625,4,1.70%
17,2022-01-20,1842.5,1840.5999755859375,1843.0,1838.199951171875,20,-0.03%
18,2022-01-21,1831.800048828125,1838.0,1842.4000244140625,1828.9000244140625,19,-0.58%
19,2022-01-24,1841.699951171875,1837.9000244140625,1842.0999755859375,1837.9000244140625,8,0.54%
20,2022-01-25,1852.699951171875,1843.0,1852.699951171875,1842.0,11,0.60%
21,2022-01-26,1829.9000244140625,1829.9000244140625,1829.9000244140625,1829.9000244140625,55,-1.23%
22,2022-01-27,1793.300048828125,1793.300048828125,1793.300048828125,1793.300048828125,196036,-2.00%
23,2022-01-28,1784.9000244140625,1797.5,1798.4000244140625,1778.800048828125,28521,-0.47%
24,2022-01-31,1795.0,1788.5,1798.5,1785.0999755859375,1735,0.57%
25,2022-02-01,1800.300048828125,1797.199951171875,1806.0999755859375,1797.0999755859375,223,0.30%
26,2022-02-02,1809.199951171875,1797.800048828125,1810.0999755859375,1795.0999755859375,1690,0.49%
27,2022-02-03,1803.0,1805.800048828125,1808.0999755859375,1787.9000244140625,466,-0.34%
28,2022-02-04,1806.5999755859375,1806.0,1813.699951171875,1792.5,571,0.20%
29,2022-02-07,1820.5999755859375,1812.199951171875,1821.300048828125,1809.0999755859375,601,0.77%
30,2022-02-08,1826.5999755859375,1818.9000244140625,1827.5999755859375,1815.0,108,0.33%
31,2022-02-09,1835.199951171875,1825.4000244140625,1835.199951171875,1825.300048828125,683,0.47%
32,2022-02-10,1836.199951171875,1833.300048828125,1842.0999755859375,1820.800048828125,365,0.05%
33,2022-02-11,1840.800048828125,1822.0,1864.800048828125,1822.0,181,0.25%
34,2022-02-14,1868.0,1861.800048828125,1870.5999755859375,1854.5999755859375,79,1.48%
35,2022-02-15,1854.800048828125,1872.5999755859375,1879.699951171875,1847.4000244140625,86,-0.71%
36,2022-02-16,1870.199951171875,1858.699951171875,1870.199951171875,1856.300048828125,34,0.83%
37,2022-02-17,1900.699951171875,1876.300048828125,1900.699951171875,1876.199951171875,393,1.63%
38,2022-02-18,1898.5999755859375,1899.4000244140625,1899.4000244140625,1890.699951171875,51,-0.11%
39,2022-02-22,1906.0999755859375,1908.0999755859375,1912.0,1890.800048828125,173,0.40%
40,2022-02-23,1909.199951171875,1896.5999755859375,1910.5999755859375,1895.699951171875,73,0.16%
41,2022-02-24,1925.0999755859375,1911.9000244140625,1972.5,1911.699951171875,2706,0.83%
42,2022-02-25,1886.5,1906.9000244140625,1920.0,1883.5999755859375,586,-2.01%
43,2022-02-28,1899.4000244140625,1928.300048828125,1928.4000244140625,1894.199951171875,390,0.68%
44,2022-03-01,1942.4000244140625,1908.300048828125,1942.4000244140625,1903.800048828125,547,2.26%
45,2022-03-02,1920.9000244140625,1945.5999755859375,1948.199951171875,1919.800048828125,109,-1.11%
46,2022-03-03,1934.4000244140625,1930.5,1940.300048828125,1924.800048828125,122,0.70%
47,2022-03-04,1965.0999755859375,1937.0,1970.9000244140625,1935.5999755859375,47,1.59%
48,2022-03-07,1993.9000244140625,1989.0,2001.0999755859375,1963.0,2516,1.47%
49,2022-03-08,2040.0999755859375,1999.4000244140625,2072.0,1998.0,1813,2.32%
50,2022-03-09,1985.9000244140625,2053.60009765625,2063.0,1980.800048828125,1022,-2.66%
51,2022-03-10,1998.0999755859375,1978.0999755859375,2010.5,1978.0999755859375,670,0.61%
52,2022-03-11,1982.699951171875,1985.0,1996.0,1959.9000244140625,865,-0.77%
53,2022-03-14,1959.5999755859375,1976.5,1977.699951171875,1959.5999755859375,145,-1.17%
54,2022-03-15,1928.5,1939.800048828125,1939.9000244140625,1910.699951171875,71,-1.59%
55,2022-03-16,1908.0,1922.4000244140625,1922.4000244140625,1907.199951171875,104,-1.06%
