,Unnamed: 0,date,jykw,open,high,low,vol,jykw_cr
0,0.0,2020-01-01,10.6156,10.6336,10.6369,10.6156,,-0.07%
1,1.0,2020-01-02,10.659,10.6253,10.7133,10.6093,,0.41%
2,2.0,2020-01-03,10.7756,10.665,10.8286,10.652,,1.09%
3,3.0,2020-01-06,10.7661,10.7953,10.8637,10.7599,,-0.09%
4,4.0,2020-01-07,10.7655,10.7738,10.785,10.7224,,-0.01%
5,5.0,2020-01-08,10.6482,10.7762,10.955,10.6317,,-1.09%
6,6.0,2020-01-09,10.579,10.6512,10.6653,10.5715,,-0.65%
7,7.0,2020-01-10,10.576,10.5896,10.6301,10.556,,-0.03%
8,8.0,2020-01-13,10.4952,10.5857,10.5895,10.5002,,-0.76%
9,9.0,2020-01-14,10.52,10.5053,10.5515,10.4415,,0.24%
10,10.0,2020-01-15,10.5351,10.5306,10.583,10.5142,,0.14%
11,11.0,2020-01-16,10.5267,10.5457,10.5723,10.5112,,-0.08%
12,12.0,2020-01-17,10.5332,10.5392,10.551,10.4903,,0.06%
13,13.0,2020-01-20,10.5147,10.5439,10.5554,10.4898,,-0.18%
14,14.0,2020-01-21,10.638,10.5242,10.6644,10.5081,,1.17%
15,15.0,2020-01-22,10.6032,10.6486,10.6549,10.5603,,-0.33%
16,16.0,2020-01-23,10.6716,10.6133,10.7105,10.5998,,0.65%
17,17.0,2020-01-24,10.6991,10.6812,10.7253,10.64,,0.26%
18,18.0,2020-01-27,10.8053,10.7313,10.836,10.7238,,0.99%
19,19.0,2020-01-28,10.7705,10.815,10.8617,10.7726,,-0.32%
20,20.0,2020-01-29,10.8116,10.7756,10.8287,10.751,,0.38%
21,21.0,2020-01-30,10.8978,10.8223,10.99,10.8044,,0.80%
22,22.0,2020-01-31,11.0227,10.9085,11.0619,10.8508,,1.15%
23,23.0,2020-02-03,10.9456,11.0322,11.0563,10.9473,,-0.70%
24,24.0,2020-02-04,10.7988,10.9564,11.0021,10.8021,,-1.34%
25,25.0,2020-02-05,10.7748,10.8094,10.9024,10.7499,,-0.22%
26,26.0,2020-02-06,10.7753,10.7854,10.7967,10.7089,,0.00%
27,27.0,2020-02-07,10.8555,10.7848,10.9188,10.7738,,0.74%
28,28.0,2020-02-10,10.8131,10.8631,10.8966,10.7921,,-0.39%
29,29.0,2020-02-11,10.7582,10.8237,10.8299,10.7378,,-0.51%
30,30.0,2020-02-12,10.705,10.7688,10.7847,10.6983,,-0.49%
31,31.0,2020-02-13,10.7775,10.7145,10.8013,10.7077,,0.68%
32,32.0,2020-02-14,10.7722,10.7871,10.8046,10.7482,,-0.05%
33,33.0,2020-02-17,10.7858,10.7808,10.7934,10.7358,,0.13%
34,34.0,2020-02-18,10.8377,10.7877,10.8713,10.7803,,0.48%
35,35.0,2020-02-19,10.7066,10.8405,10.8668,10.6862,,-1.21%
36,36.0,2020-02-20,10.7429,10.7126,10.8144,10.7065,,0.34%
37,37.0,2020-02-21,10.8146,10.7488,10.8949,10.7246,,0.67%
38,38.0,2020-02-24,11.0085,10.8165,11.0516,10.7991,,1.79%
39,39.0,2020-02-25,11.0283,11.0118,11.0783,10.8893,,0.18%
40,40.0,2020-02-26,10.9781,11.0348,11.075,10.966,,-0.46%
41,41.0,2020-02-27,11.0631,10.9831,11.0784,10.941,,0.77%
42,42.0,2020-02-28,11.1027,11.0651,11.2244,11.0506,,0.36%
43,43.0,2020-03-02,10.9814,11.1767,11.223,10.9635,,-1.09%
44,44.0,2020-03-03,11.0173,10.9838,11.1073,10.9473,,0.33%
45,45.0,2020-03-04,11.0156,11.0245,11.1032,10.9724,,-0.02%
46,46.0,2020-03-05,11.1964,11.0213,11.2295,10.9866,,1.64%
47,47.0,2020-03-06,11.2855,11.1978,11.3591,11.178,,0.80%
48,48.0,2020-03-09,11.7308,11.3321,11.8724,11.33,,3.95%
49,49.0,2020-03-10,11.2209,11.7331,11.7712,11.1925,,-4.35%
50,50.0,2020-03-11,11.4045,11.2239,11.5012,11.2197,,1.64%
