,date,qnet,open,high,low,volume,qnet_cr
124,2022-06-17,718.18,707.94,724.5,704.61,,1.99
125,2022-06-21,727.42,727.28,740.69,726.49,,1.29
126,2022-06-22,728.02,719.02,741.74,718.84,,0.08
127,2022-06-23,746.47,733.48,748.89,726.85,,2.53
128,2022-06-24,781.97,755.32,782.36,753.0,,4.76
129,2022-06-27,770.51,786.65,788.4,766.87,,-1.47
130,2022-06-28,741.54,770.6,780.38,741.15,,-3.76
131,2022-06-29,739.34,738.77,746.28,730.69,,-0.3
132,2022-06-30,722.27,730.67,732.11,707.11,,-2.31
133,2022-07-01,735.07,723.47,735.34,718.12,,1.77
134,2022-07-05,760.66,724.69,760.89,716.81,,3.48
135,2022-07-06,755.52,761.23,764.34,747.77,,-0.68
136,2022-07-07,775.14,757.51,776.5,755.77,,2.6
137,2022-07-08,769.04,763.54,777.94,758.33,,-0.79
138,2022-07-11,738.06,757.35,758.84,736.24,,-4.03
139,2022-07-12,730.86,741.75,747.42,727.09,,-0.98
140,2022-07-13,728.73,716.66,734.63,711.86,,-0.29
141,2022-07-14,715.25,724.17,724.8,707.41,,-1.85
142,2022-07-15,735.02,722.55,735.47,716.83,,2.76
143,2022-07-18,738.72,745.33,758.84,735.63,,0.5
144,2022-07-19,766.34,750.52,766.77,743.22,,3.74
145,2022-07-20,791.86,771.41,794.01,769.31,,3.33
146,2022-07-21,803.38,790.07,803.46,783.6,,1.45
147,2022-07-22,774.33,796.67,800.62,769.21,,-3.62
148,2022-07-25,769.13,774.13,775.36,762.91,,-0.67
149,2022-07-26,741.38,761.32,761.68,739.24,,-3.61
150,2022-07-27,782.97,759.33,786.13,757.61,,5.61
151,2022-07-28,786.14,777.92,786.27,762.44,,0.4
152,2022-07-29,791.79,787.64,794.0,778.5,,0.72
153,2022-08-01,793.65,784.49,801.19,777.22,,0.23
154,2022-08-02,801.25,786.42,810.65,786.42,,0.96
155,2022-08-03,832.05,810.63,834.49,810.44,,3.84
156,2022-08-04,841.39,836.94,844.05,828.58,,1.12
157,2022-08-05,837.0,828.59,845.44,825.91,,-0.52
158,2022-08-08,839.99,840.81,859.63,837.67,,0.36
159,2022-08-09,825.58,832.1,834.65,820.25,,-1.72
160,2022-08-10,857.64,850.38,858.04,843.49,,3.88
161,2022-08-11,856.46,873.62,885.01,853.32,,-0.14
162,2022-08-12,874.48,862.38,874.52,858.53,,2.1
163,2022-08-15,878.77,870.02,881.32,868.47,,0.49
164,2022-08-16,875.01,874.03,881.72,861.98,,-0.43
165,2022-08-17,854.07,864.18,864.28,849.86,,-2.39
166,2022-08-18,852.62,851.89,855.78,843.12,,-0.17
167,2022-08-19,827.53,840.37,842.08,824.75,,-2.94
168,2022-08-22,802.7,813.17,815.17,800.65,,-3.0
169,2022-08-23,797.09,800.31,809.42,795.86,,-0.7
170,2022-08-24,805.74,795.66,814.3,793.97,,1.09
171,2022-08-25,824.23,809.53,824.49,806.79,,2.29
172,2022-08-26,789.82,824.49,827.95,789.72,,-4.17
173,2022-08-29,781.73,783.92,795.06,781.38,,-1.02
174,2022-08-30,773.89,789.14,792.03,766.22,,-1.0
175,2022-08-31,775.63,786.55,795.29,775.53,,0.22
176,2022-09-01,773.99,767.29,774.74,753.5,,-0.21
177,2022-09-02,764.11,778.85,783.84,759.78,,-1.28
178,2022-09-06,755.36,762.91,765.19,748.1,,-1.15
179,2022-09-07,776.46,755.61,777.95,754.75,,2.79
180,2022-09-08,782.44,765.71,783.98,764.23,,0.77
181,2022-09-09,805.9,790.79,807.28,790.75,,3.0
182,2022-09-12,816.41,809.63,818.55,809.0,,1.3
183,2022-09-13,771.42,787.5,789.67,769.37,,-5.51
184,2022-09-14,778.85,772.95,779.69,764.13,,0.96
185,2022-09-15,768.37,768.27,786.76,764.56,,-1.35
186,2022-09-16,750.21,754.18,754.72,742.37,,-2.36
187,2022-09-19,755.65,744.26,756.09,744.02,,0.73
188,2022-09-20,743.2,748.99,754.35,739.53,,-1.65
189,2022-09-21,724.9,743.44,754.01,724.84,,-2.46
190,2022-09-22,712.31,721.71,725.78,710.31,,-1.74
191,2022-09-23,698.38,705.79,707.14,688.89,,-1.96
192,2022-09-26,692.66,698.79,711.81,692.25,,-0.82
193,2022-09-27,692.81,703.27,710.62,686.81,,0.02
194,2022-09-28,717.66,691.82,720.74,691.64,,3.59
195,2022-09-29,697.24,706.98,707.71,689.25,,-2.85
196,2022-09-30,688.33,693.72,709.73,688.01,,-1.28
197,2022-10-03,703.42,694.28,707.68,686.52,,2.19
198,2022-10-04,738.08,721.17,738.45,720.5,,4.93
199,2022-10-05,735.85,727.5,740.04,719.16,,-0.3
200,2022-10-06,733.5,735.37,742.64,728.99,,-0.32
201,2022-10-07,704.19,720.53,721.39,700.67,,-4.0
202,2022-10-10,693.0,703.15,704.34,685.82,,-1.59
203,2022-10-11,674.33,687.82,689.45,665.76,,-2.69
204,2022-10-12,678.95,674.23,682.94,669.82,,0.69
205,2022-10-13,686.74,657.97,690.57,649.88,,1.15
206,2022-10-14,666.49,695.11,698.21,665.66,,-2.95
207,2022-10-17,698.05,684.55,701.06,683.83,,4.74
208,2022-10-18,706.35,719.06,721.88,697.91,,1.19
209,2022-10-19,700.97,703.0,714.31,696.7,,-0.76
210,2022-10-20,702.42,701.59,719.87,699.64,,0.21
211,2022-10-21,712.22,694.52,713.22,689.62,,1.4
212,2022-10-24,707.11,706.86,709.84,687.02,,-0.72
213,2022-10-25,729.76,713.16,731.71,713.12,,3.2
214,2022-10-26,713.92,711.27,733.94,709.12,,-2.17
215,2022-10-27,696.07,702.97,710.91,695.35,,-2.5
216,2022-10-28,701.82,686.24,702.41,682.44,,0.83
217,2022-10-31,691.36,699.68,701.91,686.58,,-1.49
218,2022-11-01,689.46,704.65,711.33,689.31,,-0.27
219,2022-11-02,658.19,689.17,691.15,657.95,,-4.54
220,2022-11-03,647.31,653.93,661.99,646.39,,-1.65
221,2022-11-04,652.33,660.6,663.0,639.5,,0.78
222,2022-11-07,660.81,659.33,662.41,650.49,,1.3
223,2022-11-08,663.11,661.02,673.79,652.08,,0.35
224,2022-11-09,639.81,657.59,658.26,638.94,,-3.51
225,2022-11-10,696.23,675.99,696.55,672.6,,8.82
226,2022-11-11,722.41,698.65,726.22,697.98,,3.76
227,2022-11-14,715.07,716.22,726.73,711.72,,-1.02
228,2022-11-15,737.92,738.75,747.56,729.27,,3.2
229,2022-11-16,720.42,729.31,730.25,717.93,,-2.37
230,2022-11-17,710.28,704.31,716.03,701.92,,-1.41
231,2022-11-18,703.47,715.64,716.36,698.1,,-0.96
232,2022-11-21,693.41,703.53,706.29,689.18,,-1.43
233,2022-11-22,696.82,690.12,697.23,680.79,,0.49
234,2022-11-23,709.25,698.32,711.32,697.01,,1.78
235,2022-11-25,703.99,703.62,706.53,702.65,,-0.74
236,2022-11-28,695.37,702.92,710.07,693.95,,-1.22
237,2022-11-29,694.17,698.59,701.74,691.86,,-0.17
238,2022-11-30,734.02,697.83,734.02,697.09,,5.74
239,2022-12-01,736.22,731.56,741.45,728.17,,0.3
240,2022-12-02,738.01,724.83,740.67,723.45,,0.24
241,2022-12-05,719.01,734.43,738.57,716.24,,-2.57
242,2022-12-06,702.3,717.67,719.65,698.71,,-2.32
243,2022-12-07,694.99,695.21,700.75,689.08,,-1.04
244,2022-12-08,706.58,699.36,710.11,695.48,,1.67
245,2022-12-09,705.36,705.68,715.14,702.64,,-0.17
246,2022-12-12,712.41,705.48,712.51,701.63,,1.0
247,2022-12-13,721.04,741.79,748.91,715.56,,1.21
248,2022-12-14,719.28,721.06,728.99,710.16,,-0.24
249,2022-12-15,689.52,707.03,709.07,685.76,,-4.14
250,2022-12-16,686.68,690.74,697.49,682.89,,-0.41
251,2022-12-19,673.18,686.1,686.49,670.47,,-1.97
252,2022-12-20,676.27,668.84,681.36,667.13,,0.46
253,2022-12-21,686.31,676.47,690.78,673.54,,1.48
254,2022-12-22,673.73,678.96,679.36,660.97,,-1.83
255,2022-12-23,675.57,670.55,676.59,664.97,,0.27
256,2022-12-27,670.27,672.68,675.64,665.15,,-0.78
257,2022-12-28,659.37,668.16,673.89,658.88,,-1.63
258,2022-12-29,681.61,665.08,683.65,663.98,,3.37
259,2022-12-30,679.86,671.86,680.05,669.3,,-0.26
260,2023-01-03,690.47,693.05,702.0,682.66,,1.56
261,2023-01-04,708.2,700.22,711.22,693.63,,2.57
262,2023-01-05,698.78,701.74,704.95,694.06,,-1.33
263,2023-01-06,711.76,701.11,713.97,690.12,,1.86
264,2023-01-09,719.81,720.29,731.27,719.19,,1.13
265,2023-01-10,730.55,716.8,730.64,716.78,,1.49
266,2023-01-11,742.86,732.69,742.97,729.86,,1.69
267,2023-01-12,753.87,747.38,755.36,734.48,,1.48
268,2023-01-13,763.68,747.94,764.34,747.69,,1.3
269,2023-01-17,760.61,762.84,764.17,754.78,,-0.4
270,2023-01-18,750.23,767.17,769.7,749.9,,-1.36
271,2023-01-19,749.94,745.3,755.1,743.66,,-0.04
272,2023-01-20,778.02,757.79,778.2,755.63,,3.74
273,2023-01-23,793.2,781.44,794.35,777.79,,1.95
274,2023-01-24,788.14,785.83,795.85,784.5,,-0.64
275,2023-01-25,790.56,774.72,792.4,768.95,,0.31
276,2023-01-26,808.54,801.76,808.74,792.7,,2.27
277,2023-01-27,819.57,807.95,824.8,807.95,,1.36
278,2023-01-30,798.11,810.24,811.55,797.65,,-2.62
279,2023-01-31,811.33,799.46,811.48,799.46,,1.66
280,2023-02-01,830.49,812.88,835.82,806.23,,2.36
281,2023-02-02,875.48,864.63,884.21,859.13,,5.42
282,2023-02-03,852.75,851.92,874.34,850.75,,-2.6
283,2023-02-06,844.64,844.71,850.09,838.81,,-0.95
284,2023-02-07,860.99,845.3,863.68,837.91,,1.94
285,2023-02-08,844.02,858.22,859.23,840.73,,-1.97
286,2023-02-09,831.45,854.8,859.3,828.05,,-1.49
287,2023-02-10,813.03,822.67,824.83,808.55,,-2.22
288,2023-02-13,825.64,818.73,829.11,815.3,,1.55
289,2023-02-14,830.92,819.84,834.47,814.01,,0.64
290,2023-02-15,842.83,829.09,842.88,826.45,,1.43
291,2023-02-16,822.73,830.97,837.05,821.52,,-2.38
292,2023-02-17,809.67,815.37,817.05,801.62,,-1.59
293,2023-02-21,790.24,797.6,803.67,789.46,,-2.4
294,2023-02-22,790.81,791.42,798.36,786.34,,0.07
295,2023-02-23,788.81,795.38,796.03,775.48,,-0.25
296,2023-02-24,771.48,775.01,775.77,765.33,,-2.2
297,2023-02-27,776.13,778.75,781.51,774.04,,0.6
298,2023-02-28,780.03,777.78,784.78,775.96,,0.5
299,2023-03-01,776.17,783.03,786.01,774.9,,-0.49
300,2023-03-02,788.08,771.45,789.46,771.4,,1.53
301,2023-03-03,807.77,793.21,808.5,793.1,,2.5
302,2023-03-06,806.69,810.81,820.83,806.42,,-0.13
303,2023-03-07,801.71,808.76,814.69,800.43,,-0.62
304,2023-03-08,802.24,799.9,803.89,793.35,,0.07
305,2023-03-09,780.28,802.08,809.35,778.18,,-2.74
306,2023-03-10,763.07,775.72,780.63,759.76,,-2.21
307,2023-03-13,765.42,755.78,775.8,746.84,,0.31
308,2023-03-14,786.24,779.71,788.37,776.78,,2.72
309,2023-03-15,788.08,775.61,788.62,769.55,,0.23
310,2023-03-16,810.74,787.3,811.52,785.06,,2.88
311,2023-03-17,803.27,808.58,813.81,797.4,,-0.92
312,2023-03-20,802.32,799.0,805.09,793.85,,-0.12
313,2023-03-21,824.18,808.8,826.21,808.69,,2.72
314,2023-03-22,807.78,824.13,834.46,807.52,,-1.99
315,2023-03-23,818.33,817.39,833.08,809.95,,1.31
316,2023-03-24,818.71,815.68,819.77,809.96,,0.05
317,2023-03-27,814.88,820.25,824.42,809.7,,-0.47
318,2023-03-28,814.71,814.64,818.68,809.16,,-0.02
319,2023-03-29,830.71,822.4,831.99,821.96,,1.96
320,2023-03-30,839.51,836.13,841.28,834.62,,1.06
321,2023-03-31,854.98,840.81,855.55,840.7,,1.84
322,2023-04-03,851.18,847.65,851.91,842.81,,-0.44
323,2023-04-04,852.03,853.89,856.46,846.87,,0.1
324,2023-04-05,837.24,849.48,849.48,831.14,,-1.74
325,2023-04-06,845.28,832.91,846.69,825.39,,0.96
326,2023-04-10,842.88,835.95,843.59,831.67,,-0.28
327,2023-04-11,837.12,842.53,845.09,834.26,,-0.68
328,2023-04-12,825.92,843.64,848.28,825.02,,-1.34
329,2023-04-13,848.12,833.07,848.68,833.02,,2.69
330,2023-04-14,847.02,843.76,851.3,837.81,,-0.13
331,2023-04-17,848.15,845.35,849.1,841.66,,0.13
332,2023-04-18,848.25,854.86,856.16,845.98,,0.01
333,2023-04-19,843.78,838.64,847.02,836.49,,-0.53
334,2023-04-20,835.61,836.88,844.04,832.88,,-0.97
335,2023-04-21,837.79,834.0,839.17,828.05,,0.26
336,2023-04-24,832.66,836.88,842.15,825.58,,-0.61
337,2023-04-25,811.55,826.96,827.67,811.48,,-2.54
338,2023-04-26,815.7,811.55,826.89,813.97,,0.51
339,2023-04-27,845.61,834.11,847.59,831.94,,3.67
340,2023-04-28,851.89,842.0,852.3,837.07,,0.74
341,2023-05-01,849.36,850.19,853.26,845.43,,-0.3
342,2023-05-02,841.01,849.81,850.29,834.33,,-0.98
343,2023-05-03,836.11,841.07,849.84,834.85,,-0.58
344,2023-05-04,836.04,837.38,842.8,835.58,,-0.01
345,2023-05-05,851.83,840.77,853.39,838.97,,1.89
346,2023-05-08,862.81,853.49,864.5,852.7,,1.29
347,2023-05-09,855.66,856.24,859.96,854.74,,-0.83
348,2023-05-10,864.02,860.18,867.36,855.66,,0.98
349,2023-05-11,866.71,867.07,869.42,859.49,,0.31
350,2023-05-12,855.58,865.47,866.09,850.96,,-1.28
351,2023-05-15,865.28,857.95,866.42,855.76,,1.13
352,2023-05-16,862.29,860.04,865.63,859.52,,-0.35
353,2023-05-17,876.67,863.94,878.37,862.49,,1.67
354,2023-05-18,889.57,878.37,890.59,877.01,,1.47
355,2023-05-19,881.73,888.74,888.93,878.39,,-0.88
356,2023-05-22,889.37,882.95,895.71,882.68,,0.87
357,2023-05-23,872.94,883.47,888.63,872.78,,-1.85
358,2023-05-24,871.2,867.51,874.53,864.03,,-0.2
359,2023-05-25,872.61,879.52,880.17,869.47,,0.16
360,2023-05-26,893.09,876.39,895.93,875.99,,2.35
361,2023-05-30,891.67,904.59,905.82,886.78,,-0.16
362,2023-05-31,892.36,888.27,893.65,883.25,,0.08
363,2023-06-01,904.6,888.15,909.02,887.24,,1.37
364,2023-06-02,916.05,912.22,920.18,908.7,,1.27
365,2023-06-05,920.55,912.31,924.44,911.54,,0.49
366,2023-06-06,928.51,919.18,931.36,917.94,,0.86
367,2023-06-07,904.55,929.96,935.39,903.17,,-2.58
368,2023-06-08,914.03,904.59,918.44,903.43,,1.05
369,2023-06-09,918.39,919.79,928.76,915.58,,0.48
370,2023-06-12,933.18,923.66,933.85,921.25,,1.61
371,2023-06-13,937.67,944.25,945.48,931.21,,0.48
372,2023-06-14,940.19,936.79,944.21,928.41,,0.27
373,2023-06-15,956.82,936.33,959.79,933.45,,1.77
374,2023-06-16,949.61,962.42,962.84,948.84,,-0.75
375,2023-06-20,944.85,942.03,952.57,935.6,,-0.5
376,2023-06-21,932.78,943.62,946.12,927.18,,-1.28
377,2023-06-22,943.26,928.53,943.34,928.44,,1.12
378,2023-06-23,936.92,932.29,940.93,926.38,,-0.67
379,2023-06-26,926.19,934.35,945.75,926.05,,-1.15
380,2023-06-27,941.35,933.49,945.31,930.55,,1.64
381,2023-06-28,945.38,938.83,952.86,938.59,,0.43
382,2023-06-29,937.11,944.24,944.92,934.43,,-0.87
383,2023-06-30,948.56,945.18,954.79,944.92,,1.22
384,2023-07-03,953.18,949.41,954.89,949.1,,0.49
385,2023-07-05,957.33,951.36,959.57,949.15,,0.44
386,2023-07-06,939.19,946.56,947.43,932.42,,-1.89
387,2023-07-07,944.55,939.58,953.96,939.3,,0.57
388,2023-07-10,948.72,942.0,948.82,939.17,,0.44
389,2023-07-11,967.42,949.11,968.84,949.11,,1.97
390,2023-07-12,982.68,979.0,983.83,973.12,,1.58
391,2023-07-13,1006.52,992.45,1009.23,992.13,,2.43
392,2023-07-14,999.47,1007.2,1012.11,996.55,,-0.7
393,2023-07-17,1006.04,998.71,1008.2,996.69,,0.66
394,2023-07-18,1013.4,1003.31,1015.31,997.57,,0.73
395,2023-07-19,1017.63,1019.28,1026.39,1013.47,,0.42
396,2023-07-20,989.73,1006.89,1011.01,987.75,,-2.74
397,2023-07-21,988.88,995.65,1000.42,986.05,,-0.09
398,2023-07-24,988.77,990.81,992.46,979.8,,-0.01
399,2023-07-25,988.44,991.44,994.2,987.62,,-0.03
400,2023-07-26,990.93,987.51,994.4,980.71,,0.25
401,2023-07-27,983.08,1007.69,1010.21,979.95,,-0.79
402,2023-07-28,1012.19,994.69,1013.69,993.75,,2.96
403,2023-07-31,1022.55,1015.82,1024.52,1015.61,,1.02
404,2023-08-01,1013.34,1014.0,1015.41,1006.34,,-0.9
405,2023-08-02,984.08,998.12,998.64,976.38,,-2.89
406,2023-08-03,977.33,975.92,984.58,974.3,,-0.69
407,2023-08-04,981.13,994.68,997.03,979.77,,0.39
408,2023-08-07,993.79,985.67,994.13,979.31,,1.29
409,2023-08-08,982.79,983.12,984.05,972.62,,-1.11
410,2023-08-09,966.52,984.93,985.07,964.55,,-1.66
411,2023-08-10,975.25,977.59,987.8,969.68,,0.9
412,2023-08-11,964.34,965.19,970.26,960.64,,-1.12
413,2023-08-14,973.15,960.19,973.18,956.4,,0.91
414,2023-08-15,954.57,969.98,970.24,952.48,,-1.91
415,2023-08-16,943.2,950.87,954.83,943.17,,-1.19
416,2023-08-17,930.41,946.4,947.55,929.44,,-1.36
417,2023-08-18,926.2,917.22,929.23,914.74,,-0.45
418,2023-08-21,934.98,928.33,936.46,923.13,,0.95
419,2023-08-22,935.86,941.09,941.6,934.34,,0.09
420,2023-08-23,952.09,938.15,957.03,938.14,,1.73
421,2023-08-24,930.54,959.01,959.09,930.46,,-2.26
422,2023-08-25,938.43,932.82,942.31,921.46,,0.85
423,2023-08-28,946.95,943.04,948.66,941.51,,0.91
424,2023-08-29,966.94,945.99,968.23,945.87,,2.11
425,2023-08-30,973.74,965.45,974.6,963.44,,0.7
426,2023-08-31,982.98,981.34,988.44,979.55,,0.95
427,2023-09-01,988.23,991.93,994.41,984.17,,0.53
428,2023-09-05,990.5,985.71,993.87,983.68,,0.23
429,2023-09-06,986.47,988.76,995.36,980.61,,-0.41
430,2023-09-07,982.82,976.85,985.18,972.58,,-0.37
431,2023-09-08,984.59,983.45,988.36,981.93,,0.18
432,2023-09-11,995.81,991.34,997.35,987.88,,1.14
433,2023-09-12,983.94,990.12,996.66,983.69,,-1.19
434,2023-09-13,982.93,982.82,986.39,976.6,,-0.1
435,2023-09-14,988.39,988.25,992.18,979.57,,0.56
436,2023-09-15,973.33,984.29,985.96,970.64,,-1.52
437,2023-09-18,968.35,968.13,974.28,967.12,,-0.51
438,2023-09-19,964.39,962.84,965.52,953.8,,-0.41
439,2023-09-20,949.82,965.93,970.16,949.68,,-1.51
440,2023-09-21,926.23,935.54,937.47,926.1,,-2.48
441,2023-09-22,925.46,933.22,937.92,924.63,,-0.08
442,2023-09-25,930.57,920.58,930.77,918.56,,0.55
443,2023-09-26,915.81,924.72,926.72,913.19,,-1.59
444,2023-09-27,918.97,919.29,924.12,908.57,,0.35
445,2023-09-28,926.79,914.83,931.94,912.43,,0.85
446,2023-09-29,930.63,937.26,944.47,928.17,,0.41
447,2023-10-02,937.83,930.0,942.65,929.15,,0.77
