,date,qnet,open,high,low,volume,qnet_cr
0,2021-12-20,1252.86,1251.78,1262.27,1244.9,,-1.69
1,2021-12-21,1298.4,1264.34,1300.08,1260.71,,3.63
2,2021-12-22,1301.44,1292.3,1304.3,1286.55,,0.23
3,2021-12-23,1310.95,1300.41,1314.69,1293.2,,0.73
4,2021-12-27,1312.22,1311.89,1319.78,1309.76,,0.1
5,2021-12-28,1301.78,1313.23,1318.0,1299.56,,-0.8
6,2021-12-29,1294.49,1301.33,1303.83,1285.17,,-0.56
7,2021-12-30,1315.96,1296.13,1327.79,1296.13,,1.66
8,2021-12-31,1298.41,1311.45,1318.09,1298.4,,-1.33
9,2022-01-03,1307.63,1305.7,1310.15,1285.22,,0.71
10,2022-01-04,1275.86,1308.03,1308.63,1259.13,,-2.43
11,2022-01-05,1223.25,1260.16,1273.05,1223.04,,-4.12
12,2022-01-06,1230.79,1215.78,1246.95,1207.44,,0.62
13,2022-01-07,1219.65,1230.38,1246.02,1213.95,,-0.91
14,2022-01-10,1220.72,1206.22,1221.43,1177.38,,0.09
15,2022-01-11,1252.59,1218.74,1255.39,1213.59,,2.61
16,2022-01-12,1251.67,1265.62,1271.46,1242.04,,-0.07
17,2022-01-13,1207.76,1250.19,1251.48,1206.29,,-3.51
18,2022-01-14,1209.73,1199.14,1215.53,1188.74,,0.16
19,2022-01-18,1176.12,1189.73,1198.23,1174.78,,-2.78
20,2022-01-19,1170.56,1181.42,1195.46,1170.01,,-0.47
21,2022-01-20,1167.03,1186.98,1211.56,1165.31,,-0.3
22,2022-01-21,1097.94,1139.71,1145.69,1096.99,,-5.92
23,2022-01-24,1105.56,1069.11,1107.15,1028.55,,0.69
24,2022-01-25,1073.96,1083.69,1096.07,1062.66,,-2.86
25,2022-01-26,1058.46,1101.1,1104.58,1048.98,,-1.44
26,2022-01-27,1051.7,1073.95,1087.83,1050.19,,-0.64
27,2022-01-28,1086.4,1056.1,1086.74,1038.6,,3.3
28,2022-01-31,1148.78,1096.45,1149.32,1095.19,,5.74
29,2022-02-01,1169.3,1156.78,1170.67,1137.57,,1.79
30,2022-02-02,1136.84,1171.99,1171.99,1128.46,,-2.78
31,2022-02-03,1056.95,1082.73,1088.01,1055.18,,-7.03
32,2022-02-04,1098.78,1070.44,1110.1,1063.14,,3.96
33,2022-02-07,1082.17,1099.08,1108.81,1079.36,,-1.51
34,2022-02-08,1096.63,1075.02,1099.17,1073.69,,1.34
35,2022-02-09,1131.24,1111.89,1131.31,1106.33,,3.16
36,2022-02-10,1105.51,1111.19,1136.85,1099.44,,-2.27
37,2022-02-11,1069.22,1109.91,1116.34,1063.59,,-3.28
38,2022-02-14,1065.26,1065.93,1083.81,1057.09,,-0.37
39,2022-02-15,1099.36,1081.45,1100.07,1079.25,,3.2
40,2022-02-16,1080.84,1083.66,1083.66,1067.55,,-1.68
41,2022-02-17,1041.69,1071.72,1078.5,1040.32,,-3.62
42,2022-02-18,1015.19,1035.78,1042.78,1012.08,,-2.54
43,2022-02-22,992.46,1003.97,1017.99,983.32,,-2.24
44,2022-02-23,968.66,1003.26,1008.68,968.11,,-2.4
45,2022-02-24,1007.78,925.66,1009.49,924.85,,4.04
46,2022-02-25,1024.32,1007.64,1024.68,992.4,,1.64
47,2022-02-28,1029.32,1019.54,1038.08,1011.0,,0.49
48,2022-03-01,1009.88,1029.07,1036.35,1003.92,,-1.89
49,2022-03-02,1010.79,1012.32,1015.67,989.52,,0.09
50,2022-03-03,978.28,1016.98,1018.13,972.88,,-3.22
51,2022-03-04,950.25,973.92,980.01,945.02,,-2.87
52,2022-03-07,904.48,952.37,955.92,904.14,,-4.82
53,2022-03-08,900.67,900.75,930.54,890.3,,-0.42
54,2022-03-09,943.96,926.88,946.61,925.71,,4.81
55,2022-03-10,923.1,929.03,930.25,910.68,,-2.21
56,2022-03-11,889.58,929.18,930.02,888.96,,-3.63
57,2022-03-14,861.77,880.23,893.01,859.01,,-3.13
58,2022-03-15,889.55,867.57,891.18,861.35,,3.22
59,2022-03-16,966.38,914.49,966.53,914.49,,8.64
60,2022-03-17,980.63,953.28,980.93,948.5,,1.47
61,2022-03-18,1018.34,976.89,1018.34,974.18,,3.85
62,2022-03-21,997.68,1010.95,1010.95,982.56,,-2.03
63,2022-03-22,1028.63,999.9,1035.28,999.33,,3.1
64,2022-03-23,1011.16,1012.41,1029.81,1006.22,,-1.7
65,2022-03-24,1024.73,1014.14,1024.89,999.13,,1.34
66,2022-03-25,1013.2,1021.74,1024.0,1000.2,,-1.13
67,2022-03-28,1031.16,1015.36,1031.24,1006.25,,1.77
68,2022-03-29,1061.85,1046.48,1066.31,1042.06,,2.98
69,2022-03-30,1042.58,1052.59,1061.71,1036.93,,-1.81
70,2022-03-31,1018.31,1041.9,1042.56,1018.1,,-2.33
71,2022-04-01,1027.62,1025.86,1038.25,1020.43,,0.91
72,2022-04-04,1063.15,1039.35,1064.9,1038.21,,3.46
73,2022-04-05,1034.03,1061.7,1062.81,1030.48,,-2.74
74,2022-04-06,998.16,1014.89,1016.29,986.96,,-3.47
75,2022-04-07,991.13,994.56,1002.09,971.89,,-0.7
76,2022-04-08,976.33,984.59,990.53,974.96,,-1.49
77,2022-04-11,961.04,965.0,974.46,955.61,,-1.57
78,2022-04-12,950.4,974.12,984.25,947.49,,-1.11
79,2022-04-13,969.39,947.63,972.13,945.34,,2.0
80,2022-04-14,944.87,969.08,970.99,944.52,,-2.53
81,2022-04-18,938.45,942.4,946.38,925.75,,-0.68
82,2022-04-19,963.24,935.59,965.66,932.84,,2.64
83,2022-04-20,915.27,950.75,950.75,913.31,,-4.98
84,2022-04-21,880.77,922.52,931.16,878.03,,-3.77
85,2022-04-22,861.32,882.99,892.9,860.3,,-2.21
86,2022-04-25,877.75,855.04,878.01,852.49,,1.91
87,2022-04-26,844.19,871.44,871.49,844.19,,-3.82
88,2022-04-27,841.8,841.93,861.58,836.2,,-0.28
89,2022-04-28,880.25,866.22,885.98,846.96,,4.57
90,2022-04-29,845.12,869.23,886.62,843.59,,-3.99
91,2022-05-02,865.63,842.72,866.35,837.11,,2.43
92,2022-05-03,859.92,861.61,870.23,853.6,,-0.66
93,2022-05-04,882.23,853.45,883.87,832.61,,2.59
94,2022-05-05,828.19,868.74,868.89,819.68,,-6.13
95,2022-05-06,805.57,821.42,825.56,793.01,,-2.73
96,2022-05-09,761.99,788.77,795.65,758.49,,-5.41
97,2022-05-10,767.36,779.16,787.6,752.58,,0.7
98,2022-05-11,740.17,760.72,778.43,738.5,,-3.54
99,2022-05-12,746.28,729.35,763.79,717.53,,0.83
100,2022-05-13,783.03,760.21,784.64,759.7,,4.92
101,2022-05-16,767.08,776.34,783.66,764.74,,-2.04
102,2022-05-17,789.64,783.92,794.69,770.52,,2.94
103,2022-05-18,751.52,778.27,782.13,749.05,,-4.83
104,2022-05-19,761.46,752.43,774.63,749.12,,1.32
105,2022-05-20,760.52,774.48,776.86,738.72,,-0.12
106,2022-05-23,768.21,762.25,769.05,749.42,,1.01
107,2022-05-24,729.57,748.34,748.93,720.29,,-5.03
108,2022-05-25,746.4,729.9,751.95,728.71,,2.31
109,2022-05-26,773.85,746.47,778.31,745.98,,3.68
110,2022-05-27,797.92,781.14,797.95,780.67,,3.11
111,2022-05-31,797.19,801.39,807.37,786.46,,-0.09
112,2022-06-01,791.13,804.64,817.91,784.68,,-0.76
113,2022-06-02,826.21,789.86,827.07,787.7,,4.43
114,2022-06-03,803.18,812.22,818.56,800.12,,-2.79
115,2022-06-06,811.62,818.7,826.69,805.14,,1.05
116,2022-06-07,821.18,802.69,822.49,798.8,,1.18
117,2022-06-08,830.0,822.9,836.88,819.51,,1.07
118,2022-06-09,796.59,819.77,827.4,796.34,,-4.03
119,2022-06-10,759.77,780.82,782.25,757.95,,-4.62
120,2022-06-13,713.12,733.93,737.06,710.96,,-6.14
121,2022-06-14,714.0,720.33,722.91,706.56,,0.12
122,2022-06-15,738.77,724.28,748.68,721.17,,3.47
123,2022-06-16,704.19,719.08,719.44,698.84,,-4.68
