,date,lmt,open,high,low,volume,lmt_cr
0,2021-12-27,314.5571594238281,311.7014740676323,315.0331069831941,311.6116669534478,965900,nan%
1,2021-12-28,317.6732482910156,314.35956613762113,318.94844342375126,313.8656681624613,827500,0.99%
2,2021-12-29,318.14019775390625,317.39485634644234,319.24476757513037,316.72134417856233,771700,0.15%
3,2021-12-30,317.5205383300781,318.79573332168724,321.3371069684364,317.4576980275753,778500,-0.19%
4,2021-12-31,319.1639404296875,317.15239291453423,320.64566167630596,315.70657258405816,887200,0.52%
5,2022-01-03,318.2209777832031,318.5083495176546,320.2235635882358,317.02662840697485,1205700,-0.30%
6,2022-01-04,325.07293701171875,319.27175893490727,326.4648788284115,318.98438711923444,1361100,2.15%
7,2022-01-05,321.6155700683594,325.9799161213995,326.8779324192546,321.37308812855764,1682200,-1.06%
8,2022-01-06,321.4898681640625,323.28590094710194,324.3994325028951,321.0857498257645,1368800,-0.04%
9,2022-01-07,323.41162109375,322.4596985509182,325.9709457642547,321.6245499235896,1634600,0.60%
10,2022-01-10,326.2044372558594,325.9799331696544,331.78111108371195,324.55209047002467,2389900,0.86%
11,2022-01-11,327.003662109375,326.8869156078601,327.8118712821862,324.4263323593824,1128000,0.25%
12,2022-01-12,324.4532165527344,326.32110544862655,328.8175891918599,322.7919086377577,1477100,-0.78%
13,2022-01-13,327.93756103515625,325.13575477607003,329.89522984371257,323.39360109351094,1244000,1.07%
14,2022-01-14,334.61883544921875,327.93759186243875,334.95109710145846,326.8509997930185,2165000,2.04%
15,2022-01-18,338.13916015625,332.6702426433231,338.87551290085344,331.24237220901847,2471600,1.05%
16,2022-01-19,338.84844970703125,337.2050920756119,342.54829956994746,336.01970408279254,3336700,0.21%
17,2022-01-20,336.872802734375,338.5610774812196,342.2788500914754,335.86702903121943,2109100,-0.58%
18,2022-01-21,333.3436584472656,335.8580931019588,338.6419490873363,331.9786561444759,2795400,-1.05%
19,2022-01-24,335.2564392089844,331.86193842806176,336.3430587480201,328.0812971854743,3022300,0.57%
20,2022-01-25,347.68499755859375,339.31547871316826,348.43033906063056,332.9664966277593,3182400,3.71%
21,2022-01-26,351.33990478515625,348.430340607506,353.4861769965274,344.5688813000003,3640500,1.05%
22,2022-01-27,349.4001770019531,349.6785872734357,355.25526093557977,345.5027894698777,2566200,-0.55%
23,2022-01-28,353.0551452636719,349.4181897740092,353.21678163981557,345.53875231484506,2145100,1.05%
24,2022-01-31,349.44512939453125,350.67540748922517,351.115426759661,345.44894541493403,2363400,-1.02%
