,date,ixid,open,high,low,volume,ixid_cr
0,2021-12-27,11411.26953125,11334.599609375,11438.75,11334.490234375,0,nan%
1,2021-12-28,11391.3603515625,11436.8798828125,11465.830078125,11372.490234375,0,-0.17%
2,2021-12-29,11363.259765625,11405.3896484375,11416.150390625,11284.23046875,0,-0.25%
3,2021-12-30,11380.0498046875,11337.48046875,11482.58984375,11337.48046875,0,0.15%
4,2021-12-31,11312.8701171875,11368.900390625,11415.3896484375,11307.669921875,0,-0.59%
5,2022-01-03,11612.919921875,11476.9296875,11613.509765625,11413.7197265625,0,2.65%
6,2022-01-04,11444.0595703125,11616.5302734375,11635.599609375,11377.9697265625,0,-1.45%
7,2022-01-05,11108.099609375,11409.4599609375,11462.009765625,11105.900390625,0,-2.94%
8,2022-01-06,11066.849609375,11075.2900390625,11147.580078125,10896.0595703125,0,-0.37%
9,2022-01-07,10957.5703125,11079.8095703125,11137.7197265625,10920.25,0,-0.99%
10,2022-01-10,10906.2802734375,10831.41015625,10911.98046875,10620.1201171875,0,-0.47%
11,2022-01-11,11091.7197265625,10896.3896484375,11093.6796875,10848.6904296875,0,1.70%
12,2022-01-12,11139.7001953125,11168.7900390625,11191.150390625,11055.099609375,0,0.43%
13,2022-01-13,10859.1298828125,11154.5,11177.91015625,10843.3798828125,0,-2.52%
14,2022-01-14,10868.7001953125,10782.6103515625,10877.08984375,10710.5400390625,0,0.09%
15,2022-01-18,10648.7802734375,10744.5,10801.8603515625,10634.0703125,0,-2.02%
16,2022-01-19,10523.2998046875,10692.3896484375,10731.330078125,10518.490234375,0,-1.18%
17,2022-01-20,10387.33984375,10604.099609375,10756.08984375,10374.23046875,0,-1.29%
18,2022-01-21,9974.0703125,10257.8798828125,10299.169921875,9965.0498046875,0,-3.98%
19,2022-01-24,10013.3798828125,9750.1796875,10026.830078125,9459.5703125,0,0.39%
20,2022-01-25,9818.2900390625,9864.5595703125,9976.48046875,9710.7998046875,0,-1.95%
21,2022-01-26,9748.3095703125,10017.0302734375,10093.58984375,9634.0498046875,0,-0.71%
22,2022-01-27,9545.830078125,9848.41015625,9855.9296875,9530.7998046875,0,-2.08%
23,2022-01-28,9752.5400390625,9544.240234375,9752.9296875,9401.1796875,0,2.17%
24,2022-01-31,10193.2197265625,9806.7802734375,10195.2099609375,9786.66015625,0,4.52%
25,2022-02-01,10291.4404296875,10204.16015625,10306.330078125,10056.169921875,0,0.96%
26,2022-02-02,10125.26953125,10263.3701171875,10263.3701171875,10046.9404296875,0,-1.61%
27,2022-02-03,9777.9501953125,9849.990234375,9981.23046875,9767.0,0,-3.43%
28,2022-02-04,10146.740234375,10040.240234375,10251.6201171875,9914.8798828125,0,3.77%
29,2022-02-07,10114.73046875,10160.1904296875,10293.419921875,10084.5,0,-0.32%
30,2022-02-08,10262.9404296875,10088.08984375,10283.259765625,10041.58984375,0,1.47%
31,2022-02-09,10418.8896484375,10394.76953125,10428.23046875,10340.990234375,0,1.52%
32,2022-02-10,10234.990234375,10223.1298828125,10448.6396484375,10177.3203125,0,-1.77%
33,2022-02-11,9954.8203125,10247.6201171875,10269.919921875,9908.41015625,0,-2.74%
34,2022-02-14,9995.919921875,9945.3701171875,10123.41015625,9909.580078125,0,0.41%
35,2022-02-15,10215.9501953125,10135.0498046875,10217.0,10117.5400390625,0,2.20%
36,2022-02-16,10220.330078125,10154.7197265625,10249.1904296875,10101.1796875,0,0.04%
37,2022-02-17,9972.8701171875,10162.9697265625,10206.7802734375,9963.0400390625,0,-2.42%
38,2022-02-18,9852.01953125,9972.8203125,10011.6298828125,9771.080078125,0,-1.21%
39,2022-02-22,9652.3701171875,9764.01953125,9859.0703125,9553.3203125,0,-2.03%
40,2022-02-23,9367.080078125,9737.0400390625,9749.240234375,9360.0,0,-2.96%
41,2022-02-24,9649.73046875,9013.5400390625,9661.509765625,9013.5400390625,0,3.02%
42,2022-02-25,9847.5595703125,9668.650390625,9847.8798828125,9566.08984375,0,2.05%
43,2022-02-28,9954.16015625,9787.0400390625,9999.830078125,9771.900390625,0,1.08%
44,2022-03-01,9806.169921875,9920.2900390625,9970.1904296875,9741.759765625,0,-1.49%
45,2022-03-02,9925.8798828125,9833.01953125,9963.2001953125,9743.7197265625,0,1.22%
46,2022-03-03,9707.3603515625,9982.83984375,9988.150390625,9662.2001953125,0,-2.20%
47,2022-03-04,9585.9404296875,9665.16015625,9684.3203125,9488.9296875,0,-1.25%
48,2022-03-07,9221.400390625,9613.5400390625,9634.1201171875,9220.9599609375,0,-3.80%
49,2022-03-08,9216.9404296875,9194.259765625,9465.830078125,9135.0400390625,0,-0.05%
50,2022-03-09,9467.8798828125,9418.080078125,9501.8203125,9350.650390625,0,2.72%
51,2022-03-10,9495.41015625,9454.2802734375,9525.6796875,9369.849609375,0,0.29%
52,2022-03-11,9282.2900390625,9568.83984375,9581.0498046875,9275.6796875,0,-2.24%
53,2022-03-14,9097.2099609375,9242.48046875,9327.1298828125,9066.9404296875,0,-1.99%
54,2022-03-15,9374.4296875,9155.66015625,9397.4501953125,9103.2802734375,0,3.05%
55,2022-03-16,9743.4501953125,9506.400390625,9745.7001953125,9432.7900390625,0,3.94%
56,2022-03-17,9939.9599609375,9690.9501953125,9942.4697265625,9667.080078125,0,2.02%
57,2022-03-18,10153.5400390625,9912.4404296875,10164.5302734375,9875.3701171875,0,2.15%
58,2022-03-21,10114.58984375,10154.08984375,10222.4404296875,10013.7099609375,0,-0.38%
59,2022-03-22,10369.4296875,10163.6201171875,10394.98046875,10154.0498046875,0,2.52%
60,2022-03-23,10281.6904296875,10293.400390625,10456.2998046875,10269.83984375,0,-0.85%
61,2022-03-24,10379.259765625,10332.4296875,10380.4501953125,10200.150390625,0,0.95%
62,2022-03-25,10367.76953125,10369.2998046875,10404.990234375,10259.9697265625,0,-0.11%
63,2022-03-28,10589.48046875,10452.580078125,10590.599609375,10403.900390625,0,2.14%
64,2022-03-29,10768.990234375,10695.599609375,10798.73046875,10630.0498046875,0,1.70%
65,2022-03-30,10656.51953125,10722.4697265625,10778.4697265625,10612.4697265625,0,-1.04%
66,2022-03-31,10507.1396484375,10649.2197265625,10675.9697265625,10505.51953125,0,-1.40%
67,2022-04-01,10566.4296875,10573.0595703125,10625.2001953125,10499.240234375,0,0.56%
68,2022-04-04,10817.5400390625,10608.669921875,10818.4697265625,10558.9404296875,0,2.38%
69,2022-04-05,10554.509765625,10789.41015625,10823.6103515625,10525.0595703125,0,-2.43%
70,2022-04-06,10327.490234375,10422.9501953125,10447.169921875,10247.490234375,0,-2.15%
71,2022-04-07,10329.6298828125,10322.1103515625,10383.33984375,10143.849609375,0,0.02%
72,2022-04-08,10194.7900390625,10281.509765625,10315.919921875,10185.6298828125,0,-1.31%
73,2022-04-11,10012.58984375,10062.0302734375,10172.98046875,10004.83984375,0,-1.79%
74,2022-04-12,10013.7900390625,10147.3603515625,10234.2001953125,9978.919921875,0,0.01%
75,2022-04-13,10245.7197265625,9995.8701171875,10268.599609375,9978.259765625,0,2.32%
76,2022-04-14,10064.009765625,10217.4599609375,10256.25,10060.580078125,0,-1.77%
77,2022-04-18,10058.1103515625,10058.83984375,10115.33984375,9956.9697265625,0,-0.06%
78,2022-04-19,10311.330078125,10040.73046875,10328.3603515625,10026.1396484375,0,2.52%
79,2022-04-20,10050.66015625,10248.6298828125,10258.7001953125,10036.1796875,0,-2.53%
80,2022-04-21,9877.75,10248.26953125,10311.66015625,9849.01953125,0,-1.72%
81,2022-04-22,9677.75,9873.7802734375,9942.7900390625,9671.58984375,0,-2.02%
82,2022-04-25,9741.490234375,9581.7802734375,9748.400390625,9547.9404296875,0,0.66%
83,2022-04-26,9285.5498046875,9680.349609375,9681.0302734375,9285.5498046875,0,-4.68%
84,2022-04-27,9288.2099609375,9348.419921875,9474.919921875,9243.1396484375,0,0.03%
85,2022-04-28,9502.240234375,9430.3095703125,9566.08984375,9207.169921875,0,2.30%
86,2022-04-29,9008.419921875,9310.169921875,9375.0595703125,8991.669921875,0,-5.20%
87,2022-05-02,9109.169921875,8991.1298828125,9112.48046875,8859.4599609375,0,1.12%
88,2022-05-03,9114.0302734375,9095.2099609375,9170.5703125,9045.150390625,0,0.05%
89,2022-05-04,9371.6201171875,9104.849609375,9380.5703125,8958.1298828125,0,2.83%
90,2022-05-05,8854.0595703125,9243.240234375,9243.240234375,8759.599609375,0,-5.52%
91,2022-05-06,8709.66015625,8828.98046875,8879.4501953125,8604.4697265625,0,-1.63%
92,2022-05-09,8289.830078125,8528.9697265625,8586.3203125,8251.9296875,0,-4.82%
93,2022-05-10,8295.6904296875,8469.3701171875,8514.650390625,8171.7998046875,0,0.07%
94,2022-05-11,8035.85009765625,8258.0400390625,8382.5498046875,8015.2900390625,0,-3.13%
95,2022-05-12,8091.509765625,7906.990234375,8258.8896484375,7856.43017578125,0,0.69%
96,2022-05-13,8444.33984375,8272.6298828125,8467.58984375,8228.9296875,0,4.36%
97,2022-05-16,8295.099609375,8423.3095703125,8454.830078125,8277.6201171875,0,-1.77%
98,2022-05-17,8532.1396484375,8454.1103515625,8533.650390625,8343.33984375,0,2.86%
99,2022-05-18,8057.6298828125,8365.76953125,8392.2802734375,8021.66015625,0,-5.56%
100,2022-05-19,8103.509765625,8022.2001953125,8220.0703125,7978.33984375,0,0.57%
101,2022-05-20,8012.31005859375,8195.669921875,8207.400390625,7806.580078125,0,-1.13%
102,2022-05-23,8087.72998046875,8043.66015625,8105.16015625,7902.7998046875,0,0.94%
103,2022-05-24,7876.169921875,7940.47998046875,7961.60986328125,7788.9501953125,0,-2.62%
104,2022-05-25,8052.06005859375,7865.3701171875,8107.97998046875,7858.06982421875,0,2.23%
105,2022-05-26,8350.2099609375,8112.009765625,8401.5595703125,8100.02978515625,0,3.70%
106,2022-05-27,8635.0400390625,8447.0498046875,8635.48046875,8442.25,0,3.41%
107,2022-05-31,8662.0595703125,8683.4296875,8742.16015625,8515.48046875,0,0.31%
108,2022-06-01,8592.0498046875,8719.1904296875,8765.7099609375,8519.080078125,0,-0.81%
109,2022-06-02,8861.1396484375,8592.169921875,8868.580078125,8545.9404296875,0,3.13%
110,2022-06-03,8623.6298828125,8704.1103515625,8744.2099609375,8584.3798828125,0,-2.68%
111,2022-06-06,8710.1796875,8793.669921875,8843.26953125,8667.0,0,1.00%
