,date,krw,open,high,low,vol,krw_cr
140,2020-07-15,1200.5,1205.01,1205.49,1198.81,44.81K,-0.36%
141,2020-07-16,1205.11,1201.0,1207.6,1200.08,36.42K,+0.38%
142,2020-07-17,1203.44,1205.23,1207.35,1202.92,36.08K,-0.14%
143,2020-07-20,1200.9,1203.53,1206.93,1200.46,42.13K,-0.21%
144,2020-07-21,1193.92,1201.02,1202.02,1192.34,48.13K,-0.58%
145,2020-07-22,1197.22,1194.03,1199.91,1192.29,43.86K,+0.28%
146,2020-07-23,1201.45,1197.38,1203.85,1195.58,42.83K,+0.35%
147,2020-07-24,1201.5,1201.95,1204.59,1198.71,42.86K,0.00%
148,2020-07-27,1195.57,1201.49,1202.32,1194.12,44.04K,-0.49%
149,2020-07-28,1199.46,1196.07,1202.16,1190.1,53.23K,+0.33%
150,2020-07-29,1189.79,1199.54,1200.05,1189.76,39.49K,-0.81%
151,2020-07-30,1189.62,1190.04,1198.22,1187.59,32.73K,-0.01%
152,2020-07-31,1193.59,1189.73,1196.11,1186.27,49.12K,+0.33%
153,2020-08-03,1192.59,1194.1,1196.79,1191.31,41.04K,-0.08%
154,2020-08-04,1193.2,1192.7,1197.12,1191.18,37.52K,+0.05%
155,2020-08-05,1186.05,1193.32,1193.81,1183.31,55.22K,-0.60%
156,2020-08-06,1183.5,1186.24,1187.47,1182.51,76.29K,-0.22%
157,2020-08-07,1188.68,1184.0,1191.28,1183.07,70.30K,+0.44%
158,2020-08-10,1185.58,1189.19,1189.64,1183.9,57.16K,-0.26%
159,2020-08-11,1185.62,1186.08,1187.97,1181.69,59.85K,0.00%
160,2020-08-12,1183.23,1186.12,1187.77,1182.33,61.41K,-0.20%
161,2020-08-13,1184.92,1183.74,1186.32,1181.24,52.16K,+0.14%
162,2020-08-14,1186.94,1185.15,1188.06,1183.92,52.38K,+0.17%
163,2020-08-17,1183.19,1185.9,1187.27,1183.63,121.83K,-0.32%
164,2020-08-18,1182.7,1184.14,1186.7,1182.89,576.60K,-0.04%
165,2020-08-19,1181.74,1183.79,1184.57,1176.04,294.28K,-0.08%
166,2020-08-20,1185.24,1182.24,1190.91,1181.53,65.38K,+0.30%
167,2020-08-21,1191.72,1185.36,1193.51,1183.1,64.56K,+0.55%
168,2020-08-24,1188.66,1192.12,1193.03,1186.47,60.74K,-0.26%
169,2020-08-25,1187.35,1189.04,1190.22,1184.7,65.13K,-0.11%
170,2020-08-26,1184.39,1187.48,1188.94,1184.16,74.94K,-0.25%
171,2020-08-27,1187.44,1184.79,1188.51,1182.82,64.71K,+0.26%
172,2020-08-28,1180.48,1187.56,1188.29,1180.03,75.99K,-0.59%
173,2020-08-31,1187.94,1180.51,1188.87,1178.91,58.42K,+0.63%
174,2020-09-01,1185.45,1188.07,1188.69,1181.68,75.92K,-0.21%
175,2020-09-02,1189.13,1185.58,1191.71,1184.18,74.76K,+0.31%
176,2020-09-03,1191.48,1189.63,1192.56,1185.47,68.83K,+0.20%
177,2020-09-04,1187.3,1191.73,1193.21,1186.94,74.82K,-0.35%
178,2020-09-07,1187.27,1187.33,1189.67,1185.85,60.57K,0.00%
179,2020-09-08,1190.1,1187.77,1190.87,1185.8,72.11K,+0.24%
180,2020-09-09,1184.79,1190.23,1191.79,1184.05,72.06K,-0.45%
181,2020-09-10,1188.11,1184.92,1188.73,1183.88,75.54K,+0.28%
182,2020-09-11,1187.89,1188.21,1190.27,1185.6,65.53K,-0.02%
183,2020-09-14,1181.51,1187.99,1188.86,1180.21,49.04K,-0.54%
184,2020-09-15,1179.76,1181.89,1183.53,1176.74,60.73K,-0.15%
185,2020-09-16,1172.88,1180.26,1181.93,1169.9,64.89K,-0.58%
186,2020-09-17,1169.2,1172.97,1178.18,1168.43,65.50K,-0.31%
187,2020-09-18,1164.81,1169.7,1170.78,1159.4,70.09K,-0.38%
188,2020-09-21,1163.61,1165.0,1168.31,1156.46,78.70K,-0.10%
189,2020-09-22,1163.61,1164.84,1166.03,1158.93,81.39K,0.00%
190,2020-09-23,1170.65,1163.65,1172.46,1160.69,83.26K,+0.61%
191,2020-09-24,1169.1,1170.78,1176.31,1167.08,83.16K,-0.13%
192,2020-09-25,1174.32,1169.6,1178.03,1168.35,80.69K,+0.45%
193,2020-09-28,1166.85,1174.44,1175.23,1166.81,70.88K,-0.64%
194,2020-09-29,1168.73,1167.35,1171.6,1166.38,74.57K,+0.16%
195,2020-09-30,1164.65,1168.82,1171.58,1163.73,76.91K,-0.35%
196,2020-10-01,1162.83,1164.75,1165.84,1160.7,79.02K,-0.16%
197,2020-10-02,1166.26,1162.93,1168.28,1162.18,79.70K,+0.29%
198,2020-10-05,1157.12,1166.35,1167.33,1156.59,66.37K,-0.78%
199,2020-10-06,1164.37,1157.29,1166.07,1156.42,80.64K,+0.63%
200,2020-10-07,1157.26,1164.87,1166.56,1156.14,79.12K,-0.61%
201,2020-10-08,1151.11,1157.38,1159.31,1150.43,72.65K,-0.53%
202,2020-10-09,1143.52,1151.22,1151.87,1141.86,68.47K,-0.66%
203,2020-10-12,1147.79,1143.65,1152.14,1143.11,70.78K,+0.37%
204,2020-10-13,1148.3,1148.29,1151.93,1144.46,73.53K,+0.04%
205,2020-10-14,1147.14,1148.8,1150.0,1142.28,79.49K,-0.10%
206,2020-10-15,1145.14,1147.2,1149.46,1141.53,76.66K,-0.17%
207,2020-10-16,1142.13,1145.23,1148.14,1140.73,76.61K,-0.26%
208,2020-10-19,1140.06,1142.21,1143.96,1137.26,74.91K,-0.18%
209,2020-10-20,1138.39,1140.63,1141.88,1137.25,73.77K,-0.15%
210,2020-10-21,1132.54,1138.77,1140.1,1130.61,79.61K,-0.51%
211,2020-10-22,1134.74,1133.07,1137.55,1131.96,74.96K,+0.19%
212,2020-10-23,1127.95,1135.14,1136.94,1126.23,71.12K,-0.60%
213,2020-10-26,1132.44,1128.45,1134.16,1127.06,76.52K,+0.40%
214,2020-10-27,1129.21,1132.51,1133.43,1124.69,80.59K,-0.29%
215,2020-10-28,1134.93,1129.28,1138.97,1126.57,92.39K,+0.51%
216,2020-10-29,1130.06,1135.14,1136.08,1130.19,84.95K,-0.43%
217,2020-10-30,1136.49,1130.56,1139.16,1126.23,98.58K,+0.57%
218,2020-11-02,1132.95,1136.6,1137.6,1132.59,79.99K,-0.31%
219,2020-11-03,1131.32,1133.1,1137.16,1129.79,82.69K,-0.14%
220,2020-11-04,1127.65,1131.39,1147.82,1125.47,128.26K,-0.32%
221,2020-11-05,1122.88,1129.66,1134.41,1121.6,109.83K,-0.42%
222,2020-11-06,1121.4,1123.38,1127.18,1118.45,95.05K,-0.13%
223,2020-11-09,1119.06,1121.91,1122.35,1110.42,94.67K,-0.21%
224,2020-11-10,1117.07,1119.45,1120.29,1113.6,97.55K,-0.18%
225,2020-11-11,1112.39,1117.2,1118.13,1108.93,83.44K,-0.42%
226,2020-11-12,1114.86,1112.49,1116.31,1110.46,87.36K,+0.22%
227,2020-11-13,1107.62,1115.03,1117.12,1107.03,81.50K,-0.65%
228,2020-11-16,1107.04,1108.25,1110.56,1105.09,85.38K,-0.05%
229,2020-11-17,1105.38,1107.16,1108.39,1103.98,92.28K,-0.15%
230,2020-11-18,1106.17,1105.79,1107.84,1101.61,97.12K,+0.07%
231,2020-11-19,1113.59,1106.67,1119.09,1106.08,109.04K,+0.67%
232,2020-11-20,1114.95,1114.09,1117.87,1112.31,89.05K,+0.12%
233,2020-11-23,1113.51,1115.08,1116.82,1109.91,94.07K,-0.13%
234,2020-11-24,1110.24,1114.01,1114.68,1108.08,100.43K,-0.29%
235,2020-11-25,1106.21,1110.64,1111.51,1104.69,92.51K,-0.36%
236,2020-11-26,1105.57,1106.33,1108.77,1103.13,83.01K,-0.06%
237,2020-11-27,1104.43,1106.07,1107.47,1102.43,60.06K,-0.10%
238,2020-11-30,1109.32,1105.02,1110.34,1103.2,74.11K,+0.44%
239,2020-12-01,1105.73,1109.82,1110.35,1105.2,72.74K,-0.32%
240,2020-12-02,1100.02,1106.23,1107.01,1099.22,71.21K,-0.52%
241,2020-12-03,1092.08,1100.16,1101.91,1089.7,55.40K,-0.72%
242,2020-12-04,1083.77,1092.2,1093.71,1080.57,56.77K,-0.76%
243,2020-12-07,1083.53,1083.87,1088.35,1080.39,47.91K,-0.02%
244,2020-12-08,1084.86,1084.53,1087.79,1082.49,45.58K,+0.12%
245,2020-12-09,1086.48,1085.79,1088.97,1080.82,38.25K,+0.15%
246,2020-12-10,1085.55,1087.38,1091.93,1084.12,45.52K,-0.09%
247,2020-12-11,1091.67,1087.34,1094.56,1085.27,41.88K,+0.56%
248,2020-12-14,1093.07,1091.8,1094.91,1088.85,39.13K,+0.13%
249,2020-12-15,1089.43,1093.32,1096.14,1088.49,41.19K,-0.33%
250,2020-12-16,1092.36,1089.56,1096.55,1088.05,42.75K,+0.27%
251,2020-12-17,1093.01,1094.12,1095.43,1090.27,42.17K,+0.06%
252,2020-12-18,1099.39,1094.01,1100.78,1092.34,41.62K,+0.58%
253,2020-12-21,1102.55,1099.48,1112.74,1097.94,41.69K,+0.29%
254,2020-12-22,1109.72,1104.31,1111.05,1102.46,41.15K,+0.65%
255,2020-12-23,1106.65,1109.94,1111.05,1104.68,38.41K,-0.28%
256,2020-12-24,1101.59,1106.87,1107.47,1100.48,37.85K,-0.46%
257,2020-12-25,1099.07,1102.66,1102.81,1100.03,1.78K,-0.23%
258,2020-12-28,1095.6,1100.08,1103.55,1093.51,35.22K,-0.32%
259,2020-12-29,1090.97,1097.3,1098.57,1090.63,50.19K,-0.42%
260,2020-12-30,1087.62,1091.97,1093.92,1084.52,50.79K,-0.31%
261,2020-12-31,1084.47,1088.43,1090.35,1082.97,43.33K,-0.29%
262,2021-01-01,1084.73,1085.69,1086.1,1085.25,0.54K,+0.02%
263,2021-01-04,1086.48,1085.73,1088.3,1080.02,53.91K,+0.16%
264,2021-01-05,1086.42,1086.69,1090.33,1082.04,58.45K,-0.01%
265,2021-01-06,1087.93,1087.4,1089.79,1083.91,58.89K,+0.14%
266,2021-01-07,1094.28,1088.03,1096.78,1085.42,60.58K,+0.58%
267,2021-01-08,1092.93,1094.35,1099.21,1088.79,57.97K,-0.12%
268,2021-01-11,1097.23,1093.01,1101.05,1092.73,62.91K,+0.39%
269,2021-01-12,1094.48,1097.38,1103.46,1092.97,55.70K,-0.25%
270,2021-01-13,1097.12,1094.6,1099.33,1092.37,53.68K,+0.24%
271,2021-01-14,1095.88,1098.11,1103.42,1093.93,54.58K,-0.11%
272,2021-01-15,1103.27,1096.04,1105.33,1094.93,52.65K,+0.67%
273,2021-01-18,1102.52,1104.26,1108.42,1102.28,48.18K,-0.07%
274,2021-01-19,1101.44,1104.18,1106.17,1100.2,53.74K,-0.10%
275,2021-01-20,1096.35,1102.44,1103.39,1096.88,59.66K,-0.46%
276,2021-01-21,1099.88,1097.35,1102.67,1096.59,54.88K,+0.32%
277,2021-01-22,1105.41,1099.97,1107.29,1098.95,56.72K,+0.50%
278,2021-01-25,1102.58,1105.54,1105.92,1100.05,56.70K,-0.26%
279,2021-01-26,1101.02,1102.69,1108.24,1100.47,57.11K,-0.14%
280,2021-01-27,1108.38,1102.01,1109.9,1100.87,62.11K,+0.67%
281,2021-01-28,1112.52,1108.42,1121.36,1107.49,66.31K,+0.37%
282,2021-01-29,1117.64,1113.24,1121.76,1112.15,57.51K,+0.46%
283,2021-02-01,1116.51,1118.43,1120.98,1115.55,57.96K,-0.10%
284,2021-02-02,1115.37,1117.44,1119.7,1113.65,61.25K,-0.10%
285,2021-02-03,1113.46,1115.51,1117.25,1111.8,59.24K,-0.17%
286,2021-02-04,1120.0,1113.58,1122.74,1112.48,56.78K,+0.59%
287,2021-02-05,1116.77,1120.11,1127.85,1116.22,58.57K,-0.29%
288,2021-02-08,1115.61,1117.76,1122.17,1116.05,50.18K,-0.10%
289,2021-02-09,1110.88,1117.31,1118.75,1110.08,54.42K,-0.42%
290,2021-02-10,1105.48,1111.01,1114.16,1103.59,53.00K,-0.49%
291,2021-02-11,1102.12,1106.48,1108.02,1102.05,39.08K,-0.30%
292,2021-02-12,1102.59,1103.12,1107.59,1101.73,40.86K,+0.04%
293,2021-02-15,1101.31,1104.37,1106.0,1100.7,41.88K,-0.12%
294,2021-02-16,1106.58,1102.31,1109.55,1096.91,52.74K,+0.48%
295,2021-02-17,1105.61,1107.58,1110.81,1104.49,52.35K,-0.09%
296,2021-02-18,1106.96,1106.5,1110.15,1103.19,54.07K,+0.12%
297,2021-02-19,1104.27,1107.08,1111.28,1102.22,54.68K,-0.24%
298,2021-02-22,1111.59,1106.02,1116.1,1102.83,49.38K,+0.66%
299,2021-02-23,1110.13,1112.58,1114.81,1108.24,51.32K,-0.13%
300,2021-02-24,1107.27,1110.22,1113.75,1106.08,49.03K,-0.26%
301,2021-02-25,1118.77,1107.54,1121.61,1105.7,59.47K,+1.04%
302,2021-02-26,1123.89,1119.47,1130.33,1118.41,76.86K,+0.46%
303,2021-03-01,1113.33,1124.89,1125.15,1113.09,73.33K,-0.94%
304,2021-03-02,1125.01,1113.53,1128.28,1102.06,109.04K,+1.05%
305,2021-03-03,1126.05,1125.29,1128.05,1116.95,91.30K,+0.09%
306,2021-03-04,1130.87,1127.05,1133.06,1123.36,132.73K,+0.43%
307,2021-03-05,1128.0,1131.03,1137.27,1124.04,134.10K,-0.25%
308,2021-03-08,1140.83,1128.85,1144.07,1127.06,92.65K,+1.14%
309,2021-03-09,1134.91,1141.83,1144.85,1133.38,80.30K,-0.52%
310,2021-03-10,1135.91,1135.91,1145.6,1135.31,98.21K,+0.09%
311,2021-03-11,1130.35,1136.91,1140.99,1128.9,136.12K,-0.49%
312,2021-03-12,1136.0,1130.85,1139.35,1127.27,136.55K,+0.50%
313,2021-03-15,1132.35,1136.5,1138.78,1130.92,93.04K,-0.32%
314,2021-03-16,1129.0,1132.85,1135.91,1128.14,135.35K,-0.30%
315,2021-03-17,1121.21,1129.93,1134.31,1120.65,128.86K,-0.69%
316,2021-03-18,1127.75,1121.91,1131.3,1120.04,117.52K,+0.58%
317,2021-03-19,1129.12,1128.25,1134.8,1125.31,122.84K,+0.12%
318,2021-03-22,1126.0,1129.47,1134.01,1125.61,92.00K,-0.28%
319,2021-03-23,1132.9,1126.49,1134.48,1125.02,132.82K,+0.61%
320,2021-03-24,1134.9,1133.4,1135.96,1130.24,137.01K,+0.18%
321,2021-03-25,1135.12,1135.4,1138.02,1131.93,116.32K,+0.02%
322,2021-03-26,1128.52,1135.24,1136.09,1128.07,84.85K,-0.58%
323,2021-03-29,1131.56,1128.95,1136.41,1128.77,45.49K,+0.27%
324,2021-03-30,1132.59,1132.56,1136.29,1131.42,74.84K,+0.09%
325,2021-03-31,1127.17,1133.54,1134.68,1125.32,68.41K,-0.48%
326,2021-04-01,1128.72,1127.96,1133.82,1125.31,86.56K,+0.14%
327,2021-04-02,1128.64,1128.86,1130.38,1126.29,46.05K,-0.01%
328,2021-04-05,1124.18,1129.69,1130.03,1122.45,45.92K,-0.40%
329,2021-04-06,1119.17,1125.04,1125.68,1116.57,70.17K,-0.45%
330,2021-04-07,1119.03,1119.29,1120.36,1114.67,99.24K,-0.01%
331,2021-04-08,1115.83,1119.2,1121.56,1114.59,88.21K,-0.29%
332,2021-04-09,1120.98,1116.75,1122.58,1113.15,52.40K,+0.46%
333,2021-04-12,1124.32,1121.77,1127.28,1120.29,81.94K,+0.30%
334,2021-04-13,1121.37,1125.23,1128.42,1120.38,54.31K,-0.26%
335,2021-04-14,1116.08,1121.55,1123.91,1112.09,84.33K,-0.47%
336,2021-04-15,1116.68,1116.26,1119.82,1113.01,132.52K,+0.05%
337,2021-04-16,1116.5,1116.85,1121.57,1113.06,122.82K,-0.02%
338,2021-04-19,1115.33,1117.05,1120.26,1112.94,89.16K,-0.10%
339,2021-04-20,1117.28,1115.51,1119.74,1110.29,128.75K,+0.17%
340,2021-04-21,1116.35,1117.45,1121.61,1114.78,130.14K,-0.08%
341,2021-04-22,1118.79,1116.7,1121.69,1114.13,131.76K,+0.22%
342,2021-04-23,1114.72,1120.18,1121.54,1113.94,111.77K,-0.36%
343,2021-04-26,1110.27,1115.85,1116.95,1108.96,92.33K,-0.40%
344,2021-04-27,1113.33,1110.44,1114.55,1108.27,134.14K,+0.28%
345,2021-04-28,1109.88,1113.43,1115.52,1108.31,129.95K,-0.31%
346,2021-04-29,1107.63,1110.06,1111.17,1105.3,134.00K,-0.20%
347,2021-04-30,1117.16,1107.81,1119.45,1106.52,123.24K,+0.86%
348,2021-05-03,1120.34,1117.76,1124.94,1115.51,56.77K,+0.28%
