,date,krw,open,high,low,vol,krw_cr
0,2020-01-01,1154.02,1155.07,1155.32,1154.08,0.14K,0.00%
1,2020-01-02,1157.35,1155.02,1161.15,1153.48,13.75K,+0.29%
2,2020-01-03,1164.95,1157.94,1168.83,1155.7,20.09K,+0.66%
3,2020-01-06,1166.94,1165.89,1172.99,1165.78,15.97K,+0.17%
4,2020-01-07,1167.3,1167.54,1168.82,1163.11,17.43K,+0.03%
5,2020-01-08,1162.25,1168.3,1179.67,1160.5,19.10K,-0.43%
6,2020-01-09,1158.72,1162.49,1163.55,1157.41,19.51K,-0.30%
7,2020-01-10,1157.97,1159.73,1164.16,1157.55,18.66K,-0.06%
8,2020-01-13,1153.95,1158.92,1159.57,1153.13,17.59K,-0.35%
9,2020-01-14,1157.2,1154.95,1159.66,1150.3,18.10K,+0.28%
10,2020-01-15,1157.91,1158.2,1162.8,1155.85,15.58K,+0.06%
11,2020-01-16,1159.73,1158.91,1161.97,1156.5,15.60K,+0.16%
12,2020-01-17,1160.44,1160.73,1161.93,1155.97,15.35K,+0.06%
13,2020-01-20,1158.61,1161.46,1162.2,1155.87,13.21K,-0.16%
14,2020-01-21,1169.01,1159.61,1170.77,1157.94,17.20K,+0.90%
15,2020-01-22,1164.76,1170.01,1170.2,1162.02,19.32K,-0.36%
16,2020-01-23,1168.54,1165.76,1170.77,1164.29,16.80K,+0.32%
17,2020-01-24,1169.2,1168.6,1171.06,1166.02,8.24K,+0.06%
18,2020-01-27,1176.7,1170.24,1179.71,1170.09,6.62K,+0.64%
19,2020-01-28,1175.71,1177.7,1181.88,1174.96,16.33K,-0.08%
20,2020-01-29,1178.68,1176.21,1180.43,1173.73,16.56K,+0.25%
21,2020-01-30,1187.64,1179.68,1193.67,1178.22,22.10K,+0.76%
22,2020-01-31,1194.97,1188.64,1198.55,1183.88,23.98K,+0.62%
23,2020-02-03,1189.79,1195.96,1199.44,1190.17,17.83K,-0.43%
24,2020-02-04,1182.9,1190.81,1194.28,1183.24,21.72K,-0.58%
25,2020-02-05,1183.4,1183.9,1192.9,1180.18,22.64K,+0.04%
26,2020-02-06,1185.28,1184.4,1186.77,1177.71,20.26K,+0.16%
27,2020-02-07,1191.39,1186.28,1196.29,1184.72,19.80K,+0.52%
28,2020-02-10,1187.17,1192.39,1194.5,1185.33,19.98K,-0.35%
29,2020-02-11,1181.25,1188.17,1188.57,1180.42,16.26K,-0.50%
30,2020-02-12,1178.51,1182.29,1184.21,1176.06,19.34K,-0.23%
31,2020-02-13,1183.58,1179.51,1185.02,1178.24,19.16K,+0.43%
32,2020-02-14,1182.46,1184.59,1185.85,1180.48,15.29K,-0.09%
33,2020-02-17,1185.25,1183.44,1185.88,1179.19,46.90K,+0.24%
34,2020-02-18,1190.95,1185.38,1192.48,1184.28,47.61K,+0.48%
35,2020-02-19,1192.5,1191.05,1193.9,1187.5,51.43K,+0.13%
36,2020-02-20,1204.71,1193.0,1208.99,1191.42,62.65K,+1.02%
37,2020-02-21,1206.91,1205.21,1215.27,1202.94,63.98K,+0.18%
38,2020-02-24,1219.08,1206.97,1222.96,1206.97,53.20K,+1.01%
39,2020-02-25,1215.54,1219.17,1220.33,1208.84,61.76K,-0.29%
40,2020-02-26,1212.31,1216.04,1220.63,1211.83,59.86K,-0.27%
41,2020-02-27,1212.63,1212.81,1218.82,1206.76,62.56K,+0.03%
42,2020-02-28,1200.2,1212.68,1218.56,1199.59,61.58K,-1.03%
43,2020-03-02,1189.61,1200.21,1207.63,1188.56,59.02K,-0.88%
44,2020-03-03,1180.5,1189.71,1196.21,1178.81,51.85K,-0.77%
45,2020-03-04,1184.73,1181.0,1188.98,1181.0,55.96K,+0.36%
46,2020-03-05,1188.72,1185.23,1193.08,1179.84,52.64K,+0.34%
47,2020-03-06,1188.7,1188.82,1194.72,1184.96,41.10K,0.00%
48,2020-03-09,1200.88,1188.7,1206.6,1188.6,60.12K,+1.02%
49,2020-03-10,1185.6,1200.94,1202.3,1185.03,59.63K,-1.27%
50,2020-03-11,1192.57,1185.75,1197.95,1184.43,44.19K,+0.59%
51,2020-03-12,1210.71,1192.71,1214.17,1191.15,51.16K,+1.52%
52,2020-03-13,1211.28,1211.21,1226.77,1205.48,34.23K,+0.05%
53,2020-03-16,1232.37,1211.7,1233.72,1209.31,30.05K,+1.74%
54,2020-03-17,1239.72,1232.87,1247.21,1232.45,35.38K,+0.60%
55,2020-03-18,1256.46,1239.76,1269.15,1231.6,41.92K,+1.35%
56,2020-03-19,1257.86,1256.5,1292.93,1247.45,33.25K,+0.11%
57,2020-03-20,1254.45,1258.36,1264.6,1237.22,45.43K,-0.27%
58,2020-03-23,1272.5,1254.85,1283.05,1254.4,22.82K,+1.44%
59,2020-03-24,1233.21,1273.0,1273.04,1232.9,38.89K,-3.09%
60,2020-03-25,1232.0,1234.21,1239.08,1226.07,40.76K,-0.10%
61,2020-03-26,1212.9,1233.0,1235.43,1212.48,48.49K,-1.55%
62,2020-03-27,1212.23,1213.4,1227.29,1205.31,49.65K,-0.06%
63,2020-03-30,1224.21,1212.73,1227.21,1212.18,58.60K,+0.99%
64,2020-03-31,1218.3,1224.71,1225.21,1214.28,58.99K,-0.48%
65,2020-04-01,1236.2,1218.8,1239.27,1216.8,65.62K,+1.47%
66,2020-04-02,1227.35,1236.7,1243.29,1225.56,70.02K,-0.72%
67,2020-04-03,1235.61,1227.85,1240.65,1224.18,57.31K,+0.67%
68,2020-04-06,1224.6,1236.42,1239.51,1223.58,56.55K,-0.89%
69,2020-04-07,1214.93,1224.64,1225.56,1208.79,66.62K,-0.79%
70,2020-04-08,1215.76,1215.43,1223.19,1214.09,67.53K,+0.07%
71,2020-04-09,1210.58,1216.26,1222.36,1208.67,66.02K,-0.43%
72,2020-04-10,1211.05,1211.11,1216.1,1206.64,39.29K,+0.04%
73,2020-04-13,1215.46,1212.04,1221.7,1211.59,42.23K,+0.36%
74,2020-04-14,1212.46,1215.97,1219.45,1211.31,58.54K,-0.25%
75,2020-04-15,1224.68,1212.5,1225.77,1209.61,27.94K,+1.01%
76,2020-04-16,1228.94,1224.72,1230.53,1222.94,56.32K,+0.35%
77,2020-04-17,1216.13,1228.98,1229.45,1213.95,60.90K,-1.04%
78,2020-04-20,1220.58,1216.26,1222.63,1214.71,55.36K,+0.37%
79,2020-04-21,1232.56,1220.62,1241.82,1220.12,78.23K,+0.98%
80,2020-04-22,1233.55,1233.53,1237.91,1229.92,71.34K,+0.08%
81,2020-04-23,1233.04,1234.05,1237.23,1227.72,70.47K,-0.04%
82,2020-04-24,1230.53,1233.54,1238.24,1229.93,64.31K,-0.20%
83,2020-04-27,1222.05,1230.5,1235.1,1220.81,65.80K,-0.69%
84,2020-04-28,1221.31,1222.64,1227.95,1216.86,62.34K,-0.06%
85,2020-04-29,1210.99,1221.81,1223.45,1210.42,58.71K,-0.84%
86,2020-04-30,1212.94,1211.1,1215.69,1203.52,27.57K,+0.16%
87,2020-05-01,1224.89,1213.94,1225.87,1213.1,22.80K,+0.99%
88,2020-05-04,1224.14,1224.8,1230.53,1223.36,52.19K,-0.06%
89,2020-05-05,1222.47,1224.18,1224.82,1218.2,25.12K,-0.14%
90,2020-05-06,1228.55,1222.57,1230.03,1220.57,64.13K,+0.50%
91,2020-05-07,1219.61,1229.6,1230.06,1217.08,47.13K,-0.73%
92,2020-05-08,1219.65,1220.11,1221.82,1214.51,37.85K,0.00%
93,2020-05-11,1222.91,1219.7,1226.18,1214.18,52.11K,+0.27%
94,2020-05-12,1226.64,1223.41,1228.95,1220.19,52.04K,+0.31%
95,2020-05-13,1227.37,1226.84,1229.4,1222.17,50.35K,+0.06%
96,2020-05-14,1227.03,1227.51,1234.03,1226.12,53.10K,-0.03%
97,2020-05-15,1232.69,1227.53,1235.58,1226.3,48.71K,+0.46%
98,2020-05-18,1225.13,1233.09,1235.04,1224.44,47.73K,-0.61%
99,2020-05-19,1225.04,1225.27,1227.55,1221.06,52.17K,-0.01%
100,2020-05-20,1227.26,1225.18,1232.7,1224.17,50.46K,+0.18%
101,2020-05-21,1233.19,1227.4,1234.52,1226.44,50.90K,+0.48%
102,2020-05-22,1240.59,1233.27,1244.51,1232.81,52.07K,+0.60%
103,2020-05-25,1240.45,1240.56,1244.89,1237.61,30.87K,-0.01%
104,2020-05-26,1230.9,1240.95,1242.7,1230.11,57.29K,-0.77%
105,2020-05-27,1238.19,1230.99,1239.51,1230.43,58.11K,+0.59%
106,2020-05-28,1237.97,1238.26,1242.59,1233.71,51.60K,-0.02%
107,2020-05-29,1231.49,1238.03,1240.7,1230.18,52.52K,-0.52%
108,2020-06-01,1222.92,1231.47,1232.19,1221.74,47.88K,-0.70%
109,2020-06-02,1219.62,1223.05,1227.33,1216.33,49.13K,-0.27%
110,2020-06-03,1215.79,1220.12,1220.67,1214.12,50.24K,-0.31%
111,2020-06-04,1216.39,1215.95,1220.2,1212.94,44.71K,+0.05%
112,2020-06-05,1202.02,1216.54,1218.76,1200.35,54.70K,-1.18%
113,2020-06-08,1195.35,1201.85,1205.88,1193.92,49.93K,-0.55%
114,2020-06-09,1198.4,1195.9,1202.93,1194.99,49.07K,+0.26%
115,2020-06-10,1190.67,1198.52,1200.79,1184.24,53.90K,-0.65%
116,2020-06-11,1206.1,1190.79,1208.4,1188.11,59.84K,+1.30%
117,2020-06-12,1203.66,1206.2,1210.48,1200.61,54.12K,-0.20%
118,2020-06-15,1208.55,1203.61,1217.13,1203.16,59.18K,+0.41%
119,2020-06-16,1211.79,1208.65,1215.22,1204.09,58.12K,+0.27%
120,2020-06-17,1215.41,1212.29,1219.26,1210.35,74.25K,+0.30%
121,2020-06-18,1212.5,1215.53,1218.09,1207.76,78.66K,-0.24%
122,2020-06-19,1211.83,1212.6,1214.16,1205.62,65.86K,-0.06%
123,2020-06-22,1209.41,1211.89,1216.35,1208.77,70.16K,-0.20%
124,2020-06-23,1207.46,1209.53,1216.4,1205.47,75.08K,-0.16%
125,2020-06-24,1206.08,1208.45,1208.87,1198.71,76.02K,-0.11%
126,2020-06-25,1202.21,1206.2,1209.08,1200.91,71.68K,-0.32%
127,2020-06-26,1203.8,1202.36,1204.83,1197.0,65.77K,+0.13%
128,2020-06-29,1199.16,1203.63,1205.96,1197.46,72.88K,-0.39%
129,2020-06-30,1199.28,1199.66,1204.68,1195.09,85.06K,+0.01%
130,2020-07-01,1201.51,1199.44,1205.05,1197.92,60.02K,+0.19%
131,2020-07-02,1198.75,1201.67,1204.15,1196.68,79.44K,-0.23%
132,2020-07-03,1198.93,1199.25,1202.47,1197.77,64.02K,+0.02%
133,2020-07-06,1191.92,1199.66,1200.1,1191.11,75.28K,-0.58%
134,2020-07-07,1196.75,1192.04,1197.78,1189.23,81.97K,+0.41%
135,2020-07-08,1192.05,1196.84,1199.53,1192.08,78.51K,-0.39%
136,2020-07-09,1196.98,1192.68,1199.13,1191.04,86.07K,+0.41%
137,2020-07-10,1200.42,1197.06,1206.03,1196.18,59.25K,+0.29%
138,2020-07-13,1203.37,1200.52,1204.48,1198.69,50.82K,+0.25%
139,2020-07-14,1204.89,1203.87,1208.74,1203.07,63.68K,+0.13%
