,date,kosdaq,open,high,low,volume,kosdaq_cr
92,2022-05-06,884.22,888.54,892.43,883.31,1.14B,-1.76
93,2022-05-09,860.84,880.34,880.78,859.73,1.12B,-2.64
94,2022-05-10,856.14,848.08,858.43,831.59,1.27B,-0.55
95,2022-05-11,866.34,853.73,866.81,852.23,1.08B,1.19
96,2022-05-12,833.66,855.46,857.75,833.24,1.07B,-3.77
97,2022-05-13,853.08,839.52,853.34,839.52,1.01B,2.33
98,2022-05-16,856.25,862.24,866.47,855.45,1.01B,0.37
99,2022-05-17,865.98,857.28,866.21,856.3,913.81M,1.14
100,2022-05-18,871.57,872.19,876.82,868.28,1.06B,0.65
101,2022-05-19,863.8,853.23,866.61,849.59,1.17B,-0.89
102,2022-05-20,879.88,866.76,880.17,866.76,1.08B,1.86
103,2022-05-23,883.59,883.78,884.39,878.9,1.08B,0.42
104,2022-05-24,865.07,881.55,883.11,865.05,1.10B,-2.1
105,2022-05-25,872.69,869.19,877.71,861.92,989.30M,0.88
106,2022-05-26,871.43,876.19,885.12,868.81,947.42M,-0.14
107,2022-05-27,873.97,881.41,883.36,873.21,1.28B,0.29
108,2022-05-30,886.44,882.17,886.44,881.46,1.02B,1.43
109,2022-05-31,893.36,888.44,893.42,884.11,1.32B,0.78
110,2022-06-02,891.14,890.47,892.98,888.45,1.18B,-0.25
111,2022-06-03,891.51,897.08,899.01,890.2,1.20B,0.04
112,2022-06-07,873.78,889.07,889.09,873.09,1.12B,-1.99
113,2022-06-08,874.95,877.77,880.73,873.61,1.34B,0.13
114,2022-06-09,877.18,873.22,877.18,867.2,1.27B,0.25
115,2022-06-10,869.86,869.1,872.09,865.96,1.21B,-0.83
116,2022-06-13,828.77,852.74,852.74,828.76,1.26B,-4.72
117,2022-06-14,823.58,816.25,826.5,804.38,1.27B,-0.63
118,2022-06-15,799.41,822.27,826.3,795.42,1.20B,-2.93
119,2022-06-16,802.15,812.95,822.31,800.56,997.61M,0.34
120,2022-06-17,798.69,787.97,798.85,780.96,972.93M,-0.43
121,2022-06-20,769.92,804.48,804.89,763.22,989.36M,-3.6
122,2022-06-21,778.3,774.8,782.55,764.69,1.03B,1.09
123,2022-06-22,746.96,783.21,785.23,746.94,1.09B,-4.03
124,2022-06-23,714.38,747.49,751.99,714.38,1.26B,-4.36
125,2022-06-24,750.3,719.47,750.41,719.47,837.12M,5.03
126,2022-06-27,770.6,758.0,774.57,754.62,893.32M,2.71
127,2022-06-28,769.51,770.69,774.8,759.83,978.29M,-0.14
128,2022-06-29,762.35,759.21,765.79,753.32,819.57M,-0.93
129,2022-06-30,745.44,762.45,762.45,744.24,910.03M,-2.22
