,date,mu,open,high,low,volume,mu_cr
0,2021-12-27,92.26383972167969,91.57012753783323,92.75237005856152,90.60283955803396,17110100,nan%
1,2021-12-28,90.80802917480469,91.59944600286723,91.73623391254762,89.94821093751996,13683800,-1.58%
2,2021-12-29,93.96393585205078,91.84371569370532,94.53063290814882,91.75578379933616,32234600,3.48%
3,2021-12-30,91.73622131347656,92.23452431852209,93.31906220659594,91.28677432134214,19327800,-2.37%
4,2021-12-31,91.1102523803711,91.94163804039803,92.35243931302357,90.9928773900509,13660600,-0.68%
5,2022-01-03,93.6532974243164,91.85359273197047,93.74132305146597,91.4330084346005,18705500,2.79%
6,2022-01-04,94.23039245605469,93.50659868638209,94.47491808413744,91.49170989892572,19725000,0.62%
7,2022-01-05,92.33287048339844,93.29140668173041,96.29418083029404,92.28396237717914,28613100,-2.01%
8,2022-01-06,93.55548858642578,93.01752932442508,94.59227465974149,92.05899322782376,22320300,1.32%
9,2022-01-07,92.38178253173828,93.98587011100744,95.06178888201866,91.88295560590242,14857900,-1.25%
10,2022-01-10,91.83403015136719,92.19593071166743,93.5750511613787,89.04643991273477,20290000,-0.59%
11,2022-01-11,92.13725280761719,90.43535654166578,92.20571968434139,89.6430959020958,14924900,0.33%
12,2022-01-12,93.02731323242188,93.07622133386863,94.12279052880326,91.7264353421556,13339200,0.97%
13,2022-01-13,93.52616882324219,94.38689638361762,95.96164209125301,93.21317630471201,23679800,0.54%
14,2022-01-14,95.22806549072266,92.37200781691497,95.29653237117934,92.33288281917827,18385000,1.82%
15,2022-01-18,90.83637237548828,93.4381208733788,93.84892208952006,90.51359679323625,19900500,-4.61%
16,2022-01-19,88.02921295166016,91.66775494763472,92.70454106778682,87.80424612402567,19043800,-3.09%
17,2022-01-20,83.2071762084961,88.3030891439959,88.35199725206574,83.07024246069606,24701300,-5.48%
18,2022-01-21,80.13593292236328,82.37578839746763,83.27564084810459,79.73490734147305,29716300,-3.69%
19,2022-01-24,81.13359069824219,78.51227598056994,81.22162379422275,75.9398693675901,29757100,1.24%
20,2022-01-25,78.95243835449219,79.14805587788648,80.61520969033418,77.90586893343936,22128400,-2.69%
21,2022-01-26,80.1750717163086,81.42704185658711,82.93332076358804,78.84485157668,21018700,1.55%
22,2022-01-27,76.99624633789062,81.68135920287453,81.86719364293711,76.67347065341617,22694000,-3.96%
23,2022-01-28,77.5341796875,75.67579096019257,77.54396280167425,73.86629541676746,24434600,0.70%
24,2022-01-31,80.46847534179688,77.23095902001207,80.50760033044524,76.3115404425968,21898200,3.78%
25,2022-02-01,79.66645812988281,80.40003511989032,80.58587701197149,78.65901359091214,15237400,-1.00%
26,2022-02-02,82.65943908691406,81.10425233079619,82.84527347566483,80.73257609096527,19862800,3.76%
27,2022-02-03,80.1750717163086,80.85974055479508,83.31478018250633,79.92076294958619,19598200,-3.01%
28,2022-02-04,79.392578125,79.44148623492637,80.39024685379111,78.09170000918897,15657500,-0.98%
29,2022-02-07,79.09915161132812,79.57841974536032,80.24352974175045,78.71769223452068,11799800,-0.37%
30,2022-02-08,82.27798461914062,79.37301901313593,82.55185212394527,79.22630214632493,18315700,4.02%
31,2022-02-09,86.19039154052734,82.74746669927153,86.83593528430683,81.73023924446093,22386900,4.76%
32,2022-02-10,89.02689361572266,87.23697156433573,92.56762764444811,86.54251962748849,33820700,3.29%
33,2022-02-11,87.79447937011719,89.2811918338692,92.5089329541196,87.00221129888214,31000000,-1.38%
34,2022-02-14,87.89228057861328,89.97563596429666,91.12979707269767,86.76746134767797,23499100,0.11%
35,2022-02-15,93.8978500366211,89.01712012937847,94.38690133889516,89.01712012937847,27069700,6.83%
36,2022-02-16,93.95650482177734,92.37198386708505,94.3770891104868,91.52103217718589,15573600,0.06%
37,2022-02-17,91.67754364013672,92.95885542980035,93.89783286295034,91.44279368510225,17943300,-2.43%
38,2022-02-18,88.81171417236328,92.46003249047509,92.60674936485869,86.95331784227479,19530500,-3.13%
39,2022-02-22,88.58673858642578,87.87272051459415,91.91228840845692,86.72834243920283,24825700,-0.25%
40,2022-02-23,85.39812469482422,89.46703457229076,89.85827705471327,85.16338219030258,19135400,-3.60%
41,2022-02-24,86.88484191894531,82.28775595329441,86.99243378480568,81.9552047041474,24472300,1.74%
42,2022-02-25,88.12703704833984,86.03389821716505,88.49872078811022,85.36878819383557,15008700,1.43%
43,2022-02-28,86.9141845703125,86.51315898266552,87.7846951564936,85.25141338514916,17269800,-1.38%
44,2022-03-01,84.3711166381836,86.62074772144085,87.87271762209345,82.80615426236785,20794800,-2.93%
45,2022-03-02,91.25696563720703,85.26119257558769,92.01010127384892,85.12425882347098,28398700,8.16%
46,2022-03-03,87.22716522216797,89.6137372716265,90.17125529570002,86.45446349365757,22099800,-4.42%
47,2022-03-04,80.11639404296875,85.50573443300547,85.50573443300547,78.75682445340404,28211500,-8.15%
48,2022-03-07,74.0423583984375,79.96966479360424,81.15316795722472,73.97389151995797,26715500,-7.58%
49,2022-03-08,75.47039031982422,74.58031348840503,78.49272337632135,72.31111605190674,28343200,1.93%
