,date,xbi,open,high,low,volume,xbi_cr
0,2021-12-27,114.5553207397461,116.75352476841104,116.94251314179539,114.33649369449589,7124600,nan%
1,2021-12-28,112.60578918457031,114.2768232073997,116.88284281106098,112.42674955395731,7311000,-1.70%
2,2021-12-29,112.13829803466797,112.20792413710963,112.91413391578234,111.01433164134536,8392500,-0.42%
3,2021-12-30,112.63562774658203,111.93936673304154,115.16207249220534,111.55144879854386,10186600,0.44%
4,2021-12-31,111.36246490478516,112.75499457669686,114.31661513176198,111.19337402163173,7066400,-1.13%
5,2022-01-03,114.82388305664062,111.99903658641065,114.94323774316099,109.76104515004894,8180600,3.11%
6,2022-01-04,110.76566314697266,114.5155390085241,115.02281922149393,109.65163794697587,12518100,-3.53%
7,2022-01-05,104.66838836669922,110.5567913668925,111.69070655312309,104.51918740247388,17299100,-5.50%
8,2022-01-06,104.63853454589844,104.89714902596675,106.60797043635216,101.91316031166917,11808500,-0.03%
9,2022-01-07,102.44033813476562,104.61865248826597,106.82680551696335,102.23145981970997,11708400,-2.10%
10,2022-01-10,102.58953857421875,101.48546206552238,102.64921592430733,99.51603362583651,19260500,0.15%
11,2022-01-11,103.33554077148438,102.340877749263,104.48935351982594,101.09754897148628,11792500,0.73%
12,2022-01-12,100.0630874633789,103.83286081177768,104.14120388622592,99.93378401669835,11990200,-3.17%
13,2022-01-13,97.5764389038086,100.1526200231293,101.15722419053363,97.21835961626844,14518800,-2.49%
14,2022-01-14,99.95367431640625,96.39278684407827,100.15261145283641,95.25886413811591,18307300,2.44%
15,2022-01-18,94.01554870605469,98.27271295985886,98.44180385808194,93.70720558709769,19901000,-5.94%
16,2022-01-19,93.0009765625,94.52280951024376,96.46240662277383,92.87167312380146,16458400,-1.08%
17,2022-01-20,91.4791488647461,94.16473568092859,96.41267597788197,91.17080579163628,15863800,-1.64%
18,2022-01-21,89.54949951171875,90.70331211620746,92.76226401195652,89.39035739411639,21247000,-2.11%
19,2022-01-24,91.61840057373047,87.53033543658674,92.10578327121863,84.85468979997849,24123000,2.31%
20,2022-01-25,90.89230346679688,90.2159323138831,92.61307381964457,88.41559468732763,18764500,-0.79%
21,2022-01-26,89.11184692382812,92.32461147871163,95.10967067654269,88.6940903207562,19190600,-1.96%
22,2022-01-27,85.05362701416016,90.40491070376187,91.18074655440451,84.94421348766689,15297200,-4.55%
23,2022-01-28,88.10724639892578,85.10336002435767,88.26638852565709,83.44227471034229,15047300,3.59%
24,2022-01-31,92.93136596679688,88.36585877339492,93.11040561337492,88.20671663681253,12783600,5.48%
25,2022-02-01,94.43329620361328,93.51820058712342,95.08976975794077,91.38962263218873,13146800,1.62%
26,2022-02-02,91.35980224609375,94.40347642672423,94.4830437056128,90.88236821805407,11750300,-3.25%
27,2022-02-03,88.96265411376953,89.7683286516854,91.59850478440188,88.694090875347,13122200,-2.62%
28,2022-02-04,90.30545043945312,88.6443651287482,91.16086118637295,87.9580452626047,11088100,1.51%
29,2022-02-07,92.75232696533203,90.3452442691227,93.67736388097302,90.3452442691227,14329300,2.71%
30,2022-02-08,92.44397735595703,92.48376478475078,92.9413088328646,90.3850253451067,11722300,-0.33%
31,2022-02-09,96.74092102050781,93.57789252357955,96.92990182144783,93.3093292763697,16571600,4.65%
32,2022-02-10,93.85640716552734,94.38357737435695,98.6307929000282,92.61307833765493,21113000,-2.98%
33,2022-02-11,92.8517837524414,94.29404956586934,96.31321411599247,91.86706956856715,18381900,-1.07%
34,2022-02-14,91.32000732421875,92.8517892502068,93.58783774314148,90.97187679301156,12490900,-1.65%
35,2022-02-15,95.12957000732422,92.82195211947176,95.4578106230729,92.7025898259241,11219600,4.17%
36,2022-02-16,94.14485931396484,94.12496180328178,94.80133298164593,92.5235536837531,12218900,-1.04%
37,2022-02-17,90.12641143798828,93.08056164420555,93.53810569529283,89.72854473614139,12283000,-4.27%
38,2022-02-18,88.91292572021484,89.65892297656882,91.18075616534269,88.1470385427091,11517800,-1.35%
39,2022-02-22,88.20670318603516,87.7491591787021,90.1960289163574,87.49054470893108,12712000,-0.79%
40,2022-02-23,84.64582824707031,88.38576362590311,88.82341781804614,84.54636345485886,13611600,-4.04%
41,2022-02-24,88.52500915527344,81.27391479809356,88.69410004810786,81.27391479809356,21651200,4.58%
42,2022-02-25,89.32073974609375,88.58468366792758,89.32073974609375,86.50584165653676,13228400,0.90%
43,2022-02-28,89.3505630493164,88.33600272203847,90.85249844547627,87.92819491145916,14049000,0.03%
44,2022-03-01,88.61451721191406,89.28094714557226,90.87240632339397,87.87846876504825,13447200,-0.82%
45,2022-03-02,88.84329986572266,88.73388632738559,89.68876190759191,87.59002234665589,8616100,0.26%
46,2022-03-03,86.18755340576172,89.2411686163086,89.4898343747853,85.32219383433916,13351400,-2.99%
47,2022-03-04,83.45221710205078,85.18292838743271,86.70476137877506,83.13392528417968,14854800,-3.17%
48,2022-03-07,83.3129653930664,83.41243016385593,85.03372793488433,82.97477606597134,13242300,-0.17%
49,2022-03-08,83.86997985839844,83.05435654082599,86.58541305797227,81.50268476317015,14786800,0.67%
50,2022-03-09,87.9679946899414,85.54101463698093,88.46532617038898,85.30229765119542,12568500,4.89%
51,2022-03-10,87.51045227050781,86.8440223068863,87.62980697128828,85.75984330185688,9797200,-0.52%
52,2022-03-11,84.15843200683594,88.00778031867894,88.55484038277457,84.02912855648809,10773900,-3.83%
53,2022-03-14,80.63732147216797,84.21810641542423,84.83480014896269,79.91121421189405,17167200,-4.18%
54,2022-03-15,81.82098388671875,80.93573438722304,81.97018486062093,80.09026473133626,11277200,1.47%
55,2022-03-16,85.7300033569336,83.13393241194026,85.82946813566959,81.93039113527946,11811400,4.78%
56,2022-03-17,89.0820083618164,85.27245515950884,89.23120931700723,84.65576141943549,11201200,3.91%
57,2022-03-18,91.66813659667969,88.84329001179134,92.28482273853349,88.5846755327079,14491300,2.90%
58,2022-03-21,88.5448989868164,91.20065502617175,91.35979716377292,87.98789012219734,12897100,-3.41%
59,2022-03-22,91.7178726196289,88.72393492028363,91.98643587431066,88.39570190376058,10096600,3.58%
60,2022-03-23,89.38040924072266,90.87240359806121,92.5931661738666,89.38040924072266,10564200,-2.55%
61,2022-03-24,91.28022003173828,90.02695011749714,91.44931850887443,88.53495561977311,9739100,2.13%
62,2022-03-25,89.14169311523438,91.28021231012859,91.32994849131599,88.87312987870365,8676300,-2.34%
63,2022-03-28,89.23120880126953,89.05216917381051,90.74310067507359,87.3115090802218,10342800,0.10%
64,2022-03-29,93.05072021484375,90.4645905237387,93.40879947703749,90.27560972718017,13391200,4.28%
65,2022-03-30,90.196044921875,92.90152960939645,94.0553347916178,89.85785554159642,12124100,-3.07%
66,2022-03-31,89.40031433105469,90.57401706155231,91.54879021278336,89.39037316416527,8287400,-0.88%
67,2022-04-01,92.76227569580078,89.89764133138746,92.96120526502875,89.71860168361162,10971000,3.76%
68,2022-04-04,95.57716369628906,93.14024239020284,95.77610084880567,92.84184045576613,12653600,3.03%
69,2022-04-05,92.75232696533203,95.54732763371243,96.67130170731079,92.4539250227343,15294600,-2.96%
70,2022-04-06,92.83187866210938,91.43934925862324,93.85638010672407,90.79281693678952,13644000,0.09%
71,2022-04-07,91.93669891357422,92.52354642517943,93.68730787118132,90.53422047884108,10320300,-0.96%
72,2022-04-08,89.85785675048828,91.28022522275427,92.13563605718986,89.5893010646431,13225600,-2.26%
73,2022-04-11,86.85395812988281,88.66424417939172,89.20136301896142,86.49587890350301,12835200,-3.34%
74,2022-04-12,86.68489074707031,87.7292824496391,89.43016302993739,85.7698025156737,13785100,-0.19%
75,2022-04-13,89.92748260498047,87.00317104985369,90.43475525495765,86.9235961911088,17147300,3.74%
76,2022-04-14,87.30156707763672,89.3704679130086,89.66886984474206,87.11258627030345,10950700,-2.92%
77,2022-04-18,83.14387512207031,86.90370757300681,86.99322359892903,82.80569335035123,17419900,-4.76%
78,2022-04-19,84.14849090576172,83.20356406177233,85.40176844966454,82.37799192475111,11876000,1.21%
79,2022-04-20,84.33745574951172,84.49659784390359,85.16302765590109,82.64652451596636,9212900,0.22%
80,2022-04-21,80.72685241699219,84.98400882668949,85.75984474956452,80.50802534363228,15371100,-4.28%
81,2022-04-22,79.41388702392578,80.31903395940749,81.60215008748065,79.23485497638994,13859300,-1.63%
82,2022-04-25,81.13465118408203,78.90660844765964,81.36342698653137,78.73751757857893,13657700,2.17%
83,2022-04-26,76.28070068359375,80.23945479950798,81.0351881597165,76.16133840295976,19188100,-5.98%
84,2022-04-27,75.51480102539062,76.35032175747652,77.68316632111026,75.22634789102021,21570300,-1.00%
85,2022-04-28,75.78337097167969,76.64872286296062,76.83771124780401,72.19263719171089,20320900,0.36%
86,2022-04-29,73.43595886230469,75.33576092930957,77.50412621117745,73.24697049545112,13947700,-3.10%
87,2022-05-02,76.37022399902344,73.14751800076343,76.53931488790319,73.08784064908268,15625900,4.00%
88,2022-05-03,76.43984985351562,76.3702237472255,77.70307611022048,75.38550950435759,10767900,0.09%
89,2022-05-04,78.1606216430664,76.58905225601133,78.52864210234877,73.11768045391246,19159300,2.25%
90,2022-05-05,73.45585632324219,77.24552727059836,77.50413417017285,72.12301163125134,18579200,-6.02%
91,2022-05-06,69.7557144165039,72.52088396898492,72.74965221246933,69.25838290967069,22560500,-5.04%
92,2022-05-09,64.02645874023438,68.61185568410514,69.23849062944181,63.71810805620331,27086300,-8.21%
93,2022-05-10,67.33869171142578,67.1894983109936,68.82074525759084,64.75256905867485,28347900,5.17%
94,2022-05-11,62.47478103637695,66.43353910817393,67.63708036281226,62.186327871247364,28143200,-7.22%
95,2022-05-12,64.56356811523438,61.72877676534404,65.747211725887,61.45026859202936,25991000,3.34%
96,2022-05-13,68.23388671875,66.11525706082372,69.09924634230268,65.63781543676913,18755300,5.68%
97,2022-05-16,68.09461975097656,67.90563137568677,70.13368168735703,66.99054334875551,14149900,-0.20%
98,2022-05-17,71.07861328125,69.62640628928602,71.12834946406991,68.84062165052295,14807400,4.38%
99,2022-05-18,67.50776672363281,69.18874168925092,70.03421113713136,66.86123438823743,15242500,-5.02%
100,2022-05-19,69.02961730957031,67.43815794449681,69.70598848831115,67.08007863877066,14974700,2.25%
101,2022-05-20,69.95465850830078,69.97454843152846,70.51166742280375,66.60264108797581,13521900,1.34%
102,2022-05-23,69.76567077636719,70.85979869293179,71.18803934450439,69.25839045927113,11879700,-0.27%
103,2022-05-24,67.040283203125,68.76104582758701,69.0992351709245,66.58273916457799,12688300,-3.91%
104,2022-05-25,67.36851501464844,66.8910735299899,68.094614611487,65.71737111840739,12392800,0.49%
105,2022-05-26,68.10456848144531,67.53761094444411,69.03955401528697,67.10990560329054,12254800,1.09%
106,2022-05-27,70.7105941772461,67.81612858255563,70.73049168835404,66.75183939859113,15010900,3.83%
107,2022-05-31,68.41292572021484,70.41220064437782,70.99904822151764,67.3983727133024,10648300,-3.25%
108,2022-06-01,67.16958618164062,68.87045887453672,69.78555453389193,65.98593487127062,12979200,-1.82%
109,2022-06-02,68.40296173095703,66.94081369723058,68.69141487178992,66.0555643564945,9380400,1.84%
110,2022-06-03,70.82994842529297,69.00971338838424,71.14824026874071,68.65163411592101,15058100,3.55%
111,2022-06-06,68.81077575683594,71.79476428473225,72.37167055474093,68.3532317598662,12268600,-2.85%
112,2022-06-07,72.2125244140625,68.15429799496032,72.30204802041986,68.08467189609377,10797200,4.94%
113,2022-06-08,72.81926727294922,71.63561603787356,74.27147414195633,71.63561603787356,11029300,0.84%
114,2022-06-09,69.88501739501953,72.44130074140688,72.67006895847415,69.85517872224342,10305900,-4.03%
115,2022-06-10,66.67224884033203,68.65162576381708,68.87045280244185,66.19481492758273,12884600,-4.60%
116,2022-06-13,62.9820556640625,64.62325099649375,65.12058245549255,62.29573961660579,16753000,-5.53%
117,2022-06-14,63.08152389526367,63.439603172461155,63.77779252922599,61.79841154442352,13769400,0.16%
118,2022-06-15,65.3294677734375,63.698221019834,66.0058389338592,63.151157115053074,14007800,3.56%
119,2022-06-16,63.62858963012695,63.29040407798734,63.91704279402151,61.82824833868693,10351500,-2.60%
120,2022-06-17,67.2491683959961,64.09608839667771,68.55217454332522,64.0662497198193,26512800,5.69%
121,2022-06-21,69.65625,68.29356652084788,71.38696152807199,68.29356652084788,16491200,3.58%
122,2022-06-22,71.40685272216797,68.5919548063514,72.68002005957132,68.28361172613911,15564600,2.51%
123,2022-06-23,75.82316589355469,71.82461627502211,75.93257184495128,71.58589927335164,16820600,6.18%
124,2022-06-24,76.64871978759766,76.80786949238042,77.2355748381396,73.89350692445754,18564200,1.09%
125,2022-06-27,76.39010620117188,76.60892564304501,77.24551681767348,74.80858840045849,13735100,-0.34%
126,2022-06-28,73.66473388671875,76.4597418696678,76.86754972330233,73.02815022103857,13455500,-3.57%
127,2022-06-29,74.40079498291016,73.56527412188066,74.94785507637667,72.39157148547292,9562100,1.00%
128,2022-06-30,73.87361145019531,73.18729919828864,74.8583332011204,72.16279760874862,11339100,-0.71%
129,2022-07-01,76.13150787353516,73.97309095808536,76.2906500093944,73.30666097243748,13420300,3.06%
130,2022-07-05,80.5577392578125,75.30592080907488,80.60747543402992,74.78869948431891,15288200,5.81%
131,2022-07-06,80.57765197753906,80.57765197753906,82.72612011736548,79.79186729472605,17502100,0.02%
132,2022-07-07,83.01456451416016,80.91582519335498,83.85008529416598,80.41849374460827,13858600,3.02%
133,2022-07-08,83.97940063476562,82.15916545323057,84.17833020697282,81.65188517882248,12031900,1.16%
134,2022-07-11,80.25936126708984,83.25329148430018,83.80035917910024,80.06042411049137,9835900,-4.43%
135,2022-07-12,81.43305206298828,80.27923948889803,82.0298482684563,77.67322003232125,15157600,1.46%
136,2022-07-13,82.79573822021484,79.53324510076835,83.59147158096188,79.25474070110963,13154100,1.67%
137,2022-07-14,80.885986328125,81.89059797703176,82.47744544259197,80.19966650211164,11131000,-2.31%
138,2022-07-15,81.93038177490234,81.93038177490234,82.16909873433106,79.31441361982509,9674500,1.29%
139,2022-07-18,79.31443786621094,82.86538502652157,84.16839892005866,78.86684248186799,11163300,-3.19%
140,2022-07-19,82.89521026611328,80.5875924238944,83.01457255730054,79.63271686042553,12016900,4.51%
141,2022-07-20,84.06890106201172,83.00461211201991,85.94882083722702,82.51722943849946,14969100,1.42%
142,2022-07-21,83.75062561035156,83.9794014504209,84.69556005920529,82.89521478193429,7802900,-0.38%
143,2022-07-22,80.2494125366211,84.21811585068562,84.44689168367465,80.1201090763,10633300,-4.18%
144,2022-07-25,80.50801849365234,80.36876629312177,80.78652289471351,78.98618545308544,8097500,0.32%
145,2022-07-26,80.86609649658203,80.55774583846039,82.55702038465284,79.22490120011585,9194200,0.44%
146,2022-07-27,82.95490264892578,81.45295926860342,83.23340709800763,80.29915403831046,10237800,2.58%
147,2022-07-28,82.0596923828125,83.05435532078599,83.48206068766162,79.98085048501238,11298400,-1.08%
148,2022-07-29,80.69700622558594,81.68172805659597,81.8607676996272,79.57303977074764,9467700,-1.66%
149,2022-08-01,79.04586029052734,79.911212139405,81.39326529450274,78.56841876909357,11546100,-2.05%
150,2022-08-02,80.54781341552734,78.49880246666707,81.44300404832607,78.29987290130657,9963500,1.90%
151,2022-08-03,83.61137390136719,82.54708473700056,85.04369112768372,82.35810391701709,14260700,3.80%
152,2022-08-04,88.23655700683594,85.66038338633837,88.3957067351498,85.04368957213725,15934500,5.53%
153,2022-08-05,91.8073959350586,86.83408104342327,91.81733710099493,85.67031959138663,19812500,4.05%
154,2022-08-08,93.38890838623047,92.86173821085153,94.59244970460115,91.42942106365105,19237400,1.72%
155,2022-08-09,90.26567077636719,91.55873576235334,92.80206456092588,88.6642626767116,14747800,-3.34%
156,2022-08-10,93.24964141845703,92.29476600097307,93.36900369139575,90.91218525796943,8989600,3.31%
157,2022-08-11,90.29550170898438,93.28943932399598,94.67202022233492,89.65891802580714,12314800,-3.17%
158,2022-08-12,93.27948760986328,91.13101964448026,93.60772819540159,90.86245640588497,9744000,3.30%
159,2022-08-15,94.39350891113281,92.50364791976804,94.63222587770952,92.1256787569653,7253200,1.19%
160,2022-08-16,91.89690399169922,94.05532064621944,94.21447035151571,91.26032034786539,9355200,-2.64%
161,2022-08-17,89.09194946289062,90.41485284931012,91.54876786947679,88.6244567181653,10681100,-3.05%
162,2022-08-18,88.39569091796875,89.01237703314571,89.19141665112379,86.84401169926699,8030600,-0.78%
163,2022-08-19,86.80422973632812,87.2219939303477,88.12713324192578,86.27705960263116,7734600,-1.80%
164,2022-08-22,85.47138977050781,85.86925647836043,87.32146351164762,84.77512872327294,9359600,-1.54%
165,2022-08-23,87.3115005493164,85.9985459391265,88.06744641235758,84.99393437272607,9315800,2.15%
166,2022-08-24,89.15164184570312,87.38114292212302,89.84791049803137,86.44616486360152,8727500,2.11%
167,2022-08-25,88.89302825927734,90.01699463159382,90.56406227532247,87.93815276277668,6417600,-0.29%
168,2022-08-26,84.58612823486328,88.87312261701636,88.88307137017611,84.25788767866834,12074700,-4.85%
169,2022-08-29,83.51190185546875,83.28313362256186,85.39181425728303,83.03446788064277,13047200,-1.27%
170,2022-08-30,82.656494140625,84.31757953654434,84.71544625600461,81.53252767767553,10608200,-1.02%
171,2022-08-31,83.2532958984375,83.60143404377416,84.39715994632814,82.7261256856847,9687600,0.72%
172,2022-09-01,85.06356811523438,82.6067571196097,85.19287914936116,81.63198413577051,11499700,2.17%
173,2022-09-02,83.28313446044922,86.30690323457165,86.30690323457165,82.80569289214363,11508800,-2.09%
174,2022-09-06,80.90589141845703,83.43233655647714,83.7008998381805,80.72685934889088,11303800,-2.85%
175,2022-09-07,84.33745574951172,80.80639994038944,84.50654659626387,80.6571990096833,11022100,4.24%
176,2022-09-08,86.95343780517578,83.61136951168382,87.02306391176201,83.61136951168382,13108600,3.10%
177,2022-09-09,87.54029846191406,87.39109748445179,88.35592187154059,86.7346162190886,9010600,0.67%
178,2022-09-12,88.20670318603516,87.71932050693533,88.28627803653015,86.4660431720032,9544400,0.76%
179,2022-09-13,83.6909408569336,85.70016428602337,86.39642532263301,83.19360937687638,14698700,-5.12%
180,2022-09-14,84.6358642578125,83.71083502693061,85.0237897783665,82.68632584438804,8738900,1.13%
181,2022-09-15,85.73994445800781,84.22806009180391,86.51578794438575,83.93960692161394,9008200,1.30%
182,2022-09-16,82.82557678222656,84.4468821745576,84.71543781996127,81.85081138472731,15649800,-3.40%
183,2022-09-19,81.79114532470703,81.94033871014227,82.36804412196912,79.92117394803299,15561800,-1.25%
184,2022-09-20,81.55241394042969,80.96556643677515,82.37798601825746,80.51796355170745,8090500,-0.29%
185,2022-09-21,78.70767211914062,81.99006270684785,82.34814195600411,78.58831742853897,12765100,-3.49%
186,2022-09-22,77.67322540283203,78.00146599457119,78.37944276881967,76.5293690918775,11197400,-1.31%
187,2022-09-23,76.24091339111328,76.83770961798383,77.10626526403907,74.65939542179679,11898900,-1.84%
188,2022-09-26,74.6594009399414,75.8828397458259,78.011417918484,74.5698849141987,11763200,-2.07%
189,2022-09-27,76.80787658691406,76.03204067612525,77.59366125233964,75.59438653622333,14256100,2.88%
190,2022-09-28,80.76661682128906,78.62809785907594,81.31368440012379,78.47889692042328,19367800,5.15%
191,2022-09-29,78.43912506103516,79.89133213546567,80.18973407197839,77.12617019999685,10324100,-2.88%
