,date,ixic,open,high,low,volume,ixic_cr
0,2021-12-27,15871.259765625,15696.830078125,15871.400390625,15696.830078125,3743920000,nan%
1,2021-12-28,15781.7197265625,15895.2001953125,15901.4697265625,15757.0703125,3648500000,-0.56%
2,2021-12-29,15766.2197265625,15794.919921875,15821.8095703125,15679.849609375,3714380000,-0.10%
3,2021-12-30,15741.5595703125,15758.98046875,15868.08984375,15729.16015625,3750920000,-0.16%
4,2021-12-31,15644.9697265625,15722.91015625,15777.4296875,15643.9404296875,3392580000,-0.61%
5,2022-01-03,15832.7998046875,15732.5,15832.7998046875,15644.08984375,4429960000,1.20%
6,2022-01-04,15622.7197265625,15852.1396484375,15852.1396484375,15512.41015625,5131110000,-1.33%
7,2022-01-05,15100.169921875,15547.16015625,15586.2998046875,15095.1796875,5031850000,-3.34%
8,2022-01-06,15080.8603515625,15024.150390625,15198.4501953125,14914.8701171875,4790820000,-0.13%
9,2022-01-07,14935.900390625,15095.7197265625,15171.01953125,14877.6298828125,4238070000,-0.96%
10,2022-01-10,14942.830078125,14751.7802734375,14953.849609375,14530.23046875,5317180000,0.05%
11,2022-01-11,15153.4501953125,14919.259765625,15158.7099609375,14837.6298828125,4390710000,1.41%
12,2022-01-12,15188.3896484375,15263.099609375,15319.0302734375,15117.2900390625,4338530000,0.23%
13,2022-01-13,14806.8095703125,15245.0400390625,15259.7099609375,14782.240234375,4302020000,-2.51%
14,2022-01-14,14893.75,14708.01953125,14897.6796875,14689.4296875,4374020000,0.59%
15,2022-01-18,14506.900390625,14681.830078125,14740.5400390625,14482.9404296875,5060790000,-2.60%
16,2022-01-19,14340.259765625,14582.2197265625,14658.8896484375,14331.650390625,4665340000,-1.15%
17,2022-01-20,14154.01953125,14462.849609375,14642.0302734375,14140.7802734375,5102050000,-1.30%
18,2022-01-21,13768.919921875,14046.2197265625,14171.7197265625,13764.240234375,5870830000,-2.72%
19,2022-01-24,13855.1298828125,13481.5,13876.6103515625,13094.650390625,6998770000,0.63%
20,2022-01-25,13539.2900390625,13610.8701171875,13781.6201171875,13414.1396484375,5019380000,-2.28%
21,2022-01-26,13542.1201171875,13871.76953125,14002.650390625,13392.1904296875,5771140000,0.02%
22,2022-01-27,13352.7802734375,13710.990234375,13765.91015625,13322.66015625,5177380000,-1.40%
23,2022-01-28,13770.5703125,13436.7099609375,13771.91015625,13236.5595703125,4971930000,3.13%
24,2022-01-31,14239.8798828125,13812.1904296875,14242.900390625,13767.7099609375,5124940000,3.41%
25,2022-02-01,14346.0,14277.4296875,14358.6904296875,14070.76953125,4671850000,0.75%
26,2022-02-02,14417.5498046875,14494.4697265625,14504.8203125,14264.650390625,4673140000,0.50%
27,2022-02-03,13878.8203125,14045.830078125,14207.8896484375,13851.740234375,4326300000,-3.74%
28,2022-02-04,14098.009765625,13958.48046875,14222.759765625,13850.3896484375,4121340000,1.58%
29,2022-02-07,14015.669921875,14118.7900390625,14236.3095703125,13974.099609375,4268730000,-0.58%
30,2022-02-08,14194.4501953125,13984.4296875,14226.48046875,13934.7802734375,4293770000,1.28%
31,2022-02-09,14490.3701171875,14368.16015625,14490.7197265625,14330.8701171875,4729730000,2.08%
32,2022-02-10,14185.6396484375,14228.6796875,14509.5595703125,14118.2001953125,5212510000,-2.10%
33,2022-02-11,13791.150390625,14213.6201171875,14246.7001953125,13733.16015625,5237320000,-2.78%
34,2022-02-14,13790.919921875,13768.9697265625,13921.7099609375,13664.759765625,4347350000,-0.00%
35,2022-02-15,14139.759765625,13997.1796875,14142.490234375,13976.2900390625,4416840000,2.53%
36,2022-02-16,14124.08984375,14038.919921875,14163.73046875,13931.990234375,4238560000,-0.11%
37,2022-02-17,13716.7197265625,14004.1904296875,14020.8203125,13704.7001953125,4278370000,-2.88%
38,2022-02-18,13548.0703125,13735.400390625,13762.400390625,13465.5595703125,4501940000,-1.23%
39,2022-02-22,13381.51953125,13424.3603515625,13618.7197265625,13249.650390625,4849170000,-1.23%
40,2022-02-23,13037.490234375,13511.75,13533.7802734375,13032.169921875,4639330000,-2.57%
41,2022-02-24,13473.58984375,12587.8798828125,13486.1103515625,12587.8798828125,6180200000,3.34%
42,2022-02-25,13694.6201171875,13485.259765625,13696.8603515625,13358.2900390625,4628720000,1.64%
43,2022-02-28,13751.400390625,13570.830078125,13810.6396484375,13549.900390625,5928130000,0.41%
44,2022-03-01,13532.4599609375,13716.7001953125,13777.0400390625,13441.3203125,6131350000,-1.59%
45,2022-03-02,13752.01953125,13597.5302734375,13796.5498046875,13493.91015625,5246390000,1.62%
46,2022-03-03,13537.9404296875,13837.58984375,13837.58984375,13472.6396484375,5092580000,-1.56%
47,2022-03-04,13313.4404296875,13455.23046875,13486.7099609375,13224.98046875,5343900000,-1.66%
48,2022-03-07,12830.9599609375,13328.3603515625,13353.2802734375,12828.01953125,6195370000,-3.62%
49,2022-03-08,12795.5498046875,12800.0400390625,13159.4404296875,12670.080078125,6683960000,-0.28%
