,date,tsla,open,high,low,volume,tsla_cr
0,2021-12-27,364.64666748046875,357.8900146484375,372.3333435058594,356.90667724609375,71145900,nan%
1,2021-12-28,362.8233337402344,369.8299865722656,373.0,359.47332763671875,60324000,-0.50%
2,2021-12-29,362.0633239746094,366.21331787109375,368.0,354.71331787109375,56154000,-0.21%
3,2021-12-30,356.7799987792969,353.77667236328125,365.1833190917969,351.04998779296875,47040900,-1.46%
4,2021-12-31,352.260009765625,357.8133239746094,360.6666564941406,351.5299987792969,40733700,-1.27%
5,2022-01-03,399.9266662597656,382.5833435058594,400.3566589355469,378.67999267578125,103931400,13.53%
6,2022-01-04,383.1966552734375,396.51666259765625,402.6666564941406,374.3500061035156,100248300,-4.18%
7,2022-01-05,362.7066650390625,382.2166748046875,390.11334228515625,360.336669921875,80119800,-5.35%
8,2022-01-06,354.8999938964844,359.0,362.6666564941406,340.1666564941406,90336600,-2.15%
9,2022-01-07,342.32000732421875,360.1233215332031,360.30999755859375,336.6666564941406,84164700,-3.54%
10,2022-01-10,352.7066650390625,333.3333435058594,353.0333251953125,326.6666564941406,91815000,3.03%
11,2022-01-11,354.79998779296875,351.22332763671875,358.6166687011719,346.2733459472656,66063300,0.59%
12,2022-01-12,368.739990234375,359.6166687011719,371.61334228515625,357.5299987792969,83739000,3.93%
13,2022-01-13,343.85333251953125,369.69000244140625,371.8666687011719,342.17999267578125,97209900,-6.75%
14,2022-01-14,349.8699951171875,339.9599914550781,350.6666564941406,337.7933349609375,72924300,1.75%
15,2022-01-18,343.5033264160156,342.2033386230469,356.92999267578125,338.6866760253906,66743400,-1.82%
16,2022-01-19,331.8833312988281,347.2366638183594,351.5566711425781,331.6666564941406,75442500,-3.38%
17,2022-01-20,332.0899963378906,336.57666015625,347.2200012207031,331.3333435058594,70488600,0.06%
18,2022-01-21,314.6333312988281,332.11334228515625,334.8500061035156,313.5,103416000,-5.26%
19,2022-01-24,310.0,301.586669921875,311.1700134277344,283.8233337402344,151565700,-1.47%
20,2022-01-25,306.1333312988281,304.73333740234375,317.086669921875,301.07000732421875,86595900,-1.25%
21,2022-01-26,312.4700012207031,317.4766540527344,329.2300109863281,302.0,104867400,2.07%
22,2022-01-27,276.3666687011719,311.1199951171875,311.7966613769531,276.3333435058594,147109500,-11.55%
23,2022-01-28,282.1166687011719,277.1866760253906,285.8333435058594,264.0033264160156,134789100,2.08%
24,2022-01-31,312.239990234375,290.9033203125,312.663330078125,287.3500061035156,104436000,10.68%
25,2022-02-01,310.4166564941406,311.7366638183594,314.5666809082031,301.6666564941406,73138200,-0.58%
26,2022-02-02,301.88665771484375,309.3933410644531,310.5,296.4700012207031,66792900,-2.75%
27,2022-02-03,297.0466613769531,294.0,312.3333435058594,293.50665283203125,78855600,-1.60%
28,2022-02-04,307.7733459472656,299.0733337402344,312.1666564941406,293.72332763671875,73625400,3.61%
29,2022-02-07,302.4466552734375,307.92999267578125,315.92333984375,300.9033203125,60994500,-1.73%
30,2022-02-08,307.3333435058594,301.84332275390625,308.7633361816406,298.26666259765625,50729100,1.62%
31,2022-02-09,310.6666564941406,311.6666564941406,315.42333984375,306.6666564941406,52259400,1.08%
32,2022-02-10,301.51666259765625,302.7900085449219,314.60333251953125,298.8999938964844,66126900,-2.95%
33,2022-02-11,286.6666564941406,303.2099914550781,305.32000732421875,283.5666809082031,79645800,-4.93%
34,2022-02-14,291.9200134277344,287.19000244140625,299.6266784667969,284.3833312988281,67756500,1.83%
35,2022-02-15,307.4766540527344,300.0,307.6666564941406,297.7933349609375,57286200,5.33%
36,2022-02-16,307.7966613769531,304.6833190917969,308.80999755859375,300.4033203125,51294300,0.10%
37,2022-02-17,292.1166687011719,304.4200134277344,306.1666564941406,291.3666687011719,55178400,-5.09%
38,2022-02-18,285.6600036621094,295.3333435058594,295.6233215332031,279.2033386230469,68501700,-2.21%
39,2022-02-22,273.84332275390625,278.0433349609375,285.57666015625,267.0333251953125,83288100,-4.14%
40,2022-02-23,254.67999267578125,276.80999755859375,278.4333190917969,253.52000427246094,95256900,-7.00%
41,2022-02-24,266.92333984375,233.4633331298828,267.49334716796875,233.3333282470703,135322200,4.81%
42,2022-02-25,269.9566650390625,269.74334716796875,273.1666564941406,260.79998779296875,76067700,1.14%
43,2022-02-28,290.1433410644531,271.6700134277344,292.28668212890625,271.57000732421875,99006900,7.48%
44,2022-03-01,288.1233215332031,289.8933410644531,296.6266784667969,284.59332275390625,74766900,-0.70%
45,2022-03-02,293.2966613769531,290.7099914550781,295.49334716796875,281.42333984375,74643300,1.80%
46,2022-03-03,279.7633361816406,292.92333984375,295.4800109863281,277.5333251953125,61623600,-4.61%
47,2022-03-04,279.42999267578125,283.0333251953125,285.2166748046875,275.0533447265625,66999600,-0.12%
48,2022-03-07,268.1933288574219,285.4333190917969,288.71331787109375,268.19000244140625,72494100,-4.02%
49,2022-03-08,274.79998779296875,265.1766662597656,283.3299865722656,260.72332763671875,80399100,2.46%
50,2022-03-09,286.3233337402344,279.82666015625,286.85333251953125,277.336669921875,59184000,4.19%
51,2022-03-10,279.4333190917969,283.8166809082031,284.8166809082031,270.1199951171875,58648500,-2.41%
52,2022-03-11,265.1166687011719,280.0666809082031,281.26666259765625,264.5899963378906,67037100,-5.12%
