release_date,time,actual_rate,forecast_rate,prev_rate,none
2022-12-14,15:00:00,,,,
2022-11-02,14:00:00,,,,
2022-09-21,14:00:00,,,,
2022-07-27,14:00:00,,,,
2022-06-15,14:00:00,1.75%,1.50%,1.00%,
2022-05-04,14:00:00,1.00%,1.00%,0.50%,
2022-03-16,14:00:00,0.50%,0.50%,0.25%,
2022-01-26,15:00:00,0.25%,0.25%,0.25%,
2021-12-15,15:00:00,0.25%,0.25%,0.25%,
2021-11-03,14:00:00,0.25%,0.25%,0.25%,
2021-09-22,14:00:00,0.25%,0.25%,0.25%,
2021-07-28,14:00:00,0.25%,0.25%,0.25%,
