,iter1,iter1,iter1
,best_index,mean_test_score,std_test_score
0,49,0.7976190476190477,0.17463924591325952
1,33,0.7958333333333333,0.16791201399674904
2,44,0.7904761904761906,0.1771530975022693
3,35,0.7761111111111111,0.188427541170618
4,37,0.7615584415584415,0.19577180102672456
5,13,0.7611111111111111,0.19669334407889422
6,32,0.7555555555555555,0.16865480854231354
7,34,0.7524922600619195,0.13897039662265984
8,38,0.7522727272727272,0.20785206118497593
9,41,0.7511904761904762,0.16026834073853732
10,48,0.7443510737628385,0.14414618928615444
11,23,0.7408730158730159,0.16367111477607565
12,36,0.7300000000000001,0.16403853807964958
13,17,0.725,0.1457737973711325
14,46,0.7230156608097784,0.1187939690917825
15,39,0.7219117647058824,0.09867460767944325
16,27,0.7178733031674208,0.16356323849395402
17,21,0.7166666666666667,0.26666666666666666
18,47,0.6859803921568627,0.13656113178478216
19,5,0.6821801006011532,0.12339677874395064
20,7,0.6761639392599145,0.12873192600205802
21,20,0.6743731579588357,0.10600126924231631
22,31,0.6735064935064935,0.04834345493189302
23,18,0.6688034188034188,0.07272494832882957
24,40,0.6653749759012916,0.10205531090939134
25,2,0.6602748129063918,0.09330977450359913
26,43,0.6598194014447885,0.11193820359066381
27,8,0.6504761904761904,0.09644943924702602
28,42,0.6437214958954088,0.07727675725810469
29,3,0.6323629121111958,0.07734916841558513
30,24,0.6298985507246376,0.06693969924815715
31,0,0.6268509984639017,0.06171655342110315
32,6,0.6266409971193063,0.06179376436346435
33,30,0.6263492063492063,0.07168044949408549
34,14,0.6237948717948718,0.0630870119094523
35,29,0.6222151523444627,0.060148201601222036
36,28,0.6175874840357599,0.04289378389151306
37,16,0.6173620759827656,0.05142513612138032
38,9,0.6098522167487685,0.06455760616194987
39,26,0.6035759897828863,0.04927573150155807
40,4,0.6012885154061625,0.06217543522381372
41,12,0.5932142857142857,0.06998906620147965
42,1,0.5873015873015872,0.3282300196968338
43,11,0.5827089552896004,0.04680889109016781
44,22,0.3028571428571428,0.37191177360623956
45,25,0.2916666666666667,0.3632415786283895
46,19,0.0,0.0
47,15,0.0,0.0
48,10,0.0,0.0
49,45,0.0,0.0
