,iter1,iter1,iter1,iter2,iter2,iter2,iter3,iter3,iter3,iter4,iter4,iter4,iter5,iter5,iter5,iter6,iter6,iter6,iter7,iter7,iter7,iter8,iter8,iter8,iter9,iter9,iter9,iter10,iter10,iter10,iter11,iter11,iter11,iter12,iter12,iter12,iter13,iter13,iter13
,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score
0,34.0,0.750909090909091,0.23549490703552256,20.0,0.7904761904761904,0.28348335364070887,65,0.7835497835497837,0.16632054913666702,25,0.8583333333333334,0.1740051084818425,5.0,0.6266666666666666,0.3968766950969924,5.0,0.6266666666666666,0.3968766950969924,18.0,0.7750000000000001,0.2260776661041756,65,0.7835497835497837,0.16632054913666702,95,0.95,0.09999999999999999,58,1.0,0.0,92,1.0,0.0,62,0.8533333333333333,0.1808621328833405,99,1.0,0.0
1,11.0,0.7461111111111111,0.20540234530498944,19.0,0.7533333333333333,0.2082733246908441,18,0.7750000000000001,0.2260776661041756,28,0.7888888888888889,0.19372884193514103,2.0,0.6049197860962566,0.074841656241143,2.0,0.5785994397759103,0.06463286651202821,38.0,0.7556776556776557,0.1540361638417934,18,0.7750000000000001,0.2260776661041756,97,0.95,0.09999999999999999,57,0.96,0.07999999999999999,82,1.0,0.0,53,0.85,0.2,91,1.0,0.0
2,40.0,0.7451948051948053,0.1816221577809211,17.0,0.7211050061050062,0.11022343896962546,38,0.7556776556776557,0.1540361638417934,17,0.766060606060606,0.23766850385080765,8.0,0.5666666666666667,0.08164965809277258,6.0,0.5518688024408849,0.0787966960402317,20.0,0.7309523809523809,0.195702119886043,38,0.7556776556776557,0.1540361638417934,62,0.95,0.09999999999999999,75,0.96,0.07999999999999999,16,1.0,0.0,63,0.85,0.2,79,1.0,0.0
3,17.0,0.7361904761904763,0.18784733512933513,39.0,0.6942857142857143,0.25548673035552183,74,0.7415934065934067,0.1508222842612424,49,0.76,0.248014336503177,6.0,0.566374269005848,0.08726784412626853,3.0,0.550952380952381,0.17202014331239066,46.0,0.7142857142857143,0.1286595817724409,74,0.7415934065934067,0.1508222842612424,87,0.9333333333333332,0.13333333333333336,35,0.95,0.09999999999999999,91,1.0,0.0,11,0.8277777777777777,0.16703662642636563,86,1.0,0.0
4,30.0,0.7328571428571429,0.16854990446388443,47.0,0.6888888888888889,0.09532271373123209,20,0.7309523809523809,0.195702119886043,56,0.7555555555555555,0.22388268532899872,0.0,0.49141034404192296,0.0398913999622682,8.0,0.52,0.1127435635019184,28.0,0.7013986013986013,0.19474460778446884,20,0.7309523809523809,0.195702119886043,75,0.9333333333333332,0.13333333333333336,53,0.95,0.09999999999999999,25,1.0,0.0,40,0.8166666666666667,0.1855921454276674,83,1.0,0.0
5,42.0,0.7290909090909091,0.2234515126652686,36.0,0.6887878787878788,0.1036593984678931,56,0.7266666666666666,0.26865922239479845,31,0.7466666666666666,0.2286190426597633,9.0,0.47874236874236875,0.044296813670983634,0.0,0.48433583959899745,0.0524911601003598,30.0,0.6971916971916972,0.10435668218865213,56,0.7266666666666666,0.26865922239479845,96,0.9333333333333332,0.13333333333333336,78,0.95,0.09999999999999999,27,1.0,0.0,15,0.8166666666666667,0.1855921454276674,88,0.9333333333333332,0.13333333333333336
6,48.0,0.7273504273504272,0.16338876096203106,26.0,0.6873376623376624,0.20964977341268112,46,0.7142857142857143,0.1286595817724409,61,0.738095238095238,0.17300859166271382,4.0,0.4614814814814815,0.06535914395302866,9.0,0.47799589471416104,0.06013535407534498,26.0,0.6840187590187591,0.15487338608478685,46,0.7142857142857143,0.1286595817724409,68,0.9199999999999999,0.16,47,0.9333333333333332,0.13333333333333336,17,1.0,0.0,95,0.8166666666666667,0.1855921454276674,31,0.9333333333333332,0.13333333333333336
7,37.0,0.7242424242424242,0.18292591845801903,41.0,0.6730769230769231,0.113951210478405,72,0.71,0.12214138741032263,24,0.7310606060606061,0.24292089277566017,3.0,0.4515934065934066,0.14865418886193463,4.0,0.4498569546395633,0.05620370824367496,39.0,0.683974358974359,0.14624757155267734,72,0.71,0.12214138741032263,55,0.9,0.2,40,0.9333333333333332,0.13333333333333336,22,1.0,0.0,61,0.8166666666666667,0.1855921454276674,81,0.9333333333333332,0.13333333333333336
8,44.0,0.7226190476190476,0.10070612372646001,44.0,0.6635294117647059,0.10375939992065984,88,0.7064285714285714,0.12853967861945134,39,0.7293650793650793,0.08803444205626698,1.0,0.0,0.0,1.0,0.0,0.0,35.0,0.6833333333333333,0.2603416558635552,88,0.7064285714285714,0.12853967861945134,89,0.9,0.2,74,0.9333333333333332,0.13333333333333336,94,0.96,0.07999999999999999,49,0.8138888888888889,0.2066786137526475,70,0.9333333333333332,0.13333333333333336
