,iter1,iter1,iter1,iter2,iter2,iter2,iter3,iter3,iter3,iter4,iter4,iter4,iter5,iter5,iter5,iter6,iter6,iter6
,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score
0,90,0.7558397742608268,0.08576937019190685,49.0,0.7452337136547663,0.09308507863961475,61,0.8761904761904763,0.1523809523809524,55,0.7606060606060605,0.1279024823660926,42,0.7380952380952381,0.15041724114897945,52.0,0.7540675990675989,0.11066014923262173
1,52,0.7540675990675989,0.11066014923262173,43.0,0.7452337136547663,0.09308507863961475,80,0.8400000000000001,0.19595917942265426,63,0.76,0.15937377450509227,5,0.7376298701298701,0.08925231961081809,50.0,0.7483916083916085,0.09121025960807806
2,98,0.7506060606060606,0.09471624046344876,27.0,0.7414285714285714,0.1395619970493693,76,0.8321428571428571,0.1673624930551426,34,0.7585914085914086,0.12621257798137137,69,0.7256410256410256,0.11245570389532505,71.0,0.7481895881895883,0.10997156804220742
3,85,0.7497791682002208,0.09265092983375971,45.0,0.7377777777777779,0.15228303732454945,83,0.8,0.19378085666072195,93,0.7533333333333333,0.1355646627177517,78,0.7255796834744204,0.16103950282766644,67.0,0.7479609863820389,0.08954385807041962
4,89,0.7484678719972837,0.11411846857987272,47.0,0.7355555555555556,0.1730481985238381,65,0.8,0.18708286933869706,53,0.7533333333333333,0.1355646627177517,76,0.7184704184704185,0.16297064345671183,49.0,0.7452337136547663,0.09308507863961475
5,50,0.7483916083916085,0.09121025960807806,16.0,0.7346231546231545,0.09515822404958889,50,0.7866666666666667,0.2745501370929867,96,0.7497474747474747,0.1552946125664837,44,0.7152333174072304,0.11874858483886296,43.0,0.7452337136547663,0.09308507863961475
6,71,0.7481895881895883,0.10997156804220742,5.0,0.7330844155844155,0.08908515846042317,75,0.7866666666666666,0.1758787461103056,47,0.7444444444444445,0.14635488747021655,19,0.7145104895104895,0.11964398128740593,27.0,0.7414285714285714,0.1395619970493693
7,67,0.7479609863820389,0.08954385807041962,19.0,0.7251370851370851,0.08676389339602772,85,0.7753968253968253,0.1956892451700733,58,0.741969696969697,0.1495966416342496,58,0.7142857142857142,0.1475422227126635,45.0,0.7377777777777779,0.15228303732454945
8,49,0.7452337136547663,0.09308507863961475,48.0,0.7114285714285714,0.22342621685115027,77,0.76,0.248014336503177,98,0.7383116883116883,0.15881369964778597,88,0.7092948717948719,0.08206380112827641,73.0,0.7373015873015873,0.10801817638634337
9,43,0.7452337136547663,0.09308507863961475,26.0,0.7110845295055821,0.1190372970153967,95,0.7571428571428571,0.20995626366712955,64,0.7316239316239317,0.11269093828273166,41,0.7087412587412587,0.1183316062484325,47.0,0.7355555555555556,0.1730481985238381
10,27,0.7414285714285714,0.1395619970493693,34.0,0.700825593395253,0.08786526433802534,56,0.7416666666666667,0.2505549396395485,73,0.7307925407925409,0.1071832893124573,83,0.7084491978609625,0.1297231415523163,16.0,0.7346231546231545,0.09515822404958889
11,45,0.7377777777777779,0.15228303732454945,40.0,0.6995021645021644,0.1524153161272477,91,0.7357142857142857,0.2407471363764674,76,0.7281093906093907,0.09746024383431626,77,0.7044927536231884,0.13378028427704747,5.0,0.7330844155844155,0.08908515846042317
12,73,0.7373015873015873,0.10801817638634337,22.0,0.6984126984126984,0.2153120629563577,41,0.7286111111111111,0.14623779890014926,5,0.7260914085914085,0.0906259146113589,75,0.7017424242424243,0.11735031886197168,69.0,0.732822966507177,0.15919447648801
13,47,0.7355555555555556,0.1730481985238381,42.0,0.6921654815772463,0.07983425563670832,19,0.7255194805194806,0.13300147039921087,72,0.7229059829059828,0.14792637356141908,24,0.7009615384615385,0.08983283108692161,61.0,0.7326340326340326,0.1013142751466862
14,16,0.7346231546231545,0.09515822404958889,46.0,0.6850768512533219,0.11236574068597763,99,0.725,0.3,88,0.7169796148124321,0.10890002305001588,26,0.7005827505827507,0.08161038568628042,81.0,0.7285894660894661,0.15875306882415421
15,5,0.7330844155844155,0.08908515846042317,39.0,0.685042735042735,0.10316419885262139,15,0.7245054945054946,0.10134203921358181,11,0.715485347985348,0.10279264013562518,51,0.6982683982683983,0.12075809973572257,68.0,0.727953216374269,0.11154065938639154
16,69,0.732822966507177,0.15919447648801,32.0,0.6788044772564896,0.11949209500322278,60,0.7238095238095237,0.14568627181693672,84,0.7127522477522478,0.10573055764257727,13,0.6979183135704875,0.13797498512198894,77.0,0.7271794871794872,0.162610201342164
17,61,0.7326340326340326,0.1013142751466862,7.0,0.6774304127245304,0.11266915844784725,73,0.7166666666666666,0.16329931618554522,79,0.7123376623376624,0.12067444135394632,70,0.6976836888601594,0.06491935789351942,84.0,0.7269536019536019,0.08733712145159374
18,81,0.7285894660894661,0.15875306882415421,18.0,0.6717460317460318,0.2620584445688909,87,0.7155555555555556,0.13404440023577224,16,0.7121212121212122,0.16262312563634834,30,0.6976142697881829,0.15264089878082043,19.0,0.7251370851370851,0.08676389339602772
19,68,0.727953216374269,0.11154065938639154,41.0,0.67,0.1863091814997616,97,0.7133333333333333,0.24908722256359206,23,0.7116239316239317,0.08774968549878405,46,0.6951190476190476,0.07769022444977677,78.0,0.7247619047619047,0.08687833910123202
20,86,0.7275,0.09886859966642596,12.0,0.6615079365079366,0.17472758915146397,39,0.7130555555555556,0.1705012580960788,83,0.7101515151515152,0.11174958888176431,66,0.6949783549783549,0.1253790863499223,60.0,0.7123042901371075,0.10588441247072802
21,77,0.7271794871794872,0.162610201342164,3.0,0.6602073655559296,0.0980634640448757,98,0.7121212121212122,0.15484555269450395,31,0.7042124542124542,0.0482488640011703,56,0.6938461538461538,0.08774102710220218,48.0,0.7114285714285714,0.22342621685115027
22,84,0.7269536019536019,0.08733712145159374,21.0,0.6583333333333333,0.10671873729054748,59,0.7119047619047619,0.23211538298959886,75,0.7027291549030679,0.11297336536925243,29,0.6934848484848486,0.1514511986243037,26.0,0.7110845295055821,0.1190372970153967
23,19,0.7251370851370851,0.08676389339602772,28.0,0.6571380090497738,0.055568466476359275,79,0.7117857142857142,0.18782998174097854,12,0.7009911141490088,0.1125360751281735,48,0.692602495543672,0.14198406453630294,51.0,0.7099190283400809,0.10901113262119351
24,78,0.7247619047619047,0.08687833910123202,10.0,0.6543881118881119,0.1552043354424547,93,0.7075610595115239,0.12635610229133534,52,0.6986764705882352,0.1266349820749429,74,0.691993620414673,0.13019901403964362,70.0,0.7061632208371338,0.10415713209120127
25,94,0.7198989898989898,0.11246267051770323,44.0,0.6537659508247743,0.10292418885056202,20,0.7070961718020541,0.09267509342829747,38,0.6979761904761905,0.08569576519487763,21,0.6914102564102564,0.13293184127484498,63.0,0.7045098039215686,0.10560894256870762
26,92,0.7195726495726495,0.09740005338597567,2.0,0.6520757020757021,0.1559331858661029,96,0.7015151515151515,0.1471804175100714,99,0.6964141414141414,0.13711524997734334,96,0.6898076923076923,0.13892497230157752,72.0,0.7029059829059829,0.09789604944254393
27,88,0.7167032967032967,0.12930737058431377,20.0,0.6357894736842105,0.12704758780087214,28,0.6975757575757575,0.14356744429046547,78,0.696037296037296,0.11815767811826634,98,0.6874204227145404,0.1319437306967729,34.0,0.700825593395253,0.08786526433802534
28,93,0.7128282828282828,0.11618778800467913,35.0,0.6299362503622138,0.11218033059282606,24,0.6974242424242424,0.1676784714529479,90,0.6942191142191142,0.12283195937106514,25,0.6869218500797448,0.13371624541916843,40.0,0.6995021645021644,0.1524153161272477
29,60,0.7123042901371075,0.10588441247072802,8.0,0.6297147950089127,0.1383334892372527,90,0.6954568238778764,0.0925620963947176,49,0.6935314685314686,0.08025988332734359,60,0.6860028860028861,0.09994324249419491,22.0,0.6984126984126984,0.2153120629563577
30,48,0.7114285714285714,0.22342621685115027,0.0,0.6197590814982119,0.08461021320921587,88,0.6951515151515151,0.13394967737844238,97,0.6933333333333332,0.16786237749352229,34,0.6859015984015984,0.07492656924916767,42.0,0.6921654815772463,0.07983425563670832
31,26,0.7110845295055821,0.1190372970153967,33.0,0.590766563146998,0.09559788193835031,49,0.6944444444444444,0.1258060431530503,92,0.6922669418644651,0.10781527569434159,97,0.6839571755475646,0.09754772736322777,65.0,0.690930735930736,0.13187515029406124
32,51,0.7099190283400809,0.10901113262119351,23.0,0.5853195823784059,0.07430352035445498,36,0.6928138528138528,0.14490233366759145,7,0.6916980894922071,0.14231987846910527,73,0.6837681159420289,0.1417140845065586,46.0,0.6850768512533219,0.11236574068597763
