,iter1,iter1,iter1
,best_index,mean_test_score,std_test_score
0,11,0.7716666666666667,0.2231155654712498
1,1,0.7566666666666666,0.16509737386507048
2,13,0.7376190476190476,0.1834100025215182
3,17,0.733095238095238,0.2329940438933921
4,5,0.730952380952381,0.1199148307819821
5,10,0.7281746031746031,0.15397449259165838
6,12,0.7260714285714285,0.20098006043853595
7,18,0.72,0.18853234323172363
8,2,0.6664285714285715,0.16450763911423938
9,8,0.6626495726495727,0.126838074791221
10,7,0.6580019980019981,0.07233906703265122
11,0,0.6551548451548451,0.09622099685932438
12,9,0.6514285714285715,0.08468395568579169
13,4,0.6422023809523809,0.07683988952652768
14,3,0.6325582750582751,0.11794198632517547
15,6,0.62500999000999,0.0776129422001936
16,16,0.582014652014652,0.05615475338507146
17,19,0.5261437908496732,0.015188169985127129
18,15,0.26666666666666666,0.4163331998932266
19,14,0.0,0.0
