,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
69,2022-04-15,14000,-4789,-9382,-2673,-937,-3891,-769,0,-1059,-53,113,58
70,2022-04-18,3361,-5479,1701,573,214,970,201,0,-257,0,439,-23
71,2022-04-19,20578,-20187,-1932,1798,320,-3620,-347,0,-58,-26,290,1251
72,2022-04-20,-22589,9742,13964,935,5325,3086,2873,418,1326,0,231,-1348
73,2022-04-21,-77497,19453,60013,15362,16825,10615,8477,540,7734,460,-345,-1624
74,2022-04-22,31294,-43035,9691,-6665,6506,4352,4168,25,1163,141,1905,145
75,2022-04-25,17556,-6485,-11027,-13139,3873,-397,-1552,96,59,33,-212,167
76,2022-04-26,15411,-21956,6545,-99,873,3890,2232,0,-350,0,12,-12
77,2022-04-27,20301,-20757,-1809,-2947,3831,-1609,-1149,3,59,3,987,1279
78,2022-04-28,-4642,-7077,13113,2051,4526,5667,15,223,577,54,-140,-1255
79,2022-04-29,-35002,10788,24122,5439,4333,6347,5500,32,2455,17,88,3
80,2022-05-02,-21140,-1543,22603,3538,8744,2969,7260,0,91,0,93,-12
81,2022-05-03,-79,3086,-3137,-355,2078,-3338,-618,-833,-71,0,122,8
82,2022-05-04,-598,2234,-1938,2143,-1852,3203,-5796,275,174,-86,270,32
83,2022-05-06,3050,282,-2848,2112,-1926,-1887,-1478,0,331,0,-359,-126
84,2022-05-09,-1858,2728,-828,553,-1250,-453,-209,503,165,-136,-54,13
85,2022-05-10,6209,-2228,-3106,-3431,-37,476,209,-45,-96,-182,-802,-74
86,2022-05-11,9015,-5666,-4219,-1830,233,-1312,-1177,0,-325,192,793,77
87,2022-05-12,27986,-18906,-9663,-4482,570,-3469,-1813,21,-367,-122,532,50
88,2022-05-13,-22368,5741,16562,7254,993,7703,1088,0,-422,-54,70,-5
89,2022-05-16,4395,-4218,-101,-536,183,939,-571,0,1,-117,-81,4
90,2022-05-17,-10778,2412,9130,4957,363,4120,-213,3,-113,14,-787,24
91,2022-05-18,-2962,2736,-593,850,1576,-618,-846,3,-1509,-51,840,-21
92,2022-05-19,4188,556,-4695,-1705,2492,-3451,-1880,0,7,-157,-81,32
93,2022-05-20,8358,-9133,637,5711,-600,-3926,-133,0,-51,-365,149,-11
94,2022-05-23,7092,-8963,1800,4117,-511,-2133,151,12,-3,167,61,10
95,2022-05-24,75291,-39391,-35537,-13067,-3168,-13082,-2827,13,-3369,-37,-588,225
96,2022-05-25,24368,-13839,-11105,1472,-5012,-4181,-2303,17,-1081,-17,537,38
97,2022-05-26,33101,-4205,-28483,-5444,-5449,-14160,-836,-95,-2455,-44,-558,146
98,2022-05-27,6493,-5717,-542,3670,-1593,-2763,-64,525,-316,0,-51,-184
99,2022-05-30,-13067,-2035,15329,8801,2414,3707,420,-10,-4,0,-186,-41
100,2022-05-31,-2890,7850,-5052,-2073,257,-3798,1665,22,-1125,0,137,-44
101,2022-06-02,85395,-38817,-47708,-13075,-4288,-22585,-5235,-55,-2450,-19,989,141
102,2022-06-03,10306,-3699,-6619,3889,-2035,-8173,-1126,-27,772,82,28,-17
103,2022-06-07,71334,-27523,-44971,-14258,-7474,-12492,-5450,-1443,-3951,96,966,194
104,2022-06-08,-14401,3236,12188,10671,-1642,4030,-915,33,11,0,-1011,-12
105,2022-06-09,46146,-36876,-10703,-1211,5011,-9365,-6001,82,406,375,1243,189
106,2022-06-10,5814,-7075,966,-3091,3308,2310,-1404,0,-175,18,244,50
107,2022-06-13,-8854,-1137,10016,1286,3112,1990,4779,-1,-1150,0,-23,-2
108,2022-06-14,7073,-12721,5410,1843,1986,4099,-1735,-785,3,0,227,11
109,2022-06-15,13445,-13850,-6196,1064,363,473,-7822,0,-275,1,7780,-1179
110,2022-06-16,-4417,7738,2787,3639,21,727,-1610,0,2,7,-6117,10
111,2022-06-17,23697,-12336,-19180,-536,-4487,-4285,-7687,190,-2356,-20,7758,61
112,2022-06-20,-6127,5009,1364,3776,-31,-1984,-249,-34,-58,-56,-320,74
113,2022-06-21,-8061,4989,10934,3936,310,419,6092,-268,444,0,-7832,-30
114,2022-06-22,16589,-16859,945,1398,-331,885,-780,22,-236,-12,-750,75
115,2022-06-23,-2733,-2590,-793,6900,-1174,-5057,-36,-621,-585,-220,6177,-61
116,2022-06-24,-10325,10809,6501,3145,1131,568,1837,-12,-24,-144,-6953,-32
117,2022-06-27,-11889,1583,11242,910,2121,1823,5743,160,476,9,-956,21
118,2022-06-28,6308,-2091,-4397,-657,-73,-3669,54,8,-70,9,174,6
119,2022-06-29,-351,934,-644,12,1177,-2072,-261,0,527,-28,62,-1
120,2022-06-30,4874,6261,-11169,-4510,-141,-5010,-2091,210,631,-259,42,-8
