,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
71,2022-04-19,3628,-39,-3574,810,-1329,-4038,1300,-283,-34,0,-14,-1
72,2022-04-20,-5188,12717,-6641,-1853,-822,-3638,-218,-19,-92,0,-867,-20
73,2022-04-21,-85,1421,-1320,1599,-705,-989,-1393,0,167,0,-17,1
74,2022-04-22,-5010,5725,-686,-1940,-145,1400,-266,0,256,9,-18,-12
75,2022-04-25,-1645,2477,-735,-2267,1134,388,34,0,96,-121,-13,-84
76,2022-04-26,4246,14133,-17895,-4979,-1693,-1116,-9037,-510,-545,-14,-283,-201
77,2022-04-27,-11974,1093,11424,-1555,631,5779,5099,117,1352,-1,-555,12
78,2022-04-28,-4735,3932,782,-1638,684,1337,74,-133,449,9,27,-6
79,2022-04-29,2115,-2691,735,988,-3949,1622,2223,-135,-29,14,-151,-8
80,2022-05-02,-10233,717,9435,607,2925,1864,3679,0,370,-10,121,-40
81,2022-05-03,-2246,-2600,4139,-1042,327,3471,232,952,255,-56,713,-6
82,2022-05-04,-11362,3148,7776,80,2476,-391,6018,0,-47,-359,444,-5
83,2022-05-06,-35673,20953,15311,-687,4590,3154,8278,-74,51,0,-378,-214
84,2022-05-09,3142,17687,-19517,-1063,-4437,1337,-15370,19,-3,0,-1483,172
85,2022-05-10,-5539,25948,-18147,-4447,-5084,777,-8932,23,-317,-168,-2149,-113
86,2022-05-11,-675,11015,-10366,-1311,-1444,-4180,-2217,-18,-1174,-22,-40,66
87,2022-05-12,-17737,15481,3652,780,797,-1760,4971,-18,-1087,-31,-1389,-7
88,2022-05-13,-9067,11590,-1444,1838,-2136,30,-765,0,-228,-184,-1064,-16
89,2022-05-16,1719,-2248,1704,-483,285,2238,-43,-18,-249,-26,-1166,-8
90,2022-05-17,-15902,1110,15714,4327,2514,5104,4561,0,-766,-26,-964,42
91,2022-05-18,9720,-2820,-5332,-2372,-1995,956,-1496,-3,-413,-10,-1576,9
92,2022-05-19,1879,1720,-2342,-1254,922,1365,-3196,-483,260,44,-1312,55
93,2022-05-20,-10984,15324,-4991,5003,-4625,-2421,-4874,36,1669,220,660,-10
94,2022-05-23,1872,10036,-11853,1677,-1658,-9948,-2400,0,-116,592,14,-69
95,2022-05-24,-432,79,308,88,-134,492,-125,0,-13,0,44,1
96,2022-05-25,-6487,-5400,11806,1605,1759,4855,2615,7,847,119,96,-14
97,2022-05-26,-2831,-104,3303,-209,1740,1322,200,0,215,36,-263,-106
98,2022-05-27,-12935,5490,7009,2321,315,1689,1736,-18,967,0,442,-7
99,2022-05-30,-10823,3449,6698,1833,2184,-767,3425,0,67,-45,695,-19
100,2022-05-31,-25657,12347,13564,-1123,4269,1784,8478,-13,233,-65,-226,-27
101,2022-06-02,37,-5832,5725,-2807,954,6286,1643,0,-350,0,67,3
102,2022-06-03,-7340,4113,3146,-42,-1133,-3057,8219,0,-842,0,109,-28
103,2022-06-07,-20280,9506,10142,-1868,2792,6241,4231,-37,-911,-307,641,-10
104,2022-06-08,-2612,4783,-2047,-128,-238,4634,-6033,0,-278,-5,-121,-3
105,2022-06-09,-5404,3275,2172,6557,-3210,2251,-3312,-18,-60,-36,-55,13
106,2022-06-10,-6220,6457,104,-495,-727,1651,-1982,-9,1665,0,-342,1
107,2022-06-13,-1767,-886,2541,1511,-1734,2518,-418,0,763,-99,-154,266
108,2022-06-14,-1855,4398,-2419,1090,-2066,-1177,12,0,-279,0,-112,-12
109,2022-06-15,-8123,12633,-4475,-867,-1623,595,-2196,0,-382,-3,27,-62
110,2022-06-16,4827,529,-6632,-428,-3912,-646,-236,106,-1489,-26,887,389
111,2022-06-17,-3573,5286,-1735,97,-376,-5181,6090,0,-2307,-57,45,-22
112,2022-06-20,-3853,4685,501,1366,907,-2817,3023,-505,-1449,-24,-1284,-49
113,2022-06-21,9608,-4187,-4520,1606,-1384,-3629,109,0,-1221,0,-927,25
114,2022-06-22,-516,8241,-7678,2283,-1816,-2504,-5181,489,-852,-96,-55,8
115,2022-06-23,-2246,12147,-8938,3871,-5811,-3178,-1988,-406,-1358,-68,-923,-40
116,2022-06-24,-1632,9821,-8177,19,-2485,-4334,549,0,-1889,-37,-7,-4
117,2022-06-27,2211,-339,-1874,-793,-912,-533,1214,0,-851,0,-89,91
118,2022-06-28,-377,-438,802,-779,781,-673,2877,-35,-1298,-71,12,1
119,2022-06-29,-2382,2985,-724,-3719,864,1604,-158,0,684,2,119,2
120,2022-06-30,5667,-2052,-3548,-1280,-1087,635,-2351,0,544,-8,-32,-35
121,2022-07-01,1932,16368,-18091,2915,-5941,-3912,-9173,0,-1898,-83,-112,-97
122,2022-07-04,-2900,3866,-1135,1333,1257,-3246,283,-50,-631,-81,185,-15
123,2022-07-05,-896,7840,-6971,-36,188,-7453,1515,-34,-1124,-28,-1,28
124,2022-07-06,23418,7371,-30916,-3861,-4439,-20785,3510,-1042,-3708,-590,-28,155
125,2022-07-07,-1258,16551,-15292,445,-4039,-10618,535,-66,-1464,-84,-4,2
126,2022-07-08,3449,2740,-6843,-821,79,-2520,-3045,112,-648,0,652,1
127,2022-07-11,432,6914,-7405,-40,-2959,-2230,-2111,0,-52,-13,46,13
128,2022-07-12,-553,6537,-6104,-626,-297,-3210,-1605,-33,-290,-44,110,10
