,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
74,2022-04-22,21259,-5739,-15455,-3939,-3259,-5290,-258,0,-2704,-5,-89,25
75,2022-04-25,12258,-4350,-8120,-1222,-1305,-4388,-568,0,-636,0,14,198
76,2022-04-26,8007,-3079,-4981,-30,-819,-3991,82,0,-224,0,31,22
77,2022-04-27,11999,-5056,-6750,-467,-824,-4643,-225,0,-591,0,-176,-17
78,2022-04-28,4277,-2941,-954,474,-1692,-279,1513,-287,-636,-47,-515,133
79,2022-04-29,-5277,-1012,6363,1515,8,2451,2258,0,120,12,12,-86
80,2022-05-02,-1051,1752,-711,129,112,-1295,322,0,21,0,-5,14
81,2022-05-03,-410,1680,-1241,164,-97,-626,-128,-41,-437,-74,15,-44
82,2022-05-04,-4754,1302,3495,144,2806,-252,198,0,639,-40,-15,-28
83,2022-05-06,-1603,2887,-1282,-203,-50,-950,-47,0,-32,0,0,-2
84,2022-05-09,-136,269,-154,193,6,-116,-126,0,-111,0,20,1
85,2022-05-10,-1402,381,945,316,-635,810,645,34,-223,-3,61,16
86,2022-05-11,1365,-644,-773,-489,14,-317,-32,0,50,2,0,52
87,2022-05-12,3082,-1347,-1731,766,-914,-985,-616,0,35,-17,-18,14
88,2022-05-13,-1137,-2166,3391,2462,166,751,25,66,51,-130,-86,-2
89,2022-05-16,768,491,-1234,-826,58,37,-397,0,-34,-72,12,-37
90,2022-05-17,1077,-18,-1050,1967,257,-4192,23,1000,-97,-10,12,-22
91,2022-05-18,514,1669,-2176,-1069,494,-1648,-61,1,162,-55,18,-25
92,2022-05-19,4988,-3559,-1485,-2338,495,-273,-39,0,669,-1,14,42
93,2022-05-20,-22557,12649,10000,4581,2693,1315,156,84,1077,95,-63,-29
94,2022-05-23,2099,-1887,-190,496,-21,-746,-38,0,119,0,-10,-12
95,2022-05-24,1791,-1316,-485,-570,52,832,-755,0,3,-47,7,3
96,2022-05-25,-3683,-2684,6319,2672,2033,1224,-108,5,505,-12,67,-18
97,2022-05-26,-44492,19484,26266,-824,13909,8965,3707,-1149,1481,176,-985,-273
98,2022-05-27,-10473,-5493,15874,1545,6328,5240,1403,-139,1496,0,143,-51
99,2022-05-30,-17429,4490,12829,2184,2860,1370,4873,-26,1569,0,64,46
100,2022-05-31,-24772,2366,22187,2447,5273,1144,9841,-1,3418,65,319,-100
101,2022-06-02,-3913,5078,-1233,-1480,-490,-577,1065,0,280,-30,85,-16
102,2022-06-03,-29195,1836,26316,1131,6317,5867,11411,-77,1610,58,1122,-79
103,2022-06-07,-16818,2676,14062,-736,5890,7128,1194,-161,682,65,161,-82
104,2022-06-08,-7230,4782,2837,-159,1426,2718,-1060,-8,-137,56,-292,-97
105,2022-06-09,-10961,7908,3092,1035,-2284,4206,415,0,-278,0,-15,-25
106,2022-06-10,-6552,11802,-5168,95,-8660,3770,-1381,-4,1024,-12,-34,-47
107,2022-06-13,-12857,14835,-2246,1530,-1407,70,-3447,18,961,29,446,-178
108,2022-06-14,-9451,3269,6581,2155,307,3171,-314,0,1245,18,-381,-17
109,2022-06-15,-3710,-461,3903,1048,-65,487,2257,19,153,4,261,7
110,2022-06-16,-4032,2356,1687,1413,36,1810,-288,-100,-1184,0,-14,2
111,2022-06-17,-3146,1569,1950,2794,-661,919,-1409,71,357,-121,-348,-25
112,2022-06-20,331,-4791,4446,3814,-1919,2973,-658,29,203,4,16,-2
113,2022-06-21,-1692,-5118,6772,3551,4316,35,-1758,4,614,11,5,33
114,2022-06-22,-1149,-588,1879,-335,1384,2285,-972,26,-489,-22,-94,-48
115,2022-06-23,-7134,-5088,11825,4890,2822,4487,-1090,7,725,-16,378,19
116,2022-06-24,123,1078,-1208,-182,-1555,2838,-2647,3,352,-17,26,-19
117,2022-06-27,2231,4094,-6474,-2660,-595,3243,-5832,-51,-574,-4,131,18
118,2022-06-28,597,-3540,3457,-872,1864,4388,-2229,-141,240,206,-502,-12
119,2022-06-29,-7697,-2636,10336,-2779,4786,6041,180,34,1969,104,56,-59
120,2022-06-30,-308,-9791,9887,904,4960,4247,-643,17,374,28,191,21
121,2022-07-01,-2375,-8077,10415,-313,1826,8442,-333,0,792,0,60,-23
122,2022-07-04,3484,-3765,508,424,-162,2123,-2812,314,657,-36,-296,69
123,2022-07-05,-4271,5915,-1508,-973,-635,-377,1,119,381,-22,-55,-80
124,2022-07-06,26743,-15670,-11505,-5825,-5766,-624,651,154,-40,-54,371,61
125,2022-07-07,-15848,2564,13284,2338,1955,7707,863,26,358,36,8,-8
126,2022-07-08,-3664,3193,457,1103,1857,761,-3933,39,716,-87,-1,16
127,2022-07-11,1379,1016,-2467,31,175,-967,-1606,0,-100,0,22,50
128,2022-07-12,1757,-3143,868,-1455,41,1152,591,121,417,2,533,-15
129,2022-07-13,1300,142,-1066,-914,-901,8,828,25,-113,0,-429,53
130,2022-07-14,1861,516,-2391,-5425,-918,3458,-667,117,896,149,13,1
131,2022-07-15,7118,2541,-9517,63,-3550,-3872,-1547,29,-621,-19,-150,8
132,2022-07-18,365,4030,-4506,-1219,-4186,1540,-252,203,-591,0,94,18
133,2022-07-19,1720,1554,-3243,-808,218,-2931,-95,6,367,0,-34,2
134,2022-07-20,-3144,244,2293,1157,831,-914,238,73,908,0,572,35
135,2022-07-21,4281,1270,-5919,-1136,-368,-3633,-286,0,-497,0,308,61
136,2022-07-22,-1537,39,1506,-1017,-45,2270,285,0,30,-17,-19,11
137,2022-07-25,-16454,-1917,17953,3402,4641,3394,5157,-509,1702,166,559,-141
138,2022-07-26,2387,-1387,-1067,-589,43,-440,-258,0,178,0,52,14
139,2022-07-27,219,-2550,2239,536,237,86,965,46,324,45,98,-6
140,2022-07-28,-71718,25677,47807,5063,8152,10693,23128,-255,1264,-237,-1470,-296
141,2022-07-29,-61483,57515,2402,-1176,-5086,1352,10420,-379,-2706,-23,1740,-175
142,2022-08-01,-30469,29805,2209,-1886,-262,2782,617,-55,689,324,-1357,-187
143,2022-08-02,-13358,19349,-5981,-1742,-422,-2611,-728,-202,-294,17,151,-160
144,2022-08-03,-8097,7798,111,1002,-2631,2961,-1874,-160,-49,863,213,-26
145,2022-08-04,8702,17315,-26072,1655,-6964,-510,-16970,0,-3144,-139,51,4
146,2022-08-05,-8906,2567,5861,-902,1295,2319,3395,-83,-163,0,609,-132
147,2022-08-08,-9310,-11268,19898,-188,5005,6196,10022,81,-1133,-85,680,0
148,2022-08-09,-1783,2765,-1610,477,-2940,6986,-6372,-9,248,0,584,44
149,2022-08-10,-19038,-392,20435,3253,3614,9960,3481,-33,368,-209,-965,-40
150,2022-08-11,-22629,7710,16249,3956,443,8506,3451,-106,-1,0,-1183,-147
151,2022-08-12,-85,1332,-1569,-1880,-110,852,-158,-122,-93,-57,231,91
152,2022-08-16,-21875,7883,15170,-2319,3738,7598,4679,-69,1572,-29,-1142,-35
153,2022-08-17,13082,-11728,-2082,1109,-1546,1414,-1829,-44,-1189,3,719,8
154,2022-08-18,6067,-5257,-1075,-2295,1088,-1862,2515,-59,-484,22,271,-6
155,2022-08-19,-7062,-3555,10504,2930,2066,1350,3123,376,676,-19,63,51
156,2022-08-22,2321,-440,-2238,1378,-542,-780,-594,18,-1710,-8,187,170
157,2022-08-23,-28134,4464,23180,1089,4958,2715,11740,-34,2692,20,560,-70
158,2022-08-24,-39122,4695,35719,-1892,11630,16408,6529,-16,1278,1782,-1252,-40
159,2022-08-25,520,-13202,12499,2455,4385,2924,1758,52,924,1,-25,208
160,2022-08-26,-44225,29313,14979,1135,2509,5882,4999,-21,481,-5,-140,72
161,2022-08-29,-16936,-2013,18801,1642,6650,14734,-5017,542,476,-225,115,32
162,2022-08-30,1701,2250,-4334,-5790,328,3128,-1234,12,-828,50,644,-261
163,2022-08-31,-16187,11137,4871,2967,-1557,-630,3959,16,105,11,157,22
164,2022-09-01,-10986,16835,-3389,-8120,1548,5356,-2564,-25,396,20,-2369,-90
165,2022-09-02,-14087,17613,-2847,-1678,999,676,-1753,0,-1034,-56,-674,-5
166,2022-09-05,-15115,15809,-279,-577,729,-967,625,0,-89,0,-406,-10
167,2022-09-06,-56504,25002,30902,536,7842,10130,11264,394,403,332,516,85
168,2022-09-07,4081,-13915,10603,505,-357,6867,1939,73,1557,19,-537,-232
169,2022-09-08,-7900,491,7261,3575,1784,-1005,1748,0,408,751,234,-86
170,2022-09-13,-17748,19762,-2497,8878,-3225,-1758,-4186,-74,-2153,20,662,-179
171,2022-09-14,-2267,7006,-4281,-1272,465,1912,-5474,-27,107,8,-480,21
172,2022-09-15,-32061,20628,11720,-8853,7629,3028,9633,27,283,-27,-252,-35
173,2022-09-16,30177,-16298,-13777,-9940,-2846,7317,-8309,10,-10,0,-169,67
174,2022-09-19,-16474,31806,-13156,-2280,-5559,1391,-6479,0,-228,0,-2115,-61
175,2022-09-20,-8278,9051,242,2468,299,-1334,-746,-24,-395,-28,-974,-41
176,2022-09-21,-5806,23737,-16587,-2069,-3583,-2776,-5854,-149,-2157,0,-1293,-51
177,2022-09-22,-9186,4762,4501,1726,301,267,2245,182,-227,8,-103,25
178,2022-09-23,14794,402,-15766,-5089,-1075,-1195,-8276,19,-149,0,561,9
179,2022-09-26,-19363,43696,-23570,1547,-12897,-1370,-9024,117,-1896,-47,-794,31
180,2022-09-27,-9589,3081,6738,-4153,1447,4493,4210,0,741,0,-245,16
181,2022-09-28,2738,-6589,4354,-1273,2997,-1176,2294,63,1433,16,-533,30
182,2022-09-29,3414,1725,-5772,-7856,-920,1375,1605,31,-6,0,595,37
183,2022-09-30,-17030,-4465,21989,599,3452,5872,10828,-24,1747,-486,-473,-20
184,2022-10-04,-8293,8454,-53,-4380,2282,-2109,4195,0,-42,0,-44,-64
185,2022-10-05,-26422,23391,1333,-8025,2213,3059,4062,0,-28,52,1746,-49
186,2022-10-06,15574,-17659,1576,-5151,-388,1798,5670,0,-353,0,498,12
187,2022-10-07,25527,-8135,-16777,-964,-3982,-2523,-7280,-53,-1975,0,-604,-12
188,2022-10-11,-11542,4574,9135,2036,1582,4917,359,110,120,11,-2156,-10
189,2022-10-12,-21861,7806,13207,2957,725,7471,647,0,875,533,899,-50
190,2022-10-13,6917,1876,-9185,-3740,-2345,-1655,-1145,8,-309,0,352,40
191,2022-10-14,-10609,12076,-1073,5476,-1955,49,-5185,64,440,38,-368,-26
192,2022-10-17,-19173,6014,13016,4016,886,-2068,10240,0,-51,-6,121,21
193,2022-10-18,-37747,31202,6541,-4247,157,-2489,13774,-51,-604,-1,107,-102
194,2022-10-19,-36848,31706,4605,-6069,2608,-494,8581,-48,-14,41,666,-128
195,2022-10-20,13624,-6275,-6951,-557,-4862,-1262,1497,0,-1727,-39,-568,169
196,2022-10-21,7337,-5530,-1865,-1,-1424,333,974,-81,-1618,-47,74,-15
197,2022-10-24,11012,5472,-15770,-3456,-3686,-2335,-5436,-67,-757,-33,-853,139
198,2022-10-25,10850,25650,-37127,-194,-8254,-7041,-19709,91,-2021,0,758,-132
199,2022-10-26,-6965,5989,1020,-1699,1557,-1382,1161,-10,1390,3,108,-152
200,2022-10-27,-47296,34988,12160,1382,608,2870,6904,420,27,-52,98,50
201,2022-10-28,74899,-68862,-7182,-1409,381,675,-6082,184,-932,0,920,224
202,2022-10-31,12259,-9338,-3133,654,-90,-60,-3720,136,-55,0,204,9
203,2022-11-01,-52291,41143,11384,8488,1056,548,-167,19,1434,6,-206,-30
204,2022-11-02,-4398,4156,275,-2693,2386,-985,1475,0,89,3,14,-47
205,2022-11-03,-2471,10802,-7657,-4992,-735,3601,-5896,0,366,0,-628,-45
206,2022-11-04,-11041,13764,-3073,-2485,1191,-1710,-730,-118,760,18,316,34
207,2022-11-07,48825,-20286,-27814,-5790,-8582,-6767,-3879,42,-2837,0,-966,241
208,2022-11-08,-11606,9002,2569,6519,-1557,-2153,-597,18,339,0,46,-11
209,2022-11-09,-43178,22942,20071,13128,2957,-748,5048,-30,-284,0,483,-319
210,2022-11-10,-12075,-382,11841,2438,3782,2380,-1368,-27,4592,45,803,-187
211,2022-11-11,-25440,-2227,27427,6305,6633,-2237,15430,115,1179,3,179,61
212,2022-11-14,7605,-6818,-736,-2079,574,-2890,2810,-11,840,19,60,-112
213,2022-11-15,10637,-2036,-8934,220,-3208,-284,-4241,6,-1419,-9,186,147
214,2022-11-16,-14609,8822,5683,-646,1515,4693,-723,93,752,0,217,-113
215,2022-11-17,13297,-5792,-8166,-3039,215,-1068,-4609,17,318,0,612,48
216,2022-11-18,-3904,-458,4393,846,1816,13,1286,-11,444,0,32,-63
217,2022-11-21,-20577,7898,12412,2817,1525,346,5026,0,2698,0,261,6
218,2022-11-22,-28448,17493,11241,-1264,7703,3231,-1370,204,2907,-169,-206,-79
219,2022-11-23,-11045,1914,8837,-2283,3483,6491,741,35,341,29,315,-22
220,2022-11-24,-55294,40130,15094,-12156,12608,5908,4822,518,3378,16,52,18
221,2022-11-25,-105,-2219,2590,-3079,876,-965,5655,13,112,-21,-343,77
222,2022-11-28,-3700,7511,-3880,-3073,-645,-1157,1801,6,-821,9,190,-122
223,2022-11-29,-1282,4037,-2865,-1467,-123,-1179,38,10,-136,-10,163,-53
224,2022-11-30,11940,3399,-14050,-8184,-2474,-4052,672,219,-232,0,-1039,-250
225,2022-12-01,-7674,1531,6127,7570,-1501,-2778,3722,-28,-836,-22,97,-82
226,2022-12-02,5382,4143,-9425,-5634,-1207,-2766,873,0,-691,0,-134,34
227,2022-12-05,-639,3706,-2545,-771,-723,-1288,361,0,-124,0,-538,16
228,2022-12-06,35221,-4160,-30722,-10161,-5474,-11343,-2239,-1,-1493,-11,-331,-7
229,2022-12-07,4834,3513,-8443,2980,-5643,272,-3745,-49,-2259,0,18,78
230,2022-12-08,332,-1466,1437,143,2137,-757,-398,97,206,8,-271,-32
231,2022-12-09,16868,1848,-18763,3916,-16253,-2515,-3343,-102,-471,5,7,40
232,2022-12-12,-3472,6890,-3205,-1959,-190,-1189,-628,0,750,11,-225,12
233,2022-12-13,7865,-2271,-5622,516,-352,-3909,-2261,95,288,2,-24,52
234,2022-12-14,-26921,14411,12166,3266,3869,-2554,6245,-14,1312,42,319,25
235,2022-12-15,6571,-5183,-1540,-5483,-437,4572,297,109,-598,0,148,4
236,2022-12-16,-7189,5721,2226,-1581,1881,841,645,-200,627,13,-749,-9
237,2022-12-19,-1002,-4189,5489,444,325,2086,2761,64,-191,0,-304,6
238,2022-12-20,-8512,2050,6173,-60,1019,2484,2606,10,115,0,293,-5
239,2022-12-21,145,-1834,1727,174,256,-613,1921,0,-21,10,-54,16
240,2022-12-22,9034,3640,-12778,17,-5603,-3571,-1084,0,-2538,0,82,23
241,2022-12-23,8937,11940,-19703,2848,-5561,-1899,-13337,8,-1763,0,-1103,-71
242,2022-12-26,-1353,7995,-7055,349,-2140,61,-4955,-14,-357,0,316,98
243,2022-12-27,6569,9822,-16478,5053,-9356,-3322,-7001,61,-1905,-8,62,24
244,2022-12-28,8041,5614,-13352,-6669,-1432,-175,-4875,45,-199,-48,-298,-5
245,2022-12-29,747,12132,-12990,-6556,-4075,-1108,-1330,35,17,27,88,23
246,2023-01-02,4915,-2330,-1879,-3055,600,684,-419,0,309,3,-729,24
247,2023-01-03,6726,1871,-8720,-3429,-2620,703,-3186,185,-623,251,126,-3
248,2023-01-04,6333,-3928,-2346,-2014,-330,474,-246,47,-278,0,-73,14
249,2023-01-05,20702,3918,-24471,-612,-6769,-4429,-8833,172,-3999,0,-60,-89
250,2023-01-06,-8018,730,7183,4047,2759,-391,-282,90,980,-21,111,-6
251,2023-01-09,-9412,-7913,17183,6507,7725,290,1567,0,1095,0,111,31
252,2023-01-10,-750,-747,1128,-456,1290,-945,560,0,311,368,374,-5
253,2023-01-11,-16426,-12677,29078,7318,12560,7927,-1337,59,2444,109,-38,62
254,2023-01-12,2809,-2340,-1008,-10963,4067,-10148,17454,-213,-1177,-28,333,207
255,2023-01-13,-4051,19853,-15586,-4559,-874,-5806,-3626,-33,-687,0,-132,-85
256,2023-01-16,429,7014,-7606,287,-1281,-6031,353,-28,-906,0,128,35
257,2023-01-17,3363,-595,-3506,-1844,933,-2991,313,7,76,0,707,32
258,2023-01-18,1557,389,-1894,59,-1074,34,48,-496,-465,0,-94,42
259,2023-01-19,934,-206,-763,1924,-797,-3511,1703,29,-87,-24,6,29
260,2023-01-20,10479,12250,-21161,708,-5119,-1726,-14127,50,-947,0,-1642,73
261,2023-01-25,6404,-594,-6105,763,-2275,-458,-3540,-3,-593,0,131,164
262,2023-01-26,-5095,2015,2590,4098,974,-880,-1193,19,34,-462,462,27
263,2023-01-27,-1633,1591,220,1413,-455,-720,121,-78,-61,0,-133,-45
264,2023-01-30,4503,4078,-8469,-2854,-1362,-1144,-2957,4,-156,0,-135,23
265,2023-01-31,3161,5359,-7574,-141,-1829,-1243,-3945,30,-457,10,-864,-82
266,2023-02-01,545,2013,-3093,-4364,236,-1578,2783,0,-151,-18,437,97
267,2023-02-02,4554,-11605,7210,1972,796,690,3535,-104,243,78,-174,15
268,2023-02-03,6880,-4355,-2102,-3453,-134,352,1392,-108,-151,0,-526,103
269,2023-02-06,-7706,6933,486,-2277,1128,-26,2756,0,-1047,-49,348,-60
270,2023-02-07,-3414,5034,-1822,-3886,332,-3395,4687,0,439,0,260,-59
