,iter1,iter1,iter1,iter2,iter2,iter2,iter3,iter3,iter3,iter4,iter4,iter4,iter5,iter5,iter5
,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score
0,29.0,0.788888888888889,0.25915341754868004,62,0.7955555555555556,0.3099661470962257,61,0.6666666666666666,0.18257418583505536,21,0.6463799393038523,0.010079772707119803,26,0.7742857142857142,0.1891765183685354
1,31.0,0.7327272727272727,0.2599173422328499,29,0.788888888888889,0.25915341754868004,34,0.6433449007133218,0.14563344467351821,51,0.6446122717861849,0.014137442629804636,23,0.6651727357609711,0.04760568091997345
2,23.0,0.6928571428571428,0.18571428571428572,54,0.7777777777777778,0.17568209223157663,51,0.6290092165898618,0.020930341440805727,41,0.6438349007314523,0.02533467402967494,12,0.6538079160159249,0.023487964771505446
3,19.0,0.6433333333333333,0.22696059374065602,31,0.7327272727272727,0.2599173422328499,53,0.6170434782608696,0.07342673778880714,67,0.6436752777457425,0.01778416335423837,19,0.6534910884638652,0.04074302095040729
4,46.0,0.6405349036927984,0.0664161611032961,59,0.7,0.4,36,0.6168441487706194,0.0267945298825229,78,0.643513222409774,0.0156666906958421,73,0.6504462041226747,0.05988439518475819
5,34.0,0.6082828282828283,0.12830811808300932,23,0.6928571428571428,0.18571428571428572,52,0.6112002652519894,0.05332256279661741,16,0.6397810522810523,0.10220370026481003,89,0.6502689075630252,0.05715379035298053
6,38.0,0.6059496567505721,0.07062602004363398,55,0.678939393939394,0.234620808504462,99,0.6108350209815727,0.01781025561557367,6,0.6393513046831125,0.04370906056175637,28,0.6476190476190478,0.12385530289180909
7,1.0,0.6040935672514619,0.10981453410370505,57,0.67,0.3682390527904394,18,0.6102941176470589,0.04264240153400094,91,0.6386699175664693,0.015465591835982107,36,0.6473976608187135,0.02665191445851929
8,20.0,0.6035203222703223,0.032311078087941,19,0.6433333333333333,0.22696059374065602,3,0.6079377880184331,0.07323786634368903,40,0.636987581384133,0.026183607039647377,83,0.6471109908609909,0.020497315543152515
