,iter1,iter1,iter1,iter2,iter2,iter2,iter3,iter3,iter3
,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score
0,31,0.82,0.22271057451320087,0.0,0.7273015873015873,0.14727695470011418,0.0,0.48954013377926425,0.039524892728786606
1,27,0.718968253968254,0.15158780021525237,1.0,0.7273015873015873,0.14727695470011418,1.0,0.0,0.0
2,5,0.6903679653679653,0.08500212479031162,,,,,,
3,11,0.6666666666666666,0.36514837167011077,,,,,,
4,35,0.6508441558441558,0.05168831168831169,,,,,,
5,24,0.6333333333333333,0.19436506316151003,,,,,,
6,36,0.6316666666666666,0.029999999999999992,,,,,,
7,49,0.6153496503496504,0.014184086934566615,,,,,,
8,22,0.6121997300944669,0.02959789539641853,,,,,,
9,43,0.606111111111111,0.03777777777777776,,,,,,
10,38,0.6034951013898382,0.059950726751411755,,,,,,
11,17,0.6009523809523809,0.06277050306012982,,,,,,
12,3,0.593202614379085,0.10150105843754152,,,,,,
13,23,0.5866666666666667,0.32496153618543844,,,,,,
14,47,0.5844022644022644,0.04648981190812307,,,,,,
15,41,0.5842857142857143,0.32926634588219345,,,,,,
16,19,0.5789379084967321,0.09905843303638466,,,,,,
17,32,0.5744724573671942,0.049288364448310536,,,,,,
18,42,0.5742857142857143,0.057269700489039635,,,,,,
19,13,0.5714285714285714,0.029392951165735173,,,,,,
20,44,0.5658625976706473,0.02206836788162738,,,,,,
21,2,0.5610380116959064,0.041866250220927353,,,,,,
22,15,0.5599999999999999,0.463033476111609,,,,,,
23,9,0.5565883724804264,0.05673697696492285,,,,,,
24,29,0.5533834586466165,0.0399558804679291,,,,,,
25,37,0.5528215745607049,0.04006012015351048,,,,,,
26,21,0.5450051599587203,0.031704801922513716,,,,,,
27,16,0.5412698412698412,0.06980518548347946,,,,,,
28,18,0.5405769230769231,0.0832014735873145,,,,,,
29,12,0.5400966183574879,0.05743756996245425,,,,,,
30,25,0.5392117074294932,0.031907543020039994,,,,,,
31,48,0.5373046251993621,0.09779238442944332,,,,,,
32,34,0.5310182318541452,0.06359116937495046,,,,,,
33,26,0.5250843328335832,0.05328369698519425,,,,,,
34,8,0.5225885225885227,0.07643116548790994,,,,,,
35,30,0.5225490196078431,0.05600691312302585,,,,,,
36,28,0.5218968486710422,0.053461820830601074,,,,,,
37,45,0.5200940860215054,0.045750800726771006,,,,,,
38,0,0.5136896539992515,0.03427926396686889,,,,,,
39,4,0.5018685264011351,0.038265577288734906,,,,,,
40,6,0.49926957100870134,0.06672354932259011,,,,,,
41,20,0.36,0.44542114902640173,,,,,,
42,10,0.3,0.24494897427831783,,,,,,
43,46,0.1,0.20000000000000004,,,,,,
44,39,0.0,0.0,,,,,,
45,14,0.0,0.0,,,,,,
46,7,0.0,0.0,,,,,,
47,1,0.0,0.0,,,,,,
48,33,0.0,0.0,,,,,,
49,40,0.0,0.0,,,,,,
