parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15
subsample,"(0.005, 1.0, 'uniform')",[0.018693361431785984],"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')",[0.7079429151035661],"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')",[0.8017211727097934],"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')",[0.7965165719975793]
colsample_bytree,"(0.5, 1.0, 'uniform')",[0.5],"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')",[0.6653875865901097],"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')",[0.9970761629170777],"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')",[0.5820388147613819]
subsample_for_bin,"(100000, 500000)",[314990],"(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)",[391256],"(100000, 500000)","(100000, 500000)",[473210],"(100000, 500000)","(100000, 500000)",[478030]
scale_pos_weight,"(0.2, 2.0, 'uniform')",[1.1746160540042596],"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')",[0.39699904775285966],"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')",[0.6584626718047019],"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')",[0.7151912801557232]
n_estimators,"(700, 5000)",[977],"(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)",[2766],"(700, 5000)","(700, 5000)",[1880],"(700, 5000)","(700, 5000)",[4096]
reg_alpha,"(0.0, 4.0, 'uniform')",[0.669360545164085],"(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 2.5, 'uniform')",[2.260539929401966],"(0.0, 2.5, 'uniform')","(1.0, 2.5, 'uniform')",[1.2870430026952433],"(1.0, 2.5, 'uniform')","(1.0, 2.5, 'uniform')",[1.8028205374918091]
reg_lambda,"(0.0, 4.0, 'uniform')",[3.2852800520394547],"(0.0, 2.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 3.5, 'uniform')","(0.0, 3.5, 'uniform')","(0.0, 3.5, 'uniform')","(0.0, 3.5, 'uniform')",[3.4171398068654826],"(0.0, 4.5, 'uniform')","(0.0, 4.0, 'uniform')",[4.0],"(1.0, 4.0, 'uniform')","(1.0, 5.0, 'uniform')",[5.0]
force_col_wise,['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true']
importance_type,['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split']
boost_from_average,"[True, False]",[True],"[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]",[True],"[True, False]","[True, False]",[True],"[True, False]","[True, False]",[True]
objective,['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary']
metric,['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss']
