date,price,open,high,low,volume,change(%)
2022-06-24,11607.62,11351.31,11613.23,11337.78,4.31B,3.34%
2022-06-23,11232.19,11137.68,11260.27,11046.29,1.03B,1.62%
2022-06-22,11053.08,10941.95,11216.77,10938.06,1.11B,-0.15%
2022-06-21,11069.3,10974.05,11164.99,10974.05,1.19B,2.51%
2022-06-17,10798.35,10697.55,10884.71,10638.72,2.80B,1.43%
2022-06-16,10646.1,10806.02,10831.07,10565.13,1.25B,-4.08%
2022-06-15,11099.16,10968.4,11244.26,10866.39,1.22B,2.50%
2022-06-14,10828.34,10897.43,10926.81,10733.04,953.68M,0.18%
2022-06-13,10809.22,10986.84,11071.48,10775.14,1.21B,-4.68%
2022-06-10,11340.02,11543.88,11569.15,11328.27,1.06B,-3.52%
2022-06-09,11754.23,12016.47,12115.07,11751.98,998.87M,-2.75%
2022-06-08,12086.27,12147.28,12235.78,12052.7,911.77M,-0.73%
2022-06-07,12175.23,11925.81,12194.86,11888.62,900.55M,0.94%
2022-06-06,12061.37,12200.33,12245.4,12004.2,911.01M,0.40%
2022-06-03,12012.73,12097.12,12167.44,11966.62,837.59M,-2.47%
2022-06-02,12316.9,11945.57,12320.12,11901.45,916.66M,2.69%
2022-06-01,11994.46,12176.89,12237.93,11901.43,940.60M,-0.72%
2022-05-31,12081.39,12137.54,12190.08,11942.5,1.77B,-0.41%
2022-05-27,12131.13,11869.69,12131.66,11856.82,942.22M,3.33%
2022-05-26,11740.65,11409.84,11796.97,11406.16,930.42M,2.68%
2022-05-25,11434.74,11225.03,11511.9,11211.85,907.18M,1.51%
