date,price,open,high,low,volume,change(%)
2022-06-24,31503.71,30881.77,31513.93,30881.77,398.11M,2.69%
2022-06-23,30678.15,30570.33,30715.63,30294.37,347.93M,0.64%
2022-06-22,30481.88,30352.57,30777.92,30174.02,327.81M,-0.16%
2022-06-21,30531.77,30074.69,30653.71,30074.69,345.14M,2.16%
2022-06-17,29885.08,29840.7,30165.29,29654.59,592.65M,-0.15%
2022-06-16,29929.31,30305.74,30305.74,29740.9,424.44M,-2.41%
2022-06-15,30668.27,30570.5,31007.72,30194.22,380.45M,1.00%
2022-06-14,30365.95,30594.91,30686.51,30144.95,349.99M,-0.50%
2022-06-13,30518.06,31144.91,31144.91,30374.78,455.14M,-2.79%
2022-06-10,31392.36,32053.52,32053.52,31387.84,349.39M,-2.73%
2022-06-09,32271.8,32828.62,32955.72,32270.29,276.62M,-1.94%
2022-06-08,32910.38,33087.07,33156.5,32824.37,258.83M,-0.81%
2022-06-07,33179.81,32783.03,33205.03,32644.04,261.78M,0.81%
2022-06-06,32914.2,33032.04,33234.91,32819.71,239.67M,0.05%
2022-06-03,32898.91,33001.38,33135.61,32840.11,281.87M,-1.05%
2022-06-02,33248.02,32809.01,33248.02,32512.06,325.45M,1.33%
2022-06-01,32813.1,33156.31,33270.83,32585.15,324.67M,-0.54%
2022-05-31,32991.97,33027.03,33240.15,32754.75,444.89M,-0.67%
2022-05-27,33213.55,32735.09,33213.62,32688.7,309.63M,1.76%
2022-05-26,32638.44,32263.33,32773.26,32263.33,338.95M,1.61%
2022-05-25,32121.53,31816.31,32254.29,31754.33,333.13M,0.60%
