date,price,open,high,low,volume,change(%)
2022-06-24,2366.6,2327.11,2373.48,2319.99,654.44M,2.26%
2022-06-23,2314.32,2347.84,2361.23,2306.48,749.66M,-1.22%
2022-06-22,2342.81,2417.11,2418.05,2342.81,532.14M,-2.74%
2022-06-21,2408.93,2402.99,2423.48,2385.6,479.68M,0.75%
2022-06-20,2391.03,2449.89,2449.89,2372.35,592.70M,-2.04%
2022-06-17,2440.93,2409.72,2441.34,2396.47,634.90M,-0.43%
2022-06-16,2451.41,2481.66,2500.36,2447.33,584.04M,0.16%
2022-06-15,2447.38,2490.01,2495.54,2436.04,714.14M,-1.83%
2022-06-14,2492.97,2472.96,2503.17,2457.39,671.76M,-0.46%
2022-06-13,2504.51,2550.21,2550.32,2504.51,660.31M,-3.52%
2022-06-10,2595.87,2596.37,2602.8,2583.74,724.09M,-1.13%
2022-06-09,2625.44,2618.92,2627.88,2606.61,814.88M,-0.03%
2022-06-08,2626.15,2633.53,2639.52,2621.96,576.39M,-0.01%
2022-06-07,2626.34,2659.27,2662.04,2622.78,524.71M,-1.66%
2022-06-03,2670.65,2679.57,2681.51,2663.0,562.47M,0.44%
2022-06-02,2658.99,2670.74,2674.0,2653.59,525.26M,-1.00%
2022-05-31,2685.9,2666.88,2685.9,2654.32,671.68M,0.61%
2022-05-30,2669.66,2662.31,2672.74,2654.18,469.80M,1.20%
2022-05-27,2638.05,2640.75,2644.71,2631.49,590.81M,0.98%
2022-05-26,2612.45,2616.99,2641.91,2602.01,595.85M,-0.18%
2022-05-25,2617.22,2621.75,2630.17,2602.94,712.61M,0.44%
