날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 05월 31일,"3,098.70","3,110.10","3,126.90","3,052.70",-,-0.53%
2022년 05월 27일,"3,115.40","3,048.10","3,120.90","3,046.70",-,4.03%
2022년 05월 26일,"2,994.60","2,850.00","3,006.20","2,848.50",-,3.87%
2022년 05월 25일,"2,882.90","2,812.10","2,905.90","2,809.70",-,1.98%
2022년 05월 24일,"2,827.00","2,853.70","2,863.50","2,797.90",-,-2.46%
2022년 05월 23일,"2,898.40","2,861.30","2,904.20","2,844.10",-,0.55%
2022년 05월 20일,"2,882.70","2,937.70","2,939.50","2,758.70",-,-0.27%
2022년 05월 19일,"2,890.30","2,901.10","2,960.10","2,867.10",-,-0.61%
2022년 05월 18일,"2,908.00","3,012.00","3,054.80","2,897.90",-,-5.17%
2022년 05월 17일,"3,066.50","3,007.50","3,071.60","2,990.30",-,5.02%
2022년 05월 16일,"2,920.10","2,929.90","2,967.80","2,912.20",-,-1.69%
2022년 05월 13일,"2,970.40","2,880.00","2,988.30","2,863.40",-,5.06%
2022년 05월 12일,"2,827.20","2,781.80","2,851.80","2,754.70",-,0.54%
2022년 05월 11일,"2,811.90","2,872.90","2,937.40","2,807.00",-,-3.04%
2022년 05월 10일,"2,900.10","2,918.60","2,948.60","2,834.90",-,2.51%
2022년 05월 09일,"2,829.10","2,918.40","2,949.90","2,817.20",-,-5.13%
2022년 05월 06일,"2,982.10","2,990.50","3,044.80","2,926.10",-,-0.78%
2022년 05월 05일,"3,005.50","3,103.60","3,105.50","2,965.70",-,-5.00%
2022년 05월 04일,"3,163.80","3,071.20","3,166.70","2,974.70",-,3.90%
2022년 05월 03일,"3,044.90","3,012.20","3,067.40","2,994.90",-,0.75%
2022년 05월 02일,"3,022.20","2,936.00","3,024.80","2,905.40",-,3.51%
2022년 04월 29일,"2,919.70","3,006.50","3,065.70","2,916.10",-,-4.47%
2022년 04월 28일,"3,056.40","2,968.50","3,087.00","2,919.50",-,5.58%
2022년 04월 27일,"2,894.90","2,879.80","2,964.50","2,875.40",-,-0.49%
2022년 04월 26일,"2,909.10","3,006.90","3,006.90","2,908.10",-,-4.38%
2022년 04월 25일,"3,042.40","2,964.60","3,045.70","2,964.60",-,1.76%
2022년 04월 22일,"2,989.80","3,054.60","3,069.50","2,988.40",-,-2.25%
2022년 04월 21일,"3,058.70","3,185.80","3,216.80","3,046.70",-,-2.66%
2022년 04월 20일,"3,142.20","3,205.70","3,227.20","3,135.40",-,-0.35%
2022년 04월 19일,"3,153.20","3,073.30","3,157.50","3,057.40",-,2.21%
2022년 04월 18일,"3,085.20","3,018.00","3,110.00","3,018.00",-,1.88%
2022년 04월 14일,"3,028.20","3,131.40","3,132.60","3,026.80",-,-2.92%
2022년 04월 13일,"3,119.30","3,065.30","3,136.60","3,053.60",-,2.36%
2022년 04월 12일,"3,047.50","3,124.30","3,145.80","3,035.90",-,-0.25%
