날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 05월 31일,"12,081.39","12,137.54","12,190.08","11,942.50",1.77B,-0.41%
2022년 05월 27일,"12,131.13","11,869.69","12,131.66","11,856.82",942.22M,3.33%
2022년 05월 26일,"11,740.65","11,409.84","11,796.97","11,406.16",930.42M,2.68%
2022년 05월 25일,"11,434.74","11,225.03","11,511.90","11,211.85",907.18M,1.51%
2022년 05월 24일,"11,264.45","11,326.44","11,351.61","11,092.48",924.23M,-2.35%
2022년 05월 23일,"11,535.27","11,396.28","11,552.07","11,304.56",889.21M,1.59%
2022년 05월 20일,"11,354.62","11,542.67","11,552.21","11,035.69",1.20B,-0.30%
2022년 05월 19일,"11,388.50","11,364.40","11,562.82","11,313.31",1.05B,-0.26%
2022년 05월 18일,"11,418.15","11,790.68","11,826.22","11,381.69",1.03B,-4.73%
2022년 05월 17일,"11,984.52","11,905.57","11,988.43","11,754.28",1.02B,2.76%
2022년 05월 16일,"11,662.79","11,727.14","11,804.59","11,627.53",978.06M,-1.20%
2022년 05월 13일,"11,805.00","11,555.98","11,856.71","11,510.25",1.23B,3.82%
2022년 05월 12일,"11,370.96","11,199.25","11,547.33","11,108.76",1.40B,0.06%
2022년 05월 11일,"11,364.24","11,645.57","11,844.50","11,339.18",1.27B,-3.18%
2022년 05월 10일,"11,737.67","11,900.34","11,944.94","11,566.28",1.28B,0.98%
2022년 05월 09일,"11,623.25","11,923.03","11,990.61","11,574.94",1.24B,-4.29%
2022년 05월 06일,"12,144.66","12,246.83","12,358.42","11,990.15",1.09B,-1.40%
2022년 05월 05일,"12,317.69","12,787.52","12,787.52","12,183.56",1.10B,-4.99%
2022년 05월 04일,"12,964.86","12,574.73","12,985.01","12,367.02",1.11B,3.19%
2022년 05월 03일,"12,563.76","12,511.46","12,645.83","12,460.99",897.83M,0.22%
2022년 05월 02일,"12,536.02","12,331.69","12,542.54","12,202.41",1.04B,1.63%
2022년 04월 29일,"12,334.64","12,710.42","12,861.83","12,315.74",1.09B,-4.17%
2022년 04월 28일,"12,871.53","12,712.86","12,948.52","12,487.86",1.01B,3.06%
