date,price,open,high,low,volume,change(%)
2022-06-24,750.3,719.47,750.41,719.47,837.12M,5.03%
2022-06-23,714.38,747.49,751.99,714.38,1.26B,-4.36%
2022-06-22,746.96,783.21,785.23,746.94,1.09B,-4.03%
2022-06-21,778.3,774.8,782.55,764.69,1.03B,1.09%
2022-06-20,769.92,804.48,804.89,763.22,989.36M,-3.60%
2022-06-17,798.69,787.97,798.85,780.96,972.93M,-0.43%
2022-06-16,802.15,812.95,822.31,800.56,997.61M,0.34%
2022-06-15,799.41,822.27,826.3,795.42,1.20B,-2.93%
2022-06-14,823.58,816.25,826.5,804.38,1.27B,-0.63%
2022-06-13,828.77,852.74,852.74,828.76,1.26B,-4.72%
2022-06-10,869.86,869.1,872.09,865.96,1.21B,-0.83%
2022-06-09,877.18,873.22,877.18,867.2,1.27B,0.25%
2022-06-08,874.95,877.77,880.73,873.61,1.34B,0.13%
2022-06-07,873.78,889.07,889.09,873.09,1.12B,-1.99%
2022-06-03,891.51,897.08,899.01,890.2,1.20B,0.04%
2022-06-02,891.14,890.47,892.98,888.45,1.18B,-0.25%
2022-05-31,893.36,888.44,893.42,884.11,1.32B,0.78%
2022-05-30,886.44,882.17,886.44,881.46,1.02B,1.43%
2022-05-27,873.97,881.41,883.36,873.21,1.28B,0.29%
2022-05-26,871.43,876.19,885.12,868.81,947.42M,-0.14%
2022-05-25,872.69,869.19,877.71,861.92,989.30M,0.88%
