Date,Price,Open,High,Low,Vol.,Change %
01-Dec-21,"74,400","72,000","74,700","71,600",1.37K,4.35%
02-Dec-21,"75,800","73,900","75,800","73,800",27.76K,1.88%
03-Dec-21,"75,600","75,600","76,000","74,100",17.62M,-0.26%
05-Dec-21,"75,600","75,600","75,600","75,600",-,0.00%
06-Dec-21,"76,300","75,100","76,700","75,000",0.38K,0.93%
07-Dec-21,"77,400","76,100","77,600","75,600",0.19K,1.44%
08-Dec-21,"77,400","78,100","78,600","77,100",4.96K,0.00%
09-Dec-21,"78,200","77,300","78,200","77,000",0.62K,1.03%
10-Dec-21,"76,900","77,400","77,600","76,800",9.09M,-1.66%
12-Dec-21,"76,900","76,900","76,900","76,900",-,0.00%
13-Dec-21,"76,800","77,100","78,300","76,500",1.73K,-0.13%
14-Dec-21,"77,000","76,500","77,200","76,200",0.31K,0.26%
15-Dec-21,"77,600","76,400","77,600","76,400",0.22K,0.78%
16-Dec-21,"77,800","78,300","78,400","77,400",1.76K,0.26%
17-Dec-21,"78,000","76,800","78,000","76,800",11.80M,0.26%
19-Dec-21,"78,000","78,000","78,000","78,000",-,0.00%
20-Dec-21,"77,100","77,500","77,700","76,800",10.91K,-1.15%
21-Dec-21,"78,100","77,900","78,300","77,500",0.07K,1.30%
22-Dec-21,"79,400","78,800","79,400","78,800",1.69K,1.66%
23-Dec-21,"79,900","79,800","80,000","79,300",0.26K,0.63%
24-Dec-21,"80,500","80,200","80,800","80,200",12.02M,0.75%
26-Dec-21,"80,500","80,500","80,500","80,500",-,0.00%
27-Dec-21,"80,200","80,600","80,600","79,900",0.58K,-0.37%
28-Dec-21,"80,300","80,200","80,400","79,700",16.31K,0.12%
29-Dec-21,"78,800","80,100","80,100","78,500",21.44K,-1.87%
30-Dec-21,"78,300","78,900","79,500","78,100",13.92M,-0.63%
03-Jan-22,"78,600","79,400","79,800","78,200",13.35M,0.38%
04-Jan-22,"78,700","78,800","79,200","78,300",3.28K,0.13%
05-Jan-22,"77,400","78,800","79,000","76,400",1.59K,-1.65%
06-Jan-22,"76,900","76,700","77,600","76,700",8.25K,-0.65%
07-Jan-22,"78,300","78,100","78,400","77,400",15.10M,1.82%
09-Jan-22,"78,300","78,300","78,300","78,300",-,0.00%
10-Jan-22,"78,000","78,100","78,100","77,100",9.63M,-0.38%
11-Jan-22,"78,900","78,300","79,000","78,000",0.70K,1.15%
